Player,Pos,Country,Age,impact_score_raw,overall,potential,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,skill_dribbling,skill_fk_accuracy,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
Achref Abada,DF,Algeria,26.9884,1.7185422613694794,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Rayan Aït-Nouri,"DF,MF",Algeria,25.0137,0.1149372704048512,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Mohamed Amine Tougai,DF,Algeria,26.3833,0.0692935586446692,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Mohamed Amoura,"FW,MF",Algeria,26.0903,2.479138690301073,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Houssem Aouar,MF,Algeria,27.9473,1.3001120128103114,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Zineddine Belaïd,DF,Algeria,27.2272,0.6169347566435008,77.0,77.0,10500000.0,9000.0,81.0,64.0,76.0,76.0,31.0,70.0,81.0,63.0,60.0,78.0,68.0,76.0,82.0,81.0,74.0,71.0,68.0,69.0,71.0,88.0,74.0,60.0,38.0,24.0,73.0,76.0,74.0,29.0,30.0,27.0,13.0,10.0,14.0,15.0,8.0
Rafik Belghali,"DF,MF",Algeria,24.011,0.4097836044032679,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Oussama Benbot,GK,Algeria,31.6653,0.4145420664138824,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Nadhir Benbouali,FW,Algeria,26.1506,3.0943841328416832,73.0,79.0,4350000.0,14000.0,74.0,61.0,64.0,70.0,60.0,71.0,60.0,57.0,60.0,68.0,46.0,69.0,73.0,73.0,70.0,69.0,68.0,66.0,69.0,72.0,70.0,59.0,65.0,57.0,62.0,63.0,67.0,56.0,58.0,54.0,10.0,11.0,11.0,11.0,11.0
Ramy Bensebaini,"DF,MF",Algeria,31.1533,0.679631025570679,79.0,82.0,21000000.0,31000.0,73.0,59.0,72.0,75.0,77.0,80.0,80.0,62.0,81.0,77.0,62.0,78.0,67.0,77.0,60.0,76.0,63.0,61.0,84.0,79.0,78.0,48.0,83.0,78.0,65.0,63.0,73.0,74.0,77.0,80.0,6.0,13.0,14.0,7.0,14.0
