Jugador,Seleccion,Posicion,Edad,Edad_FBref,Altura,Temporada,Tipo_Lesion,Desde,Hasta,Dias_Baja,Partidos_Perdidos,prior_injuries,prior_days_out,days_since_last_injury,will_be_injured_next_6months,Country,#,Pos,Club,Birth Place,Birth Date,Age,League,Birth Country,MarketValue_EUR,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Playing Time_Mn/MP,Playing Time_Min%,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,GK_Playing Time_Starts,GK_Playing Time_Min,GK_Playing Time_90s,GK_Performance_GA,GK_Performance_GA90,GK_Performance_SoTA,GK_Performance_Saves,GK_Performance_Save%,GK_Performance_W,GK_Performance_D,GK_Performance_L,GK_Performance_CS,GK_Performance_CS%,GK_Penalty Kicks_PKatt,GK_Penalty Kicks_PKA,GK_Penalty Kicks_PKsv,GK_Penalty Kicks_PKm,GK_Penalty Kicks_Save%,MP_allcomps,Playing Time_Starts_allcomps,Playing Time_Min_allcomps,Playing Time_90s_allcomps,Performance_Gls_allcomps,Performance_Ast_allcomps,Performance_G+A_allcomps,Performance_G-PK_allcomps,Performance_PK_allcomps,Performance_PKatt_allcomps,Performance_CrdY_allcomps,Performance_CrdR_allcomps,Per 90 Minutes_Gls_allcomps,Per 90 Minutes_Ast_allcomps,Per 90 Minutes_G+A_allcomps,Per 90 Minutes_G-PK_allcomps,Per 90 Minutes_G+A-PK_allcomps,90s_allcomps,Standard_Gls_allcomps,Standard_Sh_allcomps,Standard_SoT_allcomps,Standard_SoT%_allcomps,Standard_Sh/90_allcomps,Standard_SoT/90_allcomps,Standard_G/Sh_allcomps,Standard_G/SoT_allcomps,Standard_PK_allcomps,Standard_PKatt_allcomps,Performance_2CrdY_allcomps,Performance_Fls_allcomps,Performance_Fld_allcomps,Performance_Off_allcomps,Performance_Crs_allcomps,Performance_Int_allcomps,Performance_TklW_allcomps,Performance_PKwon_allcomps,Performance_PKcon_allcomps,Performance_OG_allcomps,Playing Time_Mn/MP_allcomps,Playing Time_Min%_allcomps,Starts_allcomps,Starts_Mn/Start_allcomps,Starts_Compl_allcomps,Subs_allcomps,Subs_Mn/Sub_allcomps,Subs_unSub_allcomps,Team Success_PPM_allcomps,Team Success_onG_allcomps,Team Success_onGA_allcomps,Team Success_+/-_allcomps,Team Success_+/-90_allcomps,Team Success_On-Off_allcomps,Performance_GA_allcomps,Performance_GA90_allcomps,Performance_SoTA_allcomps,Performance_Saves_allcomps,Performance_Save%_allcomps,Performance_W_allcomps,Performance_D_allcomps,Performance_L_allcomps,Performance_CS_allcomps,Performance_CS%_allcomps,Penalty Kicks_PKatt_allcomps,Penalty Kicks_PKA_allcomps,Penalty Kicks_PKsv_allcomps,Penalty Kicks_PKm_allcomps,Penalty Kicks_Save%_allcomps,injury_count_last_12m,total_days_out_last_12m,avg_recovery_time,is_recurrent,months_since_last_injury,injury_frequency,injury_severity_score
Aaron Hickey,Scotland,DF,,24-001,1.85,19/20,Knock,2019-12-02,2019-12-13,12.0,2.0,0,0.0,,1,Scotland,2.0,DF,Brentford,"Scotland, United Kingdom",2002-06-10,24.0027,1.eng,United Kingdom,16000000.0,1.0,1.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,74.0,82.2,1.0,74.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.22,1.22,,,,,,,,,,,,,,,,,,,16.0,14.0,74.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,6.0,2.0,33.3,0.5566666666666666,0.1866666666666666,0.0,0.0,0.0,0.0,0.0,14.0,24.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,244.0,53.125,14.0,260.0,0.0,2.0,34.0,0.0,2.595,18.0,10.0,2.0,1.27,0.2075,,,,,,,,,,,,,,,,1.0,12.0,0.0,False,,0.0,1
Aaron Hickey,Scotland,DF,,24-001,1.85,19/20,Knee Injury,2020-01-18,2020-02-14,28.0,6.0,1,12.0,36.0,0,Scotland,2.0,DF,Brentford,"Scotland, United Kingdom",2002-06-10,24.0027,1.eng,United Kingdom,16000000.0,1.0,1.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,74.0,82.2,1.0,74.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.22,1.22,,,,,,,,,,,,,,,,,,,16.0,14.0,74.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,6.0,2.0,33.3,0.5566666666666666,0.1866666666666666,0.0,0.0,0.0,0.0,0.0,14.0,24.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,244.0,53.125,14.0,260.0,0.0,2.0,34.0,0.0,2.595,18.0,10.0,2.0,1.27,0.2075,,,,,,,,,,,,,,,,2.0,40.0,12.0,False,1.1826544021024967,7.77127659574468,3
Aaron Hickey,Scotland,DF,,24-001,1.85,20/21,Unknown Injury,2020-11-07,2020-11-22,16.0,1.0,2,40.0,267.0,1,Scotland,2.0,DF,Brentford,"Scotland, United Kingdom",2002-06-10,24.0027,1.eng,United Kingdom,16000000.0,1.0,1.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,74.0,82.2,1.0,74.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.22,1.22,,,,,,,,,,,,,,,,,,,16.0,14.0,74.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,6.0,2.0,33.3,0.5566666666666666,0.1866666666666666,0.0,0.0,0.0,0.0,0.0,14.0,24.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,244.0,53.125,14.0,260.0,0.0,2.0,34.0,0.0,2.595,18.0,10.0,2.0,1.27,0.2075,,,,,,,,,,,,,,,,3.0,56.0,20.0,False,8.771353482260183,2.1422287390029324,2
Aaron Hickey,Scotland,DF,,24-001,1.85,20/21,Corona Virus,2020-12-13,2021-01-01,20.0,4.0,3,56.0,21.0,1,Scotland,2.0,DF,Brentford,"Scotland, United Kingdom",2002-06-10,24.0027,1.eng,United Kingdom,16000000.0,1.0,1.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,74.0,82.2,1.0,74.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.22,1.22,,,,,,,,,,,,,,,,,,,16.0,14.0,74.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,6.0,2.0,33.3,0.5566666666666666,0.1866666666666666,0.0,0.0,0.0,0.0,0.0,14.0,24.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,244.0,53.125,14.0,260.0,0.0,2.0,34.0,0.0,2.595,18.0,10.0,2.0,1.27,0.2075,,,,,,,,,,,,,,,,3.0,64.0,18.666666666666668,False,0.6898817345597897,2.906498673740053,1
Aaron Hickey,Scotland,DF,,24-001,1.85,20/21,Shoulder Injury,2021-02-28,2021-03-13,14.0,2.0,4,76.0,58.0,1,Scotland,2.0,DF,Brentford,"Scotland, United Kingdom",2002-06-10,24.0027,1.eng,United Kingdom,16000000.0,1.0,1.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,74.0,82.2,1.0,74.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.22,1.22,,,,,,,,,,,,,,,,,,,16.0,14.0,74.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,6.0,2.0,33.3,0.5566666666666666,0.1866666666666666,0.0,0.0,0.0,0.0,0.0,14.0,24.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,244.0,53.125,14.0,260.0,0.0,2.0,34.0,0.0,2.595,18.0,10.0,2.0,1.27,0.2075,,,,,,,,,,,,,,,,3.0,50.0,19.0,False,1.9053876478318,3.218061674008811,3
Aaron Hickey,Scotland,DF,,24-001,1.85,20/21,Surgery,2021-04-03,2021-06-07,66.0,10.0,5,90.0,21.0,0,Scotland,2.0,DF,Brentford,"Scotland, United Kingdom",2002-06-10,24.0027,1.eng,United Kingdom,16000000.0,1.0,1.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,74.0,82.2,1.0,74.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.22,1.22,,,,,,,,,,,,,,,,,,,16.0,14.0,74.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,6.0,2.0,33.3,0.5566666666666666,0.1866666666666666,0.0,0.0,0.0,0.0,0.0,14.0,24.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,244.0,53.125,14.0,260.0,0.0,2.0,34.0,0.0,2.595,18.0,10.0,2.0,1.27,0.2075,,,,,,,,,,,,,,,,4.0,116.0,18.0,False,0.6898817345597897,3.742315573770492,5
Aaron Hickey,Scotland,DF,,24-001,1.85,21/22,Corona Virus,2022-01-01,2022-01-13,13.0,1.0,6,156.0,208.0,0,Scotland,2.0,DF,Brentford,"Scotland, United Kingdom",2002-06-10,24.0027,1.eng,United Kingdom,16000000.0,1.0,1.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,74.0,82.2,1.0,74.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.22,1.22,,,,,,,,,,,,,,,,,,,16.0,14.0,74.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,6.0,2.0,33.3,0.5566666666666666,0.1866666666666666,0.0,0.0,0.0,0.0,0.0,14.0,24.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,244.0,53.125,14.0,260.0,0.0,2.0,34.0,0.0,2.595,18.0,10.0,2.0,1.27,0.2075,,,,,,,,,,,,,,,,3.0,93.0,26.0,True,6.83311432325887,2.8797634691195797,1
Aaron Hickey,Scotland,DF,,24-001,1.85,22/23,Ankle Injury,2022-10-10,2022-12-31,83.0,10.0,7,169.0,270.0,0,Scotland,2.0,DF,Brentford,"Scotland, United Kingdom",2002-06-10,24.0027,1.eng,United Kingdom,16000000.0,1.0,1.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,74.0,82.2,1.0,74.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.22,1.22,,,,,,,,,,,,,,,,,,,16.0,14.0,74.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,6.0,2.0,33.3,0.5566666666666666,0.1866666666666666,0.0,0.0,0.0,0.0,0.0,14.0,24.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,244.0,53.125,14.0,260.0,0.0,2.0,34.0,0.0,2.595,18.0,10.0,2.0,1.27,0.2075,,,,,,,,,,,,,,,,2.0,96.0,24.142857142857142,False,8.869908015768726,2.4513422818791946,3
Aaron Hickey,Scotland,DF,,24-001,1.85,23/24,Hamstring Injury,2023-11-02,2025-02-17,474.0,75.0,8,252.0,306.0,0,Scotland,2.0,DF,Brentford,"Scotland, United Kingdom",2002-06-10,24.0027,1.eng,United Kingdom,16000000.0,1.0,1.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,74.0,82.2,1.0,74.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.22,1.22,,,,,,,,,,,,,,,,,,,16.0,14.0,74.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,6.0,2.0,33.3,0.5566666666666666,0.1866666666666666,0.0,0.0,0.0,0.0,0.0,14.0,24.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,244.0,53.125,14.0,260.0,0.0,2.0,34.0,0.0,2.595,18.0,10.0,2.0,1.27,0.2075,,,,,,,,,,,,,,,,1.0,474.0,31.5,False,10.052562417871222,2.041928721174004,3
Aaron Hickey,Scotland,DF,,24-001,1.85,24/25,Fitness,2025-02-17,2025-05-16,89.0,13.0,9,726.0,0.0,0,Scotland,2.0,DF,Brentford,"Scotland, United Kingdom",2002-06-10,24.0027,1.eng,United Kingdom,16000000.0,1.0,1.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,74.0,82.2,1.0,74.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.22,1.22,,,,,,,,,,,,,,,,,,,16.0,14.0,74.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,6.0,2.0,33.3,0.5566666666666666,0.1866666666666666,0.0,0.0,0.0,0.0,0.0,14.0,24.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,244.0,53.125,14.0,260.0,0.0,2.0,34.0,0.0,2.595,18.0,10.0,2.0,1.27,0.2075,,,,,,,,,,,,,,,,1.0,89.0,80.66666666666667,False,0.0,1.7264968487394956,1
