Country,squad_total_market_value,squad_avg_market_value,squad_total_injuries,squad_total_wc_goals,squad_avg_wc_goals,squad_total_wc_assists,squad_total_allcomps_goals,squad_total_allcomps_assists,squad_avg_age,squad_median_age,squad_total_caps,squad_avg_caps,squad_injury_burden,squad_depth_DF,squad_depth_FW,squad_depth_GK,squad_depth_MF,squad_top_league_ratio,squad_avg_impact_score
Algeria,256900000.0,9880769.23076923,162,0.0,,0.0,58.0,40.0,26.85683846153846,26.3491,350.0,13.461538461538462,791.0,9.0,8.0,3.0,6.0,0.4230769230769231,1.3975297131206867
Argentina,818500000.0,31480769.230769232,643,0.0,,0.0,82.0,58.0,29.052276923076924,28.1807,638.0,24.53846153846154,1858.0,10.0,9.0,3.0,4.0,0.7692307692307693,0.9347913857477108
Australia,69850000.0,2686538.461538461,136,2.0,0.0769230769230769,1.0,28.0,18.0,27.35921153846154,27.11605,0.0,0.0,813.0,11.0,4.0,3.0,8.0,0.1923076923076923,-0.7063185979328915
Austria,282200000.0,10853846.153846154,293,0.0,,0.0,56.0,40.0,28.54175384615385,28.8145,0.0,0.0,703.0,11.0,7.0,3.0,5.0,0.6538461538461539,1.092434982780201
Belgium,547500000.0,21057692.307692308,236,0.0,,0.0,82.0,58.0,27.61451153846154,25.75735,370.0,14.23076923076923,1302.0,10.0,7.0,3.0,6.0,0.7692307692307693,1.2436431415013824
Bosnia and Herzegovina,152000000.0,5629629.62962963,132,1.0,0.04,1.0,38.0,20.0,27.749042307692307,27.26005,0.0,13.423076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0206883714619958
Brazil,951200000.0,35229629.62962963,538,1.0,0.04,1.0,60.0,44.0,29.118233333333336,28.7885,484.0,17.925925925925927,2580.0,10.0,7.0,3.0,7.0,0.5555555555555556,0.3961986555137423
Cabo Verde,100000000.0,4000000.0,114,0.0,,0.0,44.0,32.0,27.749042307692307,27.26005,0.0,13.423076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0206883714619958
Canada,201150000.0,7736538.461538462,116,1.0,0.04,1.0,8.0,6.0,26.933373076923075,26.6215,156.0,6.0,1568.0,9.0,4.0,3.0,10.0,0.3461538461538461,-0.7341872391361155
Colombia,273850000.0,10532692.307692308,198,0.0,,0.0,56.0,50.0,30.08932307692308,29.70225,580.0,22.307692307692307,427.0,9.0,9.0,3.0,5.0,0.3076923076923077,0.0206883714619958
Congo DR,144900000.0,5366666.666666667,154,0.0,,0.0,38.0,30.0,28.97444814814815,29.0739,428.0,15.851851851851851,608.0,10.0,7.0,3.0,7.0,0.3703703703703703,-0.657204929771392
Croatia,387300000.0,14896153.846153846,221,0.0,,0.0,54.0,38.0,28.32857307692308,28.26005,372.0,14.307692307692308,617.0,8.0,9.0,3.0,6.0,0.6538461538461539,0.3144808205257402
Curaçao,25775000.0,991346.153846154,131,0.0,,0.0,54.0,46.0,28.02063846153846,27.0996,354.0,13.615384615384617,427.0,11.0,9.0,3.0,3.0,0.0,0.6941168453702004
Czechia,188175000.0,7237500.0,193,1.0,0.0384615384615384,1.0,44.0,42.0,27.62079615384616,27.0739,354.0,13.615384615384617,788.0,8.0,8.0,3.0,7.0,0.2692307692307692,0.576507054752048
Côte d'Ivoire,496000000.0,19840000.0,126,0.0,,0.0,44.0,32.0,25.80037037037037,25.2984,316.0,11.703703703703704,620.0,10.0,8.0,3.0,6.0,0.4814814814814814,0.97449521090847
Ecuador,367200000.0,14688000.0,127,0.0,,0.0,40.0,26.0,26.077638461538463,25.68035,566.0,21.76923076923077,504.0,8.0,8.0,3.0,7.0,0.2307692307692307,-0.0922256728797306
Egypt,105600000.0,5557894.736842105,110,0.0,,0.0,46.0,32.0,29.07866923076923,28.71355,338.0,13.52,339.0,8.0,5.0,4.0,8.0,0.1538461538461538,-0.2167213650050022
England,1293200000.0,51728000.0,202,0.0,,0.0,46.0,28.0,27.143988461538463,26.2091,330.0,12.692307692307692,891.0,10.0,9.0,3.0,4.0,0.9615384615384616,1.1493281507512905
France,1523000000.0,58576923.07692308,526,0.0,,0.0,40.0,34.0,27.00076153846154,27.26005,274.0,10.538461538461538,1344.0,11.0,8.0,3.0,4.0,0.9230769230769232,0.6064701509019138
Germany,1007000000.0,37296296.2962963,602,0.0,,0.0,46.0,38.0,27.68555185185185,27.0,270.0,10.384615384615383,2336.0,9.0,7.0,3.0,8.0,0.9629629629629628,1.8045052287754928
Ghana,218750000.0,9510869.56521739,136,0.0,,0.0,40.0,26.0,26.97507307692308,26.9367,292.0,11.23076923076923,274.0,10.0,9.0,3.0,4.0,0.4615384615384615,-1.18668722340725
Haiti,55900000.0,2150000.0,75,0.0,0.0,0.0,48.0,36.0,27.57795,26.6903,432.0,16.615384615384617,410.0,8.0,7.0,3.0,8.0,0.1538461538461538,-0.4591943121678665
IR Iran,29600000.0,1286956.5217391304,114,0.0,,0.0,56.0,34.0,30.347076923076923,31.3258,0.0,0.0,421.0,10.0,8.0,3.0,5.0,0.0,-0.1978027567590015
Iraq,19925000.0,830208.3333333334,67,0.0,,0.0,0.0,0.0,27.06398148148148,25.9747,0.0,13.423076923076923,362.0,10.0,5.0,3.0,9.0,0.0,-2.9265791558114405
Japan,270850000.0,10417307.692307692,169,0.0,,0.0,74.0,62.0,27.749042307692307,27.43535,418.0,16.076923076923077,1030.0,10.0,11.0,3.0,2.0,0.4615384615384615,1.4349569523318726
Jordan,7275000.0,404166.6666666667,33,0.0,,0.0,50.0,32.0,28.44432692307692,28.87235,468.0,18.0,194.0,9.0,6.0,3.0,8.0,0.0384615384615384,-1.212773218028419
Korea Republic,10000000.0,10000000.0,37,2.0,0.0769230769230769,2.0,82.0,58.0,28.121040740740742,28.6543,504.0,18.666666666666668,18.0,8.0,9.0,3.0,7.0,0.1851851851851851,0.6057773302360964
Mexico,191850000.0,7378846.153846154,103,2.0,0.0769230769230769,2.0,18.0,10.0,27.90078076923077,28.52155,204.0,7.846153846153846,1011.0,8.0,7.0,3.0,8.0,0.2307692307692307,0.7773611576893303
Morocco,499200000.0,19200000.0,172,1.0,0.0416666666666666,1.0,46.0,34.0,26.39461153846154,25.756,324.0,12.461538461538462,914.0,10.0,4.0,3.0,9.0,0.6153846153846154,0.1859872343442415
Netherlands,804200000.0,30930769.230769232,274,0.0,,0.0,58.0,38.0,27.74013846153846,27.09855,328.0,12.615384615384617,1037.0,11.0,9.0,3.0,3.0,0.8461538461538461,-0.0962329570365077
New Zealand,31800000.0,1325000.0,100,0.0,,0.0,58.0,46.0,28.117665384615385,27.1191,228.0,9.12,843.0,9.0,5.0,3.0,9.0,0.0384615384615384,-1.0530617936804183
Norway,589900000.0,22688461.53846154,179,0.0,,0.0,76.0,66.0,26.803903846153847,26.954500000000003,390.0,15.0,604.0,12.0,7.0,3.0,4.0,0.6538461538461539,0.3516506791206762
Panama,27825000.0,1391250.0,84,0.0,,0.0,48.0,32.0,30.43562307692308,29.8504,454.0,17.46153846153846,500.0,11.0,7.0,3.0,5.0,0.0,0.1830679737614081
Paraguay,142300000.0,5692000.0,136,1.0,0.0384615384615384,1.0,42.0,26.0,29.0332,29.67485,562.0,21.615384615384617,874.0,8.0,7.0,3.0,8.0,0.1538461538461538,-0.0236161343353797
Portugal,1002000000.0,40080000.0,228,0.0,,0.0,52.0,32.0,28.035065384615383,26.8641,0.0,0.0,668.0,9.0,9.0,3.0,5.0,0.6538461538461539,0.7208244627012307
