group,rank,team,mp,w,d,l,gf,ga,gd,pts,last_5
Group A,1,Mexico,0,0,0,0,0,0,0,0,"D,D,W,W,W"
Group A,2,South Africa,0,0,0,0,0,0,0,0,"W,L,D,L,D"
Group A,3,Korea Republic,0,0,0,0,0,0,0,0,"W,L,L,W,W"
Group A,4,Czechia,0,0,0,0,0,0,0,0,"W,D,D,W,W"
Group B,1,Canada,0,0,0,0,0,0,0,0,"W,D,D,W,D"
Group B,2,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,"D,D,D,D,D"
Group B,3,Qatar,0,0,0,0,0,0,0,0,"L,D,W,L,D"
Group B,4,Switzerland,0,0,0,0,0,0,0,0,"D,L,D,W,D"
Group C,1,Brazil,0,0,0,0,0,0,0,0,"D,L,W,W,W"
Group C,2,Morocco,0,0,0,0,0,0,0,0,"L,D,W,W,D"
Group C,3,Haiti,0,0,0,0,0,0,0,0,"W,L,D,W,L"
Group C,4,Scotland,0,0,0,0,0,0,0,0,"W,L,L,W,W"
Group D,1,USA,0,0,0,0,0,0,0,0,"W,L,L,W,L"
Group D,2,Paraguay,0,0,0,0,0,0,0,0,"L,W,W,L,W"
Group D,3,Australia,0,0,0,0,0,0,0,0,"L,L,L,L,D"
Group D,4,Türkiye,0,0,0,0,0,0,0,0,"D,W,W,W,W"
Group E,1,Germany,0,0,0,0,0,0,0,0,"W,W,W,W,W"
Group E,2,Curaçao,0,0,0,0,0,0,0,0,"D,W,D,L,W"
Group E,3,Côte d'Ivoire,0,0,0,0,0,0,0,0,"W,L,W,W,W"
Group E,4,Ecuador,0,0,0,0,0,0,0,0,"W,D,D,W,W"
Group F,1,Netherlands,0,0,0,0,0,0,0,0,"W,W,D,L,W"
Group F,2,Japan,0,0,0,0,0,0,0,0,"W,W,W,W,W"
Group F,3,Sweden,0,0,0,0,0,0,0,0,"D,W,W,L,D"
Group F,4,Tunisia,0,0,0,0,0,0,0,0,"D,W,D,L,L"
Group G,1,Belgium,0,0,0,0,0,0,0,0,"W,W,D,W,W"
Group G,2,Egypt,0,0,0,0,0,0,0,0,"D,W,D,W,L"
Group G,3,IR Iran,0,0,0,0,0,0,0,0,"W,L,W,W,W"
Group G,4,New Zealand,0,0,0,0,0,0,0,0,"D,L,L,L,L"
Group H,1,Spain,0,0,0,0,0,0,0,0,"D,W,D,D,W"
Group H,2,Cabo Verde,0,0,0,0,0,0,0,0,"W,D,W,W,W"
Group H,3,Saudi Arabia,0,0,0,0,0,0,0,0,"L,L,L,W,D"
Group H,4,Uruguay,0,0,0,0,0,0,0,0,"W,D,L,D,D"
Group I,1,France,0,0,0,0,0,0,0,0,"W,W,W,L,W"
Group I,2,Senegal,0,0,0,0,0,0,0,0,"W,W,W,L,D"
Group I,3,Iraq,0,0,0,0,0,0,0,0,"W,W,W,D,L"
Group I,4,Norway,0,0,0,0,0,0,0,0,"W,L,D,W,D"
Group J,1,Argentina,0,0,0,0,0,0,0,0,"W,W,W,W,W"
Group J,2,Algeria,0,0,0,0,0,0,0,0,"W,L,W,D,W"
Group J,3,Austria,0,0,0,0,0,0,0,0,"W,D,W,W,W"
Group J,4,Jordan,0,0,0,0,0,0,0,0,"L,L,D,L,L"
Group K,1,Portugal,0,0,0,0,0,0,0,0,"L,W,D,W,W"
Group K,2,Congo DR,0,0,0,0,0,0,0,0,"L,W,W,D,L"
Group K,3,Uzbekistan,0,0,0,0,0,0,0,0,"W,W,L,L,L"
Group K,4,Colombia,0,0,0,0,0,0,0,0,"W,L,L,W,W"
Group L,1,England,0,0,0,0,0,0,0,0,"W,W,D,L,W"
Group L,2,Croatia,0,0,0,0,0,0,0,0,"W,W,L,L,W"
Group L,3,Ghana,0,0,0,0,0,0,0,0,"L,L,L,L,D"
Group L,4,Panama,0,0,0,0,0,0,0,0,"D,W,L,W,D"
