player,position,age,mp,starts,minutes,gls,ast,crdY,crdR,team
Nicolás Otamendi,DF,38,20,20,1662,4,0,2,1,Argentina
Emiliano Martínez,GK,33,18,18,1603,0,0,0,0,Argentina
Rodrigo De Paul,MF,32,21,17,1526,0,2,2,0,Argentina
Cristian Romero,DF,28,19,17,1513,0,0,4,0,Argentina
Enzo Fernández,MF,25,19,17,1468,3,3,2,1,Argentina
Julián Álvarez,FW,26,20,18,1439,5,3,1,0,Argentina
Nahuel Molina,DF,28,18,16,1418,0,2,1,0,Argentina
Nicolás Tagliafico,DF,33,17,16,1344,1,1,3,0,Argentina
Alexis Mac Allister,MF,27,18,15,1241,2,1,1,0,Argentina
Lionel Messi,FW,38,15,11,1100,10,3,0,0,Argentina
Lautaro Martínez,FW,28,16,9,845,5,2,3,0,Argentina
Nicolás González,FW,28,15,9,836,2,3,0,1,Argentina
Thiago Almada,MF,25,11,9,718,4,3,1,0,Argentina
Leandro Paredes,MF,31,15,7,605,0,0,2,0,Argentina
Giuliano Simeone,MF,23,11,5,482,2,0,0,0,Argentina
Giovani Lo Celso,MF,30,11,4,358,0,2,1,0,Argentina
Exequiel Palacios,MF,27,12,3,350,0,3,1,0,Argentina
Leonardo Balerdi,DF,27,7,3,330,0,0,1,0,Argentina
Gonzalo Montiel,DF,29,7,4,299,0,0,1,0,Argentina
Gerónimo Rulli,GK,34,3,3,270,0,0,0,0,Argentina
Lisandro Martínez,DF,28,5,4,266,0,0,1,0,Argentina
Facundo Medina,DF,27,6,2,240,0,0,1,0,Argentina
Nicolás Paz,MF,21,7,3,218,1,1,0,0,Argentina
Marcos Acuña,DF,34,6,2,196,0,0,0,0,Argentina
Ángel Di María,FW,38,4,1,170,0,2,0,0,Argentina
Valentín Barco,DF,21,3,2,127,2,0,2,0,Argentina
