number,player,position,club,birth_date,age,mp,min
16,Thiago Almada,FW,Atlético Madrid,2001-04-26,25,,
9,Julián Álvarez,FW,Atlético Madrid,2000-01-31,26,,
,Leonardo Balerdi,DF,Marseille,1999-01-26,27,,
8,Valentín Barco,DF,Strasbourg,2004-07-23,21,,
7,Rodrigo De Paul,FW,Inter Miami,1994-05-24,32,,
24,Enzo Fernández,MF,Chelsea,2001-01-17,25,,
15,Nicolás González,FW,Atlético Madrid,1998-04-06,28,,
11,Giovani Lo Celso,FW,Real Betis,1996-04-09,30,,
21,Flaco López,FW,Palmeiras,2000-12-06,25,,
20,Alexis Mac Allister,MF,Liverpool,1998-12-24,27,,
23,Emiliano Martínez,GK,Aston Villa,1992-09-02,33,,
22,Lautaro Martínez,FW,Inter,1997-08-22,28,,
6,Lisandro Martínez,DF,Manchester Utd,1998-01-18,28,,
25,Facundo Medina,DF,Marseille,1999-05-28,27,,
10,Lionel Messi,FW,Inter Miami,1987-06-24,38,,
26,Nahuel Molina,DF,Atlético Madrid,1998-04-06,28,,
4,Gonzalo Montiel,DF,River Plate,1997-01-01,29,,
1,Juan Musso,GK,Atlético Madrid,1994-05-06,32,,
19,Nicolás Otamendi,DF,Benfica,1988-02-12,38,,
14,Exequiel Palacios,DF,Leverkusen,1998-10-05,27,,
5,Leandro Paredes,MF,Boca Juniors,1994-06-29,31,,
18,Nicolás Paz,MF,Como,2004-09-08,21,,
13,Cristian Romero,DF,Tottenham Hotspur,1998-04-27,28,,
12,Gerónimo Rulli,GK,Marseille,1992-05-20,34,,
17,Giuliano Simeone,FW,Atlético Madrid,2002-12-18,23,,
3,Nicolás Tagliafico,DF,Lyon,1992-08-31,33,,
