id,team_name,league,matches_played,shots,goals,xg_for
1,Alavés,La Liga,38,146,28,33.3
2,Angers,Ligue 1,34,111,30,35.1
3,Arsenal,Premier League,38,186,67,33.7
4,Aston Villa,Premier League,38,170,53,35.2
5,Atalanta,Serie A,38,175,50,31.1
6,Athletic Club,La Liga,38,172,42,33.0
7,Atlético Madrid,La Liga,38,194,58,39.0
8,Augsburg,Bundesliga,34,157,45,35.3
9,Auxerre,Ligue 1,34,119,30,32.7
10,Barcelona,La Liga,38,225,94,37.1
11,Bayern Munich,Bundesliga,34,328,119,44.3
12,Bologna,Serie A,38,144,47,29.4
13,Bournemouth,Premier League,38,178,57,33.8
14,Brentford,Premier League,38,147,53,36.3
15,Brest,Ligue 1,34,120,42,31.6
16,Brighton,Premier League,38,176,51,35.6
17,Burnley,Premier League,38,118,35,33.2
18,Cagliari,Serie A,38,132,40,31.8
19,Celta Vigo,La Liga,38,153,52,40.1
20,Chelsea,Premier League,38,166,57,32.6
21,Como,Serie A,38,194,64,35.3
22,Cremonese,Serie A,38,125,32,36.1
23,Crystal Palace,Premier League,38,141,40,31.9
24,Dortmund,Bundesliga,34,163,69,36.6
25,Eintracht Frankfurt,Bundesliga,34,157,61,38.5
26,Elche,La Liga,38,145,47,35.4
27,Espanyol,La Liga,38,158,42,32.9
28,Everton,Premier League,38,142,45,33.6
29,Fiorentina,Serie A,38,131,40,26.8
30,Freiburg,Bundesliga,34,143,49,34.4
31,Fulham,Premier League,38,138,43,28.7
32,Genoa,Serie A,38,143,41,32.9
33,Getafe,La Liga,38,105,31,30.0
34,Girona,La Liga,38,157,38,36.9
35,Gladbach,Bundesliga,34,141,40,35.7
36,Hamburger SV,Bundesliga,34,155,40,37.0
37,Heidenheim,Bundesliga,34,123,41,31.6
38,Hellas Verona,Serie A,38,141,24,33.5
39,Hoffenheim,Bundesliga,34,176,61,36.7
40,Inter,Serie A,38,229,85,35.2
41,Juventus,Serie A,38,227,59,35.5
42,Köln,Bundesliga,34,158,47,34.6
43,Lazio,Serie A,38,156,39,37.4
44,Le Havre,Ligue 1,34,124,31,33.2
45,Lecce,Serie A,38,97,28,26.0
46,Leeds United,Premier League,38,151,48,31.7
47,Lens,Ligue 1,34,189,65,33.7
48,Levante,La Liga,38,147,47,30.9
49,Leverkusen,Bundesliga,34,176,67,34.1
50,Lille,Ligue 1,34,157,51,33.8
51,Liverpool,Premier League,38,175,61,29.8
52,Lorient,Ligue 1,34,134,47,34.8
53,Lyon,Ligue 1,34,159,52,38.1
54,Mainz 05,Bundesliga,34,141,44,34.4
55,Mallorca,La Liga,38,158,47,38.3
56,Manchester City,Premier League,38,205,74,34.5
57,Manchester Utd,Premier League,38,215,66,36.1
58,Marseille,Ligue 1,34,195,62,38.1
59,Metz,Ligue 1,34,108,31,31.6
60,Milan,Serie A,38,166,53,33.0
61,Monaco,Ligue 1,34,151,57,35.4
62,Nantes,Ligue 1,34,109,28,29.0
63,Napoli,Serie A,38,179,57,35.7
64,Newcastle United,Premier League,38,176,53,35.8
65,Nice,Ligue 1,34,134,35,35.1
66,Nottingham Forest,Premier League,38,156,47,32.8
67,Osasuna,La Liga,38,152,42,33.8
68,Oviedo,La Liga,38,119,26,31.6
69,Paris FC,Ligue 1,34,135,46,34.2
70,Paris Saint-Germain,Ligue 1,34,226,73,37.6
71,Parma,Serie A,38,104,26,25.6
72,Pisa,Serie A,38,106,25,29.1
73,Rayo Vallecano,La Liga,38,183,41,34.5
74,RB Leipzig,Bundesliga,34,204,64,37.9
75,Real Betis,La Liga,38,183,58,33.9
76,Real Madrid,La Liga,38,253,77,38.1
77,Real Sociedad,La Liga,38,175,57,37.2
78,Rennes,Ligue 1,34,169,57,35.1
79,Roma,Serie A,38,178,59,35.4
80,Sassuolo,Serie A,38,143,45,35.2
81,Sevilla,La Liga,38,137,44,31.3
82,St Pauli,Bundesliga,34,114,29,32.9
83,Strasbourg,Ligue 1,34,158,57,40.6
84,Stuttgart,Bundesliga,34,207,70,39.9
85,Sunderland,Premier League,38,130,38,32.8
86,Torino,Serie A,38,151,42,33.6
87,Tottenham Hotspur,Premier League,38,146,47,33.6
88,Toulouse,Ligue 1,34,144,46,33.7
89,Udinese,Serie A,38,146,44,33.3
90,Union Berlin,Bundesliga,34,133,44,31.4
91,Valencia,La Liga,38,123,46,27.4
92,Villarreal,La Liga,38,172,71,37.8
93,Werder Bremen,Bundesliga,34,140,36,31.6
94,West Ham United,Premier League,38,142,44,35.1
95,Wolfsburg,Bundesliga,34,142,44,35.1
96,Wolves,Premier League,38,123,26,33.3
