number,player,position,club,birth_place,birth_date,age,mp,min,gls
23,Jayden Adams,MF,Mamelodi Sundowns,,2001-05-05,25-037,,,
7,Oswin Appollis,MF,Orlando Pirates,,2001-08-25,24-290,,,
16,Sipho Chaine,GK,Orlando Pirates,South Africa,1996-12-14,29-179,,,
26,Bradley Cross,DF,Kaizer Chiefs,Kempton Park South Africa,2001-01-30,25-132,,,
9,Lyle Foster,FW,Burnley,,2000-09-03,25-281,,,
22,Ricardo Goss,GK,Siwelele,,1994-04-02,32-070,,,
18,Samukele Kabini,DF,Molde,South Africa,2004-03-15,22-088,,,
17,Evidence Makgopa,FW,Orlando Pirates,South Africa,2000-06-05,26-006,,,
24,Olwethu Makhanya,DF,Philadelphia Union,South Africa,2004-04-30,22-042,,,
12,Thapelo Maseko,MF,AEL Limassol,South Africa,2003-11-11,22-212,,,
2,Thabang Matuludi,DF,Polokwane City,South Africa,1999-01-14,27-148,,,
5,Thalente Mbatha,MF,Orlando Pirates,South Africa,2000-03-16,26-087,,,
14,Mbekezeli Mbokazi,DF,Chicago Fire,South Africa,2005-09-19,20-265,,,
6,Aubrey Modiba,DF,Mamelodi Sundowns,Polokwane South Africa,1995-07-22,30-324,,,
10,Relebohile Mofokeng,MF,Orlando Pirates,South Africa,2004-10-23,21-231,,,
4,Teboho Mokoena,MF,Mamelodi Sundowns,Bethlehem South Africa,1997-01-24,29-138,,,
8,Tshepang Moremi,MF,Orlando Pirates,South Africa,2000-10-02,25-252,,,
20,Khuliso Mudau,DF,Mamelodi Sundowns,South Africa,1995-04-26,31-046,,,
3,Khulumani Ndamane,DF,Mamelodi Sundowns,South Africa,2004-02-05,22-126,,,
21,Ime Okon,DF,Hannover 96,South Africa,2004-02-20,22-111,,,
15,Iqraam Rayners,FW,Mamelodi Sundowns,South Africa,1995-12-19,30-174,,,
25,Kamogelo Sebelebele,DF,Orlando Pirates,South Africa,2002-07-21,23-325,,,
19,Nkosinathi Sibisi,DF,Orlando Pirates,South Africa,1995-09-22,30-262,,,
13,Sphephelo Sithole,MF,Tondela,South Africa,1999-03-03,27-100,,,
1,Ronwen Williams,GK,Mamelodi Sundowns,Gqeberha South Africa,1992-01-21,34-141,,,
11,Themba Zwane,FW,Mamelodi Sundowns,Tembisa South Africa,1989-08-03,36-312,,,
