nationality_name,nation_team_id
Argentina,1369
Poland,1353
Portugal,1354
Belgium,1325
France,1335
Germany,1337
England,1318
Netherlands,105035
Italy,1343
Spain,1362
Norway,1352
Scotland,1359
Denmark,1331
Hungary,1886
Sweden,1363
Austria,1322
Finland,1334
Mexico,1386
Brazil,1370
Wales,1367
United States,1387
Canada,111455
Czech Republic,1330
Ukraine,1366
Greece,1338
Northern Ireland,110081
Iceland,1341
New Zealand,111473
China PR,1413
Russia,1357
Republic of Ireland,1355
Romania,1356
Australia,1415
