player,position,age,mp,starts,minutes,gls,ast,crdY,crdR,team,archivo_origen,number,club,birth_date,min,city_id,latitude,longitude,altitude_meters,id,team_name,league,matches_played,shots,goals,xg_for,fifa_code,iso2_code,city_name,country,venue_name,region_cluster,airport_code,match_number,home_team_id,away_team_id,stage_id,kickoff_at,match_label,birth_place,stadium_id,stadium_name,filename,group_letter,is_placeholder,nationality_name,nation_team_id,stage_name,stage_order,group,rank,w,d,l,gf,ga,gd,pts,last_5,team_code
Nicolás Otamendi,DF,38,20.0,20.0,1662.0,4.0,0.0,2.0,1.0,Argentina,argentina_all_competitions_2026.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiliano Martínez,GK,33,18.0,18.0,1603.0,0.0,0.0,0.0,0.0,Argentina,argentina_all_competitions_2026.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo De Paul,MF,32,21.0,17.0,1526.0,0.0,2.0,2.0,0.0,Argentina,argentina_all_competitions_2026.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristian Romero,DF,28,19.0,17.0,1513.0,0.0,0.0,4.0,0.0,Argentina,argentina_all_competitions_2026.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Fernández,MF,25,19.0,17.0,1468.0,3.0,3.0,2.0,1.0,Argentina,argentina_all_competitions_2026.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julián Álvarez,FW,26,20.0,18.0,1439.0,5.0,3.0,1.0,0.0,Argentina,argentina_all_competitions_2026.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nahuel Molina,DF,28,18.0,16.0,1418.0,0.0,2.0,1.0,0.0,Argentina,argentina_all_competitions_2026.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolás Tagliafico,DF,33,17.0,16.0,1344.0,1.0,1.0,3.0,0.0,Argentina,argentina_all_competitions_2026.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis Mac Allister,MF,27,18.0,15.0,1241.0,2.0,1.0,1.0,0.0,Argentina,argentina_all_competitions_2026.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,FW,38,15.0,11.0,1100.0,10.0,3.0,0.0,0.0,Argentina,argentina_all_competitions_2026.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
