Country,Category,Player,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Matches
Algeria,all_competitions,Alexis Guendouz,GK,30.0,5.0,5.0,450,5.0,3.0,0.6,,,,4.0,1.0,0.0,2,40.0,0,0,0,0,,Matches
Algeria,all_competitions,Anthony Mandrea,GK,29.0,4.0,4.0,360,4.0,4.0,1.0,,,,3.0,0.0,1.0,1,25.0,0,0,0,0,,Matches
Algeria,all_competitions,Luca Zidane,GK,27.0,1.0,1.0,90,1.0,1.0,1.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,,Matches
Algeria,all_competitions,Squad Total,,28.6,10.0,10.0,900,10.0,8.0,0.8,,,,8.0,1.0,1.0,3,30.0,0,0,0,0,,
Algeria,all_competitions,Opponent Total,,28.6,10.0,10.0,900,10.0,25.0,2.5,,,,1.0,1.0,8.0,1,10.0,2,2,0,0,0.0,
Algeria,all_competitions,Luca Zidane,GK,28-032,2.0,2.0,180,2.0,0.0,0.0,,,,1.0,1.0,0.0,2,100.0,0,0,0,0,,Matches
Algeria,all_competitions,Melvin Mastil,GK,26-115,2.0,1.0,135,1.5,0.0,0.0,,,,1.0,0.0,0.0,2,200.0,0,0,0,0,,Matches
Algeria,all_competitions,Oussama Benbot,GK,31-246,1.0,1.0,45,0.5,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,,Matches
Algeria,all_competitions,Squad Total,,27.0,4.0,4.0,360,4.0,0.0,0.0,,,,3.0,1.0,0.0,4,100.0,0,0,0,0,,
Algeria,all_competitions,Opponent Total,,26.6,4.0,4.0,360,4.0,12.0,3.0,,,,0.0,1.0,3.0,1,25.0,1,1,0,0,0.0,
Algeria,all_competitions,Alexis Guendouz,GK,30-139,5.0,5.0,450,5.0,3.0,0.6,,,,4.0,1.0,0.0,2,40.0,0,0,0,0,,Matches
Algeria,all_competitions,Anthony Mandrea,GK,29-171,4.0,4.0,360,4.0,4.0,1.0,,,,3.0,0.0,1.0,1,25.0,0,0,0,0,,Matches
Algeria,all_competitions,Luca Zidane,GK,28-032,3.0,3.0,270,3.0,1.0,0.33,,,,2.0,1.0,0.0,2,66.7,0,0,0,0,,Matches
Algeria,all_competitions,Melvin Mastil,GK,26-115,2.0,1.0,135,1.5,0.0,0.0,,,,1.0,0.0,0.0,2,200.0,0,0,0,0,,Matches
Algeria,all_competitions,Oussama Benbot,GK,31-246,1.0,1.0,45,0.5,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,,Matches
Argentina,all_competitions,Emiliano Martínez,GK,33-285,2.0,2.0,163,1.8,1.0,0.55,,,,2.0,0.0,0.0,1,50.0,0,0,0,0,,Matches
Argentina,all_competitions,Juan Musso,GK,32-039,2.0,1.0,97,1.1,0.0,0.0,,,,1.0,0.0,0.0,2,200.0,0,0,0,0,,Matches
Argentina,all_competitions,Gerónimo Rulli,GK,34-025,1.0,1.0,90,1.0,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,,Matches
Argentina,all_competitions,Santiago Beltrán,GK,21-253,1.0,0.0,10,0.1,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,,Matches
Argentina,all_competitions,Squad Total,,28.6,4.0,4.0,360,4.0,1.0,0.25,,,,4.0,0.0,0.0,3,75.0,0,0,0,0,,
Argentina,all_competitions,Opponent Total,,26.4,4.0,4.0,360,4.0,12.0,3.0,,,,0.0,0.0,4.0,0,0.0,3,3,0,0,0.0,
Argentina,all_competitions,Emiliano Martínez,GK,33.0,16.0,16.0,"1,440",16.0,9.0,0.56,31.0,24.0,77.4,11.0,1.0,4.0,10,62.5,2,2,0,0,0.0,Matches
Argentina,all_competitions,Gerónimo Rulli,GK,33.0,2.0,2.0,180,2.0,1.0,0.5,7.0,6.0,85.7,1.0,1.0,0.0,1,50.0,0,0,0,0,,Matches
Argentina,all_competitions,Squad Total,,30.2,18.0,18.0,"1,620",18.0,10.0,0.56,38.0,30.0,78.9,12.0,2.0,4.0,11,61.1,2,2,0,0,0.0,
Argentina,all_competitions,Opponent Total,,29.3,18.0,18.0,"1,620",18.0,31.0,1.72,80.0,49.0,61.3,4.0,2.0,12.0,2,11.1,0,0,0,0,,
Argentina,all_competitions,Emiliano Martínez,GK,33-285,18.0,18.0,"1,603",17.8,10.0,0.56,31.0,24.0,77.4,13.0,1.0,4.0,11,61.1,2,2,0,0,0.0,Matches
Argentina,all_competitions,Gerónimo Rulli,GK,34-025,3.0,3.0,270,3.0,1.0,0.33,7.0,6.0,85.7,2.0,1.0,0.0,2,66.7,0,0,0,0,,Matches
Argentina,all_competitions,Juan Musso,GK,32-039,2.0,1.0,97,1.1,0.0,0.0,,,,1.0,0.0,0.0,2,200.0,0,0,0,0,,Matches
Argentina,all_competitions,Santiago Beltrán,GK,21-253,1.0,0.0,10,0.1,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,,Matches
Australia,all_competitions,Patrick Beach,GK,22-312,1.0,1.0,90,1.0,0.0,0.0,8.0,8.0,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,,Matches
Australia,all_competitions,Squad Total,,25.1,1.0,1.0,90,1.0,0.0,0.0,8.0,8.0,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,,
Australia,all_competitions,Opponent Total,,27.6,1.0,1.0,90,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0,0.0,0,0,0,0,,
Australia,all_competitions,Patrick Beach,GK,22-312,1.0,1.0,90,1.0,1.0,1.0,,,,0.0,1.0,0.0,0,0.0,0,0,0,0,,Matches
Australia,all_competitions,Mathew Ryan,GK,34-067,1.0,1.0,90,1.0,1.0,1.0,,,,0.0,0.0,1.0,0,0.0,0,0,0,0,,Matches
Australia,all_competitions,Squad Total,,26.4,2.0,2.0,180,2.0,2.0,1.0,,,,0.0,1.0,1.0,0,0.0,0,0,0,0,,
Australia,all_competitions,Opponent Total,,28.7,2.0,2.0,180,2.0,1.0,0.5,,,,1.0,1.0,0.0,1,50.0,0,0,0,0,,
Australia,all_competitions,Mathew Ryan,GK,33.0,11.0,11.0,990,11.0,5.0,0.45,17.0,13.0,70.6,8.0,2.0,1.0,7,63.6,2,0,1,1,100.0,Matches
Australia,all_competitions,Joe Gauci,GK,25.0,5.0,5.0,450,5.0,2.0,0.4,6.0,4.0,66.7,3.0,2.0,0.0,3,60.0,0,0,0,0,,Matches
Australia,all_competitions,Squad Total,,29.5,16.0,16.0,"1,440",16.0,7.0,0.44,23.0,17.0,69.6,11.0,4.0,1.0,10,62.5,2,0,1,1,100.0,
Australia,all_competitions,Opponent Total,,28.6,16.0,16.0,"1,440",16.0,38.0,2.37,33.0,18.0,-6.1,1.0,4.0,11.0,3,18.8,4,3,1,0,25.0,
Australia,all_competitions,Mathew Ryan,GK,34-067,12.0,12.0,"1,080",12.0,6.0,0.5,17.0,13.0,70.6,8.0,2.0,2.0,7,58.3,2,0,1,1,100.0,Matches
Australia,all_competitions,Joe Gauci,GK,25-345,5.0,5.0,450,5.0,2.0,0.4,6.0,4.0,66.7,3.0,2.0,0.0,3,60.0,0,0,0,0,,Matches
Australia,all_competitions,Patrick Beach,GK,22-312,2.0,2.0,180,2.0,1.0,0.5,8.0,8.0,100.0,1.0,1.0,0.0,1,50.0,0,0,0,0,,Matches
Austria,all_competitions,Alexander Schlager,GK,30-133,2.0,2.0,135,1.5,0.0,0.0,,,,2.0,0.0,0.0,1,50.0,0,0,0,0,,Matches
Austria,all_competitions,Patrick Pentz,GK,29-163,1.0,1.0,90,1.0,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,,Matches
