Country,Category,Player,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Matches
Algeria,all_competitions,Aïssa Mandi,DF,34.0,9.1,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Riyad Mahrez,"FW,MF",34.0,5.8,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Mohamed Amoura,FW,25.0,8.2,10,,,,,,,,2,2,Matches
Algeria,all_competitions,Youcef Atal,DF,29.0,5.9,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Amine Gouiri,"FW,MF",25.0,5.8,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Hicham Boudaoui,MF,26.0,6.5,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Ramy Bensebaini,DF,30.0,6.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Rayan Aït-Nouri,DF,24.0,5.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Fares Chaïbi,MF,23.0,5.0,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Alexis Guendouz,GK,30.0,5.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Nabil Bentaleb,MF,31.0,4.6,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Mohamed Amine Tougai,DF,26.0,4.9,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Anthony Mandrea,GK,29.0,4.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Jaouen Hadjam,DF,22.0,3.7,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Ramiz Zerrouki,MF,27.0,3.3,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Saïd Benrahma,"FW,MF",30.0,3.1,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Baghdad Bounedjah,FW,34.0,2.8,3,,,,,,,,0,0,Matches
Algeria,all_competitions,Houssem Aouar,MF,27.0,2.7,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Yassine Benzia,MF,31.0,1.9,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Adem Zorgane,MF,26.0,1.8,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Rafik Belghali,DF,23.0,1.7,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Ibrahim Maza,MF,20.0,1.3,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Ahmed Kendouci,MF,26.0,1.2,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Mohamed Amine Madani,DF,32.0,1.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Yasser Larouci,DF,25.0,1.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Luca Zidane,GK,27.0,1.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Ismaël Bennacer,MF,28.0,0.9,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Sofiane Feghouli,MF,36.0,0.8,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Yacine Brahimi,MF,35.0,0.6,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Islam Slimani,FW,37.0,0.4,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Youcef Belaïli,"FW,MF",33.0,1.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Anis Hadj Moussa,"FW,MF",23.0,0.8,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Adam Ounas,"FW,MF",29.0,0.7,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Kévin Van Den Kerkhof,"DF,MF",29.0,0.6,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Ahmed Touba,DF,27.0,0.6,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Monsef Bakrar,FW,25.0,0.3,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Samir Chergui,DF,26.0,0.3,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Mehdi Dorval,"DF,MF",24.0,0.3,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Ilan Kebbal,"FW,MF",27.0,0.1,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Amin Chiakha,FW,19.0,0.1,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Zineddine Belaïd,DF,26.0,0.1,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Squad Total,,28.6,10.0,22,,,,,,,,2,2,
Algeria,all_competitions,Opponent Total,,28.6,10.0,8,,,,,,,,0,0,
Algeria,all_competitions,Rayan Aït-Nouri,DF,25-008,2.7,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Zineddine Belaïd,DF,27-086,3.5,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Amine Gouiri,FW,26-118,2.7,4,,,,,,,,0,0,Matches
Algeria,all_competitions,Houssem Aouar,MF,27-349,2.5,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Mohamed Amoura,"FW,MF",26-036,2.2,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Achref Abada,DF,26-364,2.1,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Aïssa Mandi,DF,34-235,2.0,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Riyad Mahrez,"FW,MF",35-113,2.0,1,,,,,,,,1,1,Matches
Algeria,all_competitions,Ibrahim Maza,MF,20-202,2.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Luca Zidane,GK,28-032,2.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Ramiz Zerrouki,MF,28-019,2.0,0,,,,,,,,0,0,Matches
