Country,Category,Player,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,Playing Time_MP
Algeria,all_competitions,Aïssa Mandi,DF,34.0,10.0,10,823.0,9.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,
Algeria,all_competitions,Riyad Mahrez,"FW,MF",34.0,8.0,8,520.0,5.8,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.17,0.69,0.87,0.17,0.87,Matches,
Algeria,all_competitions,Mohamed Amoura,FW,25.0,10.0,7,742.0,8.2,10.0,4.0,14.0,8.0,2.0,2.0,1.0,0.0,1.21,0.49,1.7,0.97,1.46,Matches,
Algeria,all_competitions,Youcef Atal,DF,29.0,8.0,7,532.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
Algeria,all_competitions,Amine Gouiri,"FW,MF",25.0,9.0,7,525.0,5.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.17,0.17,0.34,0.17,0.34,Matches,
Algeria,all_competitions,Hicham Boudaoui,MF,26.0,8.0,6,581.0,6.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,
Algeria,all_competitions,Ramy Bensebaini,DF,30.0,6.0,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
Algeria,all_competitions,Rayan Aït-Nouri,DF,24.0,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
Algeria,all_competitions,Fares Chaïbi,MF,23.0,8.0,5,450.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.4,Matches,
Algeria,all_competitions,Alexis Guendouz,GK,30.0,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
Algeria,all_competitions,Nabil Bentaleb,MF,31.0,7.0,5,416.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,
