Jugador,Edad,Altura,Peso,Tipo_Lesion,Dias_Baja,Partidos_Perdidos
"Emiliano Martínez","33","1.95 m","","Calf problems","5","1"
"Emiliano Martínez","33","1.95 m","","muscular problems","4","1"
"Emiliano Martínez","33","1.95 m","","muscular problems","3","1"
"Emiliano Martínez","33","1.95 m","","Knock","3","1"
"Emiliano Martínez","33","1.95 m","","Muscle injury","12","2"
"Emiliano Martínez","33","1.95 m","","unknown injury","3","1"
"Emiliano Martínez","33","1.95 m","","unknown injury","6","1"
"Emiliano Martínez","33","1.95 m","","Knee problems","10","1"
"Gerónimo Rulli","34","1.89 m","","Shoulder injury","104","22"
"Gerónimo Rulli","34","1.89 m","","Cruciate ligament strain","56","8"
"Gerónimo Rulli","34","1.89 m","","Metatarsal fracture","71","9"
"Juan Musso","32","1.93 m","","Ankle sprain","15","1"
"Juan Musso","32","1.93 m","","Broken jaw","36","5"
"Juan Musso","32","1.93 m","","Corona virus","7","0"
"Juan Musso","32","1.93 m","","surgery","20","4"
"Juan Musso","32","1.93 m","","Finger injury","37","2"
"Cristian Romero","28","1.85 m","","Knee injury","56","6"
"Cristian Romero","28","1.85 m","","Adductor injury","13","4"
"Cristian Romero","28","1.85 m","","Hamstring injury","86","20"
"Cristian Romero","28","1.85 m","","Toe injury","15","4"
"Cristian Romero","28","1.85 m","","Ankle injury","6","1"
"Cristian Romero","28","1.85 m","","Hamstring strain","20","3"
"Cristian Romero","28","1.85 m","","Hamstring injury","23","6"
"Cristian Romero","28","1.85 m","","Adductor pain","16","3"
"Cristian Romero","28","1.85 m","","Hip problems","15","3"
"Cristian Romero","28","1.85 m","","Hamstring injury","81","17"
"Cristian Romero","28","1.85 m","","Quarantine","9","3"
"Cristian Romero","28","1.85 m","","Knee injury","6","1"
"Cristian Romero","28","1.85 m","","Knee injury","18","3"
"Cristian Romero","28","1.85 m","","muscular problems","6","1"
"Cristian Romero","28","1.85 m","","Corona virus","5","1"
"Lisandro Martínez","28","1.75 m","","Calf injury","45","8"
"Lisandro Martínez","28","1.75 m","","Cruciate ligament injury","292","44"
"Lisandro Martínez","28","1.75 m","","Back problems","3","1"
"Lisandro Martínez","28","1.75 m","","Calf strain","30","6"
"Lisandro Martínez","28","1.75 m","","Knee injury","55","9"
"Lisandro Martínez","28","1.75 m","","Foot injury","106","26"
"Lisandro Martínez","28","1.75 m","","Metatarsal fracture","78","14"
"Lisandro Martínez","28","1.75 m","","Muscle injury","63","9"
"Lisandro Martínez","28","1.75 m","","unknown injury","11","1"
"Lisandro Martínez","28","1.75 m","","Knock","7","1"
"Lisandro Martínez","28","1.75 m","","Hamstring injury","21","1"
"Marcos Senesi","29","1.84 m","","Hamstring injury","123","21"
"Marcos Senesi","29","1.84 m","","Facial injury","10","1"
"Marcos Senesi","29","1.84 m","","Hamstring injury","33","6"
"Marcos Senesi","29","1.84 m","","Ill","4","1"
"Marcos Senesi","29","1.84 m","","Groin injury","13","0"
"Marcos Senesi","29","1.84 m","","Groin injury","22","2"
"Marcos Senesi","29","1.84 m","","Quarantine","5","1"
"Marcos Senesi","29","1.84 m","","Arm injury","11","0"
"Facundo Medina","27","1.84 m","","Ankle sprain","85","17"
"Facundo Medina","27","1.84 m","","Injury to the ankle","14","2"
"Facundo Medina","27","1.84 m","","Dead leg","5","0"
"Facundo Medina","27","1.84 m","","Knee injury","19","3"
"Facundo Medina","27","1.84 m","","Muscle injury","7","2"
"Facundo Medina","27","1.84 m","","Corona virus","11","2"
"Facundo Medina","27","1.84 m","","Knee problems","26","3"
"Facundo Medina","27","1.84 m","","Knee injury","6","0"
"Nicolás Otamendi","38","1.82 m","","muscular problems","7","1"
"Nicolás Otamendi","38","1.82 m","","Corona virus","10","3"
"Nicolás Otamendi","38","1.82 m","","Knock","7","2"
"Nicolás Otamendi","38","1.82 m","","Knock","12","2"
"Nicolás Otamendi","38","1.82 m","","Knee injury","13","2"
"Nicolás Otamendi","38","1.82 m","","Achilles tendon problems","14","3"
"Nicolás Otamendi","38","1.82 m","","Knock","8","2"
"Nicolás Otamendi","38","1.82 m","","Ankle problems","8","1"
"Nicolás Otamendi","38","1.82 m","","Ankle problems","5","1"
"Nicolás Tagliafico","33","1.72 m","","Ankle sprain","26","6"
"Nicolás Tagliafico","33","1.72 m","","Calf injury","23","4"
"Nicolás Tagliafico","33","1.72 m","","Ill","10","1"
"Nicolás Tagliafico","33","1.72 m","","Injury to the ankle","6","1"
"Nicolás Tagliafico","33","1.72 m","","Rest","5","1"
"Nicolás Tagliafico","33","1.72 m","","concussion","9","1"
"Nicolás Tagliafico","33","1.72 m","","Inflammation of pubic bone","11","1"
"Nicolás Tagliafico","33","1.72 m","","Rest","15","2"
"Nicolás Tagliafico","33","1.72 m","","Head injury","14","4"
"Nicolás Tagliafico","33","1.72 m","","Eye injury","13","1"
"Nicolás Tagliafico","33","1.72 m","","Knock","2","0"
"Nicolás Tagliafico","33","1.72 m","","Knock","4","1"
"Nicolás Tagliafico","33","1.72 m","","Knee injury","45","5"
"Nicolás Tagliafico","33","1.72 m","","Hip injury","3","0"
"Nicolás Tagliafico","33","1.72 m","","Hip problems","6","1"
"Nahuel Molina","28","1.79 m","","Muscle injury","19","5"
"Nahuel Molina","28","1.79 m","","Muscle injury","38","5"
"Nahuel Molina","28","1.79 m","","Muscle injury","26","1"
"Nahuel Molina","28","1.79 m","","unknown injury","9","2"
"Nahuel Molina","28","1.79 m","","unknown injury","4","1"
"Nahuel Molina","28","1.79 m","","Hip injury","34","1"
"Nahuel Molina","28","1.79 m","","Fitness","25","1"
"Gonzalo Montiel","29","1.75 m","","Muscle tear","22","3"
"Gonzalo Montiel","29","1.75 m","","Muscle tear","16","4"
"Gonzalo Montiel","29","1.75 m","","Knee problems","9","2"
"Gonzalo Montiel","29","1.75 m","","Knee injury","10","1"
"Gonzalo Montiel","29","1.75 m","","muscular problems","31","5"
"Gonzalo Montiel","29","1.75 m","","muscular problems","9","1"
"Gonzalo Montiel","29","1.75 m","","Calf muscle tear","24","6"
"Gonzalo Montiel","29","1.75 m","","unknown injury","11","1"
"Gonzalo Montiel","29","1.75 m","","Knock","15","3"
"Gonzalo Montiel","29","1.75 m","","Muscle tear","15","3"
"Gonzalo Montiel","29","1.75 m","","Thigh problems","15","1"
"Gonzalo Montiel","29","1.75 m","","Thigh problems","12","3"
"Gonzalo Montiel","29","1.75 m","","Corona virus","18","2"
"Gonzalo Montiel","29","1.75 m","","Thigh problems","4","1"
"Gonzalo Montiel","29","1.75 m","","Mononucleation","36","6"
"Leandro Paredes","31","1.82 m","","Ankle sprain","11","2"
"Leandro Paredes","31","1.82 m","","Rest","3","1"
"Leandro Paredes","31","1.82 m","","flu","6","2"
"Leandro Paredes","31","1.82 m","","unknown injury","7","1"
"Leandro Paredes","31","1.82 m","","Hamstring muscle injury","17","4"
"Leandro Paredes","31","1.82 m","","Adductor injury","87","10"
