Year,Stage,Country1,Country2,Score1,Score2,Venue,City
1930,group stage,France,Mexico,4,1,Estadio Pocitos,Montevideo
1930,group stage,United States,Belgium,3,0,Estadio Gran Parque Central,Montevideo
1930,group stage,Yugoslavia,Brazil,2,1,Estadio Gran Parque Central,Montevideo
1930,group stage,Romania,Peru,3,1,Estadio Pocitos,Montevideo
1930,group stage,Argentina,France,1,0,Estadio Gran Parque Central,Montevideo
1930,group stage,Chile,Mexico,3,0,Estadio Gran Parque Central,Montevideo
1930,group stage,Yugoslavia,Bolivia,4,0,Estadio Gran Parque Central,Montevideo
1930,group stage,United States,Paraguay,3,0,Estadio Gran Parque Central,Montevideo
1930,group stage,Uruguay,Peru,1,0,Estadio Centenario,Montevideo
1930,group stage,Chile,France,1,0,Estadio Centenario,Montevideo
1930,group stage,Argentina,Mexico,6,3,Estadio Centenario,Montevideo
1930,group stage,Brazil,Bolivia,4,0,Estadio Centenario,Montevideo
1930,group stage,Paraguay,Belgium,1,0,Estadio Centenario,Montevideo
1930,group stage,Uruguay,Romania,4,0,Estadio Centenario,Montevideo
1930,group stage,Argentina,Chile,3,1,Estadio Centenario,Montevideo
1930,semi-finals,Argentina,United States,6,1,Estadio Centenario,Montevideo
1930,semi-finals,Uruguay,Yugoslavia,6,1,Estadio Centenario,Montevideo
1930,final,Uruguay,Argentina,4,2,Estadio Centenario,Montevideo
1934,round of 16,Austria,France,3,2,Stadio Benito Mussolini,Turin
1934,round of 16,Czechoslovakia,Romania,2,1,Stadio Littorio,Trieste
1934,round of 16,Germany,Belgium,5,2,Stadio Giovanni Berta,Florence
1934,round of 16,Hungary,Egypt,4,2,Stadio Giorgio Ascarelli,Naples
1934,round of 16,Italy,United States,7,1,Stadio Nazionale PNF,Rome
1934,round of 16,Spain,Brazil,3,1,Stadio Luigi Ferraris,Genoa
1934,round of 16,Sweden,Argentina,3,2,Stadio Renato Dall'Ara,Bologna
1934,round of 16,Switzerland,Netherlands,3,2,San Siro,Milan
1934,quarter-finals,Austria,Hungary,2,1,Stadio Renato Dall'Ara,Bologna
1934,quarter-finals,Czechoslovakia,Switzerland,3,2,Stadio Benito Mussolini,Turin
1934,quarter-finals,Germany,Sweden,2,1,San Siro,Milan
1934,quarter-finals,Italy,Spain,1,1,Stadio Giovanni Berta,Florence
1934,quarter-finals,Italy,Spain,1,0,Stadio Giovanni Berta,Florence
1934,semi-finals,Czechoslovakia,Germany,3,1,Stadio Nazionale PNF,Rome
1934,semi-finals,Italy,Austria,1,0,San Siro,Milan
1934,third-place match,Germany,Austria,3,2,Stadio Giorgio Ascarelli,Naples
1934,final,Italy,Czechoslovakia,2,1,Stadio Nazionale PNF,Rome
1938,round of 16,Switzerland,Germany,1,1,Parc des Princes,Paris
1938,round of 16,Cuba,Romania,3,3,Stade du T.O.E.C.,Toulouse
1938,round of 16,France,Belgium,3,1,Stade Olympique de Colombes,Paris
1938,round of 16,Hungary,Dutch East Indies,6,0,Vélodrome Municipal,Reims
1938,round of 16,Italy,Norway,2,1,Stade Vélodrome,Marseille
1938,round of 16,Brazil,Poland,6,5,Stade de la Meinau,Strasbourg
1938,round of 16,Czechoslovakia,Netherlands,3,0,Stade Jules Deschaseaux,Le Havre
1938,round of 16,Cuba,Romania,2,1,Stade du T.O.E.C.,Toulouse
1938,round of 16,Switzerland,Germany,4,2,Parc des Princes,Paris
1938,quarter-finals,Brazil,Czechoslovakia,1,1,Stade du Parc Lescure,Bordeaux
1938,quarter-finals,Hungary,Switzerland,2,0,Stade Victor Boucquey,Lille
1938,quarter-finals,Italy,France,3,1,Stade Olympique de Colombes,Paris
1938,quarter-finals,Sweden,Cuba,8,0,Stade du Fort Carré,Antibes
1938,quarter-finals,Brazil,Czechoslovakia,2,1,Stade du Parc Lescure,Bordeaux
1938,semi-finals,Hungary,Sweden,5,1,Parc des Princes,Paris
1938,semi-finals,Italy,Brazil,2,1,Stade Vélodrome,Marseille
1938,third-place match,Brazil,Sweden,4,2,Stade du Parc Lescure,Bordeaux
1938,final,Italy,Hungary,4,2,Stade Olympique de Colombes,Paris
1950,group stage,Brazil,Mexico,4,0,Estádio do Maracanã,Rio de Janeiro
1950,group stage,Yugoslavia,Switzerland,3,0,Estádio Independência,Belo Horizonte
1950,group stage,England,Chile,2,0,Estádio do Maracanã,Rio de Janeiro
1950,group stage,Spain,United States,3,1,Estádio Vila Capanema,Curitiba
1950,group stage,Sweden,Italy,3,2,Estádio do Pacaembu,São Paulo
1950,group stage,Brazil,Switzerland,2,2,Estádio do Pacaembu,São Paulo
1950,group stage,Yugoslavia,Mexico,4,1,Estádio dos Eucaliptos,Porto Alegre
1950,group stage,Spain,Chile,2,0,Estádio do Maracanã,Rio de Janeiro
1950,group stage,United States,England,1,0,Estádio Independência,Belo Horizonte
1950,group stage,Sweden,Paraguay,2,2,Estádio Vila Capanema,Curitiba
1950,group stage,Brazil,Yugoslavia,2,0,Estádio do Maracanã,Rio de Janeiro
1950,group stage,Chile,United States,5,2,Estádio Ilha do Retiro,Recife
1950,group stage,Spain,England,1,0,Estádio do Maracanã,Rio de Janeiro
1950,group stage,Italy,Paraguay,2,0,Estádio do Pacaembu,São Paulo
1950,group stage,Uruguay,Bolivia,8,0,Estádio Independência,Belo Horizonte
1950,group stage,Switzerland,Mexico,2,1,Estádio dos Eucaliptos,Porto Alegre
1950,final round,Brazil,Sweden,7,1,Estádio do Maracanã,Rio de Janeiro
1950,final round,Uruguay,Spain,2,2,Estádio do Pacaembu,São Paulo
1950,final round,Brazil,Spain,6,1,Estádio do Maracanã,Rio de Janeiro
1950,final round,Uruguay,Sweden,3,2,Estádio do Pacaembu,São Paulo
1950,final round,Sweden,Spain,3,1,Estádio do Pacaembu,São Paulo
1950,final round,Uruguay,Brazil,2,1,Estádio do Maracanã,Rio de Janeiro
1954,group stage,Brazil,Mexico,5,0,Charmilles Stadium,Geneva
1954,group stage,Yugoslavia,France,1,0,Stade Olympique de la Pontaise,Lausanne
