Player,MarketValue_EUR
Achref Abada,€1.00m
Rayan Aït-Nouri,€40.00m
Mohamed Amine Tougai,€1.30m
Mohamed Amoura,€20.00m
Houssem Aouar,€8.00m
Zineddine Belaïd,€1.80m
Rafik Belghali,€7.00m
Oussama Benbot,€850k
Nadhir Benbouali,€1.20m
Ramy Bensebaini,€7.00m
Nabil Bentaleb,€4.50m
Hicham Boudaoui,€12.00m
Adil Boulbina,€3.00m
Fares Chaïbi,€15.00m
Samir Chergui,€3.00m
Farés Ghedjemis,€7.50m
Amine Gouiri,€28.00m
Anis Hadj Moussa,€23.00m
Jaouen Hadjam,€7.00m
Riyad Mahrez,€5.00m
Aïssa Mandi,€1.00m
Melvin Mastil,€250k
Ibrahim Maza,€45.00m
Yassine Titraoui,€7.00m
Ramiz Zerrouki,€6.50m
Luca Zidane,€1.00m
Thiago Almada,€15.00m
Julián Álvarez,€100.00m
Leonardo Balerdi,€18.00m
Valentín Barco,€40.00m
Rodrigo De Paul,€14.00m
Enzo Fernández,€90.00m
Nicolás González,€40.00m
Giovani Lo Celso,€8.00m
Flaco López,€25.00m
Alexis Mac Allister,€70.00m
Emiliano Martínez,€12.00m
Lautaro Martínez,€85.00m
Lisandro Martínez,€40.00m
Facundo Medina,€18.00m
Lionel Messi,€15.00m
Nahuel Molina,€15.00m
Gonzalo Montiel,€4.50m
Juan Musso,€3.00m
Nicolás Otamendi,€1.00m
Exequiel Palacios,€25.00m
Leandro Paredes,€5.00m
Nicolás Paz,€80.00m
Cristian Romero,€45.00m
Gerónimo Rulli,€6.00m
Giuliano Simeone,€40.00m
Nicolás Tagliafico,€4.00m
Patrick Beach,€1.00m
Aziz Behich,€250k
Jordy Bos,€12.00m
Cameron Burgess,€1.50m
Alessandro Circati,€12.00m
Miloš Degenek,€450k
Cammy Devlin,€2.00m
Jason Geria,€350k
Lucas Herrington,€4.50m
Ajdin Hrustic,€600k
Nestory Irankunda,€8.00m
Jackson Irvine,€1.00m
Jacob Italiano,€600k
Paul Izzo,€500k
Mathew Leckie,€300k
Awer Mabil,€500k
Connor Metcalfe,€1.50m
Aiden O'Neill,€3.00m
Paul Okon-Engstler,€1.20m
Mathew Ryan,€1.80m
Harry Souttar,€3.50m
Mo Touré,€400k
Kai Trewin,€1.80m
Nishan Velupillay,€650k
Cristian Volpato,€10.00m
Tete Yengi,€450k
David Affengruber,€20.00m
David Alaba,€3.00m
Marko Arnautović,€2.00m
Christoph Baumgartner,€40.00m
Carney Chukwuemeka,€20.00m
Kevin Danso,€20.00m
Marco Friedl,€10.00m
Michael Gregoritsch,€1.50m
Florian Grillitsch,€2.50m
Saša Kalajdžić,€4.00m
Konrad Laimer,€32.00m
Philipp Lienhart,€10.00m
Phillipp Mwene,€1.50m
Patrick Pentz,€2.20m
Stefan Posch,€6.00m
Alexander Prass,€9.00m
Marcel Sabitzer,€6.00m
Alexander Schlager,€2.00m
Xaver Schlager,€10.00m
Romano Schmid,€15.00m
Alessandro Schöpf,€800k
Nicolas Seiwald,€25.00m
Michael Svoboda,€3.50m
Paul Wanner,€22.00m
Florian Wiegele,€2.20m
Patrick Wimmer,€12.00m
Timothy Castagne,€8.00m
Thibaut Courtois,€15.00m
Kevin De Bruyne,€8.00m
Maxim De Cuyper,€22.00m
Charles De Ketelaere,€30.00m
Koni De Winter,€23.00m
Zeno Debast,€28.00m
Jeremy Doku,€75.00m
Matias Fernandez-Pardo,€35.00m
Senne Lammens,€35.00m
Romelu Lukaku,€6.00m
Dodi Lukebakio,€15.00m
Brandon Mechele,€2.80m
