Country,Player,Pos,Age,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%
Australia,Squad Total,,25.1,1,90,1.0,0,0.0,8,8,100.0,1,0,0,1,100.0,0,0,0,0,
Australia,Opponent Total,,27.6,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
Bosnia-Herzegovina,Squad Total,,26.2,1,90,1.0,1,1.0,2,1,50.0,0,1,0,0,0.0,0,0,0,0,
Bosnia-Herzegovina,Opponent Total,,27.3,1,90,1.0,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
Brazil,Squad Total,,29.8,1,90,1.0,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
Brazil,Opponent Total,,25.8,1,90,1.0,1,1.0,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
Canada,Squad Total,,27.3,1,90,1.0,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
Canada,Opponent Total,,26.2,1,90,1.0,1,1.0,2,1,50.0,0,1,0,0,0.0,0,0,0,0,
Czechia,Squad Total,,28.2,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
Czechia,Opponent Total,,28.7,1,90,1.0,1,1.0,4,3,75.0,1,0,0,0,0.0,0,0,0,0,
Haiti,Squad Total,,29.1,1,90,1.0,1,1.0,2,1,50.0,0,0,1,0,0.0,0,0,0,0,
Haiti,Opponent Total,,29.4,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
Korea Republic,Squad Total,,28.7,1,90,1.0,1,1.0,4,3,75.0,1,0,0,0,0.0,0,0,0,0,
Korea Republic,Opponent Total,,28.2,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
Mexico,Squad Total,,28.1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
Mexico,Opponent Total,,28.2,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
Morocco,Squad Total,,25.8,1,90,1.0,1,1.0,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
Morocco,Opponent Total,,29.8,1,90,1.0,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
Paraguay,Squad Total,,28.4,1,90,1.0,4,4.0,7,3,42.9,0,0,1,0,0.0,0,0,0,0,
Paraguay,Opponent Total,,27.2,1,90,1.0,1,1.0,1,0,0.0,1,0,0,0,0.0,0,0,0,0,
Qatar,Squad Total,,29.7,1,90,1.0,1,1.0,5,5,100.0,0,1,0,0,0.0,1,1,0,0,0.0
Qatar,Opponent Total,,29.9,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,
Scotland,Squad Total,,29.4,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
Scotland,Opponent Total,,29.1,1,90,1.0,1,1.0,2,1,50.0,0,0,1,0,0.0,0,0,0,0,
South Africa,Squad Total,,28.2,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
South Africa,Opponent Total,,28.1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
Switzerland,Squad Total,,29.9,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,
Switzerland,Opponent Total,,29.7,1,90,1.0,1,1.0,5,5,100.0,0,1,0,0,0.0,1,1,0,0,0.0
Türkiye,Squad Total,,27.6,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
Türkiye,Opponent Total,,25.1,1,90,1.0,0,0.0,8,8,100.0,1,0,0,1,100.0,0,0,0,0,
United States,Squad Total,,27.2,1,90,1.0,1,1.0,1,0,0.0,1,0,0,0,0.0,0,0,0,0,
United States,Opponent Total,,28.4,1,90,1.0,4,4.0,7,3,42.9,0,0,1,0,0.0,0,0,0,0,
