Country,Player,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Australia,Squad Total,,25.1,1.0,0,0,0,12,4,1,14,6,5,,,0
Australia,Opponent Total,,27.6,1.0,1,0,0,4,12,3,26,4,7,,,0
Bosnia-Herzegovina,Squad Total,,26.2,1.0,3,0,0,20,10,0,10,10,13,,,0
Bosnia-Herzegovina,Opponent Total,,27.3,1.0,2,0,0,10,20,1,24,4,15,,,0
Brazil,Squad Total,,29.8,1.0,2,0,0,16,14,0,16,5,12,,,0
Brazil,Opponent Total,,25.8,1.0,0,0,0,14,16,1,15,4,18,,,0
Canada,Squad Total,,27.3,1.0,2,0,0,10,20,1,24,4,15,,,0
Canada,Opponent Total,,26.2,1.0,3,0,0,20,10,0,10,10,13,,,0
Czechia,Squad Total,,28.2,1.0,0,0,0,16,9,2,15,7,7,,,0
Czechia,Opponent Total,,28.7,1.0,1,0,0,9,16,2,12,11,4,,,0
Haiti,Squad Total,,29.1,1.0,1,0,0,23,21,3,23,6,7,,,0
Haiti,Opponent Total,,29.4,1.0,3,0,0,21,22,1,14,6,6,,,0
Korea Republic,Squad Total,,28.7,1.0,1,0,0,9,16,2,12,11,4,,,0
Korea Republic,Opponent Total,,28.2,1.0,0,0,0,16,9,2,15,7,7,,,0
Mexico,Squad Total,,28.1,1.0,1,1,0,12,11,1,12,8,6,,,0
Mexico,Opponent Total,,28.2,1.0,2,2,0,11,11,1,8,7,7,,,0
Morocco,Squad Total,,25.8,1.0,0,0,0,14,16,1,15,4,18,,,0
Morocco,Opponent Total,,29.8,1.0,2,0,0,16,14,0,16,5,12,,,0
Paraguay,Squad Total,,28.4,1.0,5,0,0,17,13,1,5,9,16,,,1
Paraguay,Opponent Total,,27.2,1.0,1,0,0,13,16,2,17,11,6,,,0
Qatar,Squad Total,,29.7,1.0,2,0,0,12,11,0,8,10,9,,,0
Qatar,Opponent Total,,29.9,1.0,1,0,0,11,12,1,35,7,6,,,0
Scotland,Squad Total,,29.4,1.0,3,0,0,21,22,1,14,6,6,,,0
Scotland,Opponent Total,,29.1,1.0,1,0,0,23,21,3,23,6,7,,,0
South Africa,Squad Total,,28.2,1.0,2,2,0,11,11,1,8,7,7,,,0
South Africa,Opponent Total,,28.1,1.0,1,1,0,12,11,1,12,8,6,,,0
Switzerland,Squad Total,,29.9,1.0,1,0,0,11,12,1,35,7,6,,,0
Switzerland,Opponent Total,,29.7,1.0,2,0,0,12,11,0,8,10,9,,,0
Türkiye,Squad Total,,27.6,1.0,1,0,0,4,12,3,26,4,7,,,0
Türkiye,Opponent Total,,25.1,1.0,0,0,0,12,4,1,14,6,5,,,0
United States,Squad Total,,27.2,1.0,1,0,0,13,16,2,17,11,6,,,0
United States,Opponent Total,,28.4,1.0,5,0,0,17,13,1,5,9,16,,,1
