Country,Player,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off
Australia,Squad Total,,25.1,1.0,90.0,90.0,100.0,1.0,11,83.0,6,5,16.0,10,3.0,2.0,0.0,2.0,2.0,
Australia,Opponent Total,,27.6,1.0,90.0,90.0,100.0,1.0,11,83.0,6,5,20.0,10,0.0,0.0,2.0,-2.0,-2.0,
Bosnia-Herzegovina,Squad Total,,26.2,,90.0,90.0,100.0,1.0,11,81.0,6,5,20.0,10,1.0,1.0,1.0,0.0,0.0,
Bosnia-Herzegovina,Opponent Total,,27.3,,90.0,90.0,100.0,1.0,11,81.0,6,5,21.0,10,1.0,1.0,1.0,0.0,0.0,
Brazil,Squad Total,,29.8,1.0,90.0,90.0,100.0,1.0,11,75.0,6,5,32.0,9,1.0,1.0,1.0,0.0,0.0,
Brazil,Opponent Total,,25.8,1.0,90.0,90.0,100.0,1.0,11,75.0,6,5,15.0,10,1.0,1.0,1.0,0.0,0.0,
Canada,Squad Total,,27.3,1.0,90.0,90.0,100.0,1.0,11,80.0,6,5,21.0,10,1.0,1.0,1.0,0.0,0.0,
Canada,Opponent Total,,26.2,1.0,90.0,90.0,100.0,1.0,11,80.0,6,5,20.0,10,1.0,1.0,1.0,0.0,0.0,
Czechia,Squad Total,,28.2,1.0,90.0,90.0,100.0,1.0,11,82.0,7,4,22.0,11,0.0,1.0,2.0,-1.0,-1.0,
Czechia,Opponent Total,,28.7,1.0,90.0,90.0,100.0,1.0,11,82.0,6,5,17.0,10,3.0,2.0,1.0,1.0,1.0,
Haiti,Squad Total,,29.1,1.0,90.0,90.0,100.0,1.0,11,85.0,8,3,17.0,12,0.0,0.0,1.0,-1.0,-1.0,
Haiti,Opponent Total,,29.4,1.0,90.0,90.0,100.0,1.0,11,85.0,6,5,13.0,10,3.0,1.0,0.0,1.0,1.0,
Korea Republic,Squad Total,,28.7,1.0,90.0,90.0,100.0,1.0,11,82.0,6,5,17.0,10,3.0,2.0,1.0,1.0,1.0,
Korea Republic,Opponent Total,,28.2,1.0,90.0,90.0,100.0,1.0,11,82.0,7,4,22.0,11,0.0,1.0,2.0,-1.0,-1.0,
Mexico,Squad Total,,28.1,,90.0,90.0,100.0,1.0,11,82.0,5,5,18.0,10,3.0,2.0,0.0,2.0,2.0,
Mexico,Opponent Total,,28.2,,90.0,90.0,100.0,1.0,11,82.0,6,4,22.0,11,0.0,0.0,2.0,-2.0,-2.0,
Morocco,Squad Total,,25.8,1.0,90.0,90.0,100.0,1.0,11,83.0,6,5,15.0,10,1.0,1.0,1.0,0.0,0.0,
Morocco,Opponent Total,,29.8,1.0,90.0,90.0,100.0,1.0,11,83.0,6,5,32.0,9,1.0,1.0,1.0,0.0,0.0,
Paraguay,Squad Total,,28.4,1.0,90.0,90.0,100.0,1.0,11,80.0,6,5,22.0,10,0.0,1.0,4.0,-3.0,-3.0,
Paraguay,Opponent Total,,27.2,1.0,90.0,90.0,100.0,1.0,11,80.0,7,4,23.0,11,3.0,4.0,1.0,3.0,3.0,
Qatar,Squad Total,,29.7,1.0,90.0,90.0,100.0,1.0,11,80.0,6,5,22.0,10,1.0,1.0,1.0,0.0,0.0,
Qatar,Opponent Total,,29.9,1.0,90.0,90.0,100.0,1.0,11,80.0,6,5,13.0,10,1.0,1.0,1.0,0.0,0.0,
Scotland,Squad Total,,29.4,1.0,90.0,90.0,100.0,1.0,11,84.0,6,5,13.0,10,3.0,1.0,0.0,1.0,1.0,
Scotland,Opponent Total,,29.1,1.0,90.0,90.0,100.0,1.0,11,84.0,8,3,17.0,12,0.0,0.0,1.0,-1.0,-1.0,
South Africa,Squad Total,,28.2,1.0,90.0,90.0,100.0,1.0,11,78.0,6,4,22.0,11,0.0,0.0,2.0,-2.0,-2.0,
South Africa,Opponent Total,,28.1,1.0,90.0,90.0,100.0,1.0,11,78.0,5,5,18.0,10,3.0,2.0,0.0,2.0,2.0,
Switzerland,Squad Total,,29.9,1.0,90.0,90.0,100.0,1.0,11,84.0,6,5,13.0,10,1.0,1.0,1.0,0.0,0.0,
Switzerland,Opponent Total,,29.7,1.0,90.0,90.0,100.0,1.0,11,84.0,6,5,22.0,10,1.0,1.0,1.0,0.0,0.0,
Türkiye,Squad Total,,27.6,1.0,90.0,90.0,100.0,1.0,11,81.0,6,5,20.0,10,0.0,0.0,2.0,-2.0,-2.0,
Türkiye,Opponent Total,,25.1,1.0,90.0,90.0,100.0,1.0,11,81.0,6,5,16.0,10,3.0,2.0,0.0,2.0,2.0,
United States,Squad Total,,27.2,,90.0,90.0,100.0,1.0,11,82.0,7,4,23.0,11,3.0,4.0,1.0,3.0,3.0,
United States,Opponent Total,,28.4,,90.0,90.0,100.0,1.0,11,82.0,6,5,22.0,10,0.0,1.0,4.0,-3.0,-3.0,
