Country,Player,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt
Australia,Squad Total,,25.1,1.0,2,9,4,44.4,9.0,4.0,0.22,0.5,0,0
Australia,Opponent Total,,27.6,1.0,0,30,8,26.7,30.0,8.0,0.0,0.0,0,0
Bosnia-Herzegovina,Squad Total,,26.2,1.0,1,8,3,37.5,8.0,3.0,0.13,0.33,0,0
Bosnia-Herzegovina,Opponent Total,,27.3,1.0,1,13,4,30.8,13.0,4.0,0.08,0.25,0,0
Brazil,Squad Total,,29.8,1.0,1,12,5,41.7,12.0,5.0,0.08,0.2,0,0
Brazil,Opponent Total,,25.8,1.0,1,14,3,21.4,14.0,3.0,0.07,0.33,0,0
Canada,Squad Total,,27.3,1.0,1,13,4,30.8,13.0,4.0,0.08,0.25,0,0
Canada,Opponent Total,,26.2,1.0,1,8,3,37.5,8.0,3.0,0.13,0.33,0,0
Czechia,Squad Total,,28.2,1.0,1,7,4,57.1,7.0,4.0,0.14,0.25,0,0
Czechia,Opponent Total,,28.7,1.0,2,15,6,40.0,15.0,6.0,0.13,0.33,0,0
Haiti,Squad Total,,29.1,1.0,0,15,2,13.3,15.0,2.0,0.0,0.0,0,0
Haiti,Opponent Total,,29.4,1.0,1,9,2,22.2,9.0,2.0,0.11,0.5,0,0
Korea Republic,Squad Total,,28.7,1.0,2,15,6,40.0,15.0,6.0,0.13,0.33,0,0
Korea Republic,Opponent Total,,28.2,1.0,1,7,4,57.1,7.0,4.0,0.14,0.25,0,0
Mexico,Squad Total,,28.1,1.0,2,16,4,25.0,16.0,4.0,0.13,0.5,0,0
Mexico,Opponent Total,,28.2,1.0,0,3,2,66.7,3.0,2.0,0.0,0.0,0,0
Morocco,Squad Total,,25.8,1.0,1,14,3,21.4,14.0,3.0,0.07,0.33,0,0
Morocco,Opponent Total,,29.8,1.0,1,12,5,41.7,12.0,5.0,0.08,0.2,0,0
Paraguay,Squad Total,,28.4,1.0,1,9,1,11.1,9.0,1.0,0.11,1.0,0,0
Paraguay,Opponent Total,,27.2,1.0,3,16,6,37.5,16.0,6.0,0.19,0.5,0,0
Qatar,Squad Total,,29.7,1.0,1,7,4,57.1,7.0,4.0,0.14,0.25,0,0
Qatar,Opponent Total,,29.9,1.0,1,26,7,26.9,26.0,7.0,0.0,0.0,1,1
Scotland,Squad Total,,29.4,1.0,1,9,2,22.2,9.0,2.0,0.11,0.5,0,0
Scotland,Opponent Total,,29.1,1.0,0,15,2,13.3,15.0,2.0,0.0,0.0,0,0
South Africa,Squad Total,,28.2,1.0,0,3,2,66.7,3.0,2.0,0.0,0.0,0,0
South Africa,Opponent Total,,28.1,1.0,2,16,4,25.0,16.0,4.0,0.13,0.5,0,0
Switzerland,Squad Total,,29.9,1.0,1,26,7,26.9,26.0,7.0,0.0,0.0,1,1
Switzerland,Opponent Total,,29.7,1.0,1,7,4,57.1,7.0,4.0,0.14,0.25,0,0
Türkiye,Squad Total,,27.6,1.0,0,30,8,26.7,30.0,8.0,0.0,0.0,0,0
Türkiye,Opponent Total,,25.1,1.0,2,9,4,44.4,9.0,4.0,0.22,0.5,0,0
United States,Squad Total,,27.2,1.0,3,16,6,37.5,16.0,6.0,0.19,0.5,0,0
United States,Opponent Total,,28.4,1.0,1,9,1,11.1,9.0,1.0,0.11,1.0,0,0
