Country,Player,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Australia,Squad Total,,25.1,1.0,11,90.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0
Australia,Opponent Total,,27.6,1.0,11,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia-Herzegovina,Squad Total,,26.2,,11,90.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0
Bosnia-Herzegovina,Opponent Total,,27.3,,11,90.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0
Brazil,Squad Total,,29.8,1.0,11,90.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0
Brazil,Opponent Total,,25.8,1.0,11,90.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0
Canada,Squad Total,,27.3,1.0,11,90.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0
Canada,Opponent Total,,26.2,1.0,11,90.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0
Czechia,Squad Total,,28.2,1.0,11,90.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0
Czechia,Opponent Total,,28.7,1.0,11,90.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,2.0,4.0
Haiti,Squad Total,,29.1,1.0,11,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,Opponent Total,,29.4,1.0,11,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0
Korea Republic,Squad Total,,28.7,1.0,11,90.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,2.0,4.0
Korea Republic,Opponent Total,,28.2,1.0,11,90.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0
Mexico,Squad Total,,28.1,,11,90.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0
Mexico,Opponent Total,,28.2,,11,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Morocco,Squad Total,,25.8,1.0,11,90.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0
Morocco,Opponent Total,,29.8,1.0,11,90.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0
Paraguay,Squad Total,,28.4,1.0,11,90.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,2.0,1.0,2.0
Paraguay,Opponent Total,,27.2,1.0,11,90.0,1.0,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0,6.0,3.0,6.0
Qatar,Squad Total,,29.7,1.0,11,90.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0
Qatar,Opponent Total,,29.9,1.0,11,90.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Scotland,Squad Total,,29.4,1.0,11,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0
Scotland,Opponent Total,,29.1,1.0,11,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,Squad Total,,28.2,1.0,11,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
South Africa,Opponent Total,,28.1,1.0,11,90.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0
Switzerland,Squad Total,,29.9,1.0,11,90.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Switzerland,Opponent Total,,29.7,1.0,11,90.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0
Türkiye,Squad Total,,27.6,1.0,11,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Türkiye,Opponent Total,,25.1,1.0,11,90.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0
United States,Squad Total,,27.2,,11,90.0,1.0,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0,6.0,3.0,6.0
United States,Opponent Total,,28.4,,11,90.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,2.0,1.0,2.0
