Country,Category,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Last 5,Notes
Algeria,world_cup,1,dz Algeria,0,0,0,0,0.0,0.0,0.0,0,L W D W W,
Algeria,world_cup,2,ar Argentina,0,0,0,0,0.0,0.0,0.0,0,W W W W W,
Algeria,world_cup,3,at Austria,0,0,0,0,0.0,0.0,0.0,0,W D W W W,
Algeria,world_cup,4,jo Jordan,0,0,0,0,0.0,0.0,0.0,0,L L D L L,
Argentina,world_cup,1,dz Algeria,0,0,0,0,0.0,0.0,0.0,0,L W D W W,
Argentina,world_cup,2,ar Argentina,0,0,0,0,0.0,0.0,0.0,0,W W W W W,
Argentina,world_cup,3,at Austria,0,0,0,0,0.0,0.0,0.0,0,W D W W W,
Argentina,world_cup,4,jo Jordan,0,0,0,0,0.0,0.0,0.0,0,L L D L L,
Australia,world_cup,1,us United States,1,1,0,0,4.0,1.0,3.0,3,L L W L W,
Australia,world_cup,2,au Australia,1,1,0,0,2.0,0.0,2.0,3,L L L D W,
Australia,world_cup,3,tr Türkiye,1,0,0,1,0.0,2.0,-2.0,0,W W W W L,
Australia,world_cup,4,py Paraguay,1,0,0,1,1.0,4.0,-3.0,0,W W L W L,
Austria,world_cup,1,br Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Austria,world_cup,2,qa Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Austria,world_cup,3,cz Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Austria,world_cup,4,tr Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Austria,world_cup,5,at Austria,0,0,0,0,,,,0,,
Austria,world_cup,6,cd Congo DR,0,0,0,0,,,,0,,
Austria,world_cup,7,de Germany,0,0,0,0,,,,0,,
Austria,world_cup,8,gh Ghana,0,0,0,0,,,,0,,
Austria,world_cup,9,ir IR Iran,0,0,0,0,,,,0,,
Austria,world_cup,10,no Norway,0,0,0,0,,,,0,,
Austria,world_cup,11,se Sweden,0,0,0,0,,,,0,,
Austria,world_cup,12,uy Uruguay,0,0,0,0,,,,0,,
Austria,world_cup,1,dz Algeria,0,0,0,0,0.0,0.0,0.0,0,L W D W W,
Austria,world_cup,2,ar Argentina,0,0,0,0,0.0,0.0,0.0,0,W W W W W,
Austria,world_cup,3,at Austria,0,0,0,0,0.0,0.0,0.0,0,W D W W W,
Austria,world_cup,4,jo Jordan,0,0,0,0,0.0,0.0,0.0,0,L L D L L,
Belgium,world_cup,1,be Belgium,0,0,0,0,0.0,0.0,0.0,0,W W D W W,
Belgium,world_cup,2,eg Egypt,0,0,0,0,0.0,0.0,0.0,0,D W D W L,
Belgium,world_cup,3,ir IR Iran,0,0,0,0,0.0,0.0,0.0,0,W L W W W,
Belgium,world_cup,4,nz New Zealand,0,0,0,0,0.0,0.0,0.0,0,D L L L L,
Bosnia-Herzegovina,world_cup,1,ch Switzerland,1,0,1,0,1.0,1.0,0.0,1,L D W D D,
Bosnia-Herzegovina,world_cup,2,ca Canada,1,0,1,0,1.0,1.0,0.0,1,D D W D D,
Bosnia-Herzegovina,world_cup,3,qa Qatar,1,0,1,0,1.0,1.0,0.0,1,D W L D D,
Bosnia-Herzegovina,world_cup,4,ba Bosnia-Herzegovina,1,0,1,0,1.0,1.0,0.0,1,D D D D D,
Brazil,world_cup,1,br Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Brazil,world_cup,2,qa Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Brazil,world_cup,3,cz Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Brazil,world_cup,4,tr Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Brazil,world_cup,5,at Austria,0,0,0,0,,,,0,,
Brazil,world_cup,6,cd Congo DR,0,0,0,0,,,,0,,
Brazil,world_cup,7,de Germany,0,0,0,0,,,,0,,
Brazil,world_cup,8,gh Ghana,0,0,0,0,,,,0,,
Brazil,world_cup,9,ir IR Iran,0,0,0,0,,,,0,,
Brazil,world_cup,10,no Norway,0,0,0,0,,,,0,,
Brazil,world_cup,11,se Sweden,0,0,0,0,,,,0,,
Brazil,world_cup,12,uy Uruguay,0,0,0,0,,,,0,,
Brazil,world_cup,1,sct Scotland,1,1,0,0,1.0,0.0,1.0,3,L L W W W,
Brazil,world_cup,2,ma Morocco,1,0,1,0,1.0,1.0,0.0,1,D W W D D,
Brazil,world_cup,3,br Brazil,1,0,1,0,1.0,1.0,0.0,1,L W W W D,
Brazil,world_cup,4,ht Haiti,1,0,0,1,0.0,1.0,-1.0,0,L D W L L,
Canada,world_cup,1,ch Switzerland,1,0,1,0,1.0,1.0,0.0,1,L D W D D,
Canada,world_cup,2,ca Canada,1,0,1,0,1.0,1.0,0.0,1,D D W D D,
Canada,world_cup,3,qa Qatar,1,0,1,0,1.0,1.0,0.0,1,D W L D D,
Canada,world_cup,4,ba Bosnia-Herzegovina,1,0,1,0,1.0,1.0,0.0,1,D D D D D,
Cape Verde,world_cup,1,sa Saudi Arabia,0,0,0,0,0.0,0.0,0.0,0,L L L W D,
Cape Verde,world_cup,2,es Spain,0,0,0,0,0.0,0.0,0.0,0,D W D D W,
Cape Verde,world_cup,3,uy Uruguay,0,0,0,0,0.0,0.0,0.0,0,W D L D D,
Cape Verde,world_cup,4,cv Cape Verde,0,0,0,0,0.0,0.0,0.0,0,W D W W W,
Colombia,world_cup,1,co Colombia,0,0,0,0,0.0,0.0,0.0,0,W L L W W,
Colombia,world_cup,2,pt Portugal,0,0,0,0,0.0,0.0,0.0,0,W D W W W,
Colombia,world_cup,3,cd Congo DR,0,0,0,0,0.0,0.0,0.0,0,L W W D L,
Colombia,world_cup,4,uz Uzbekistan,0,0,0,0,0.0,0.0,0.0,0,W W L L L,
Congo DR,world_cup,1,br Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Congo DR,world_cup,2,qa Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Congo DR,world_cup,3,cz Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Congo DR,world_cup,4,tr Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Congo DR,world_cup,5,at Austria,0,0,0,0,,,,0,,
Congo DR,world_cup,6,cd Congo DR,0,0,0,0,,,,0,,
Congo DR,world_cup,7,de Germany,0,0,0,0,,,,0,,
Congo DR,world_cup,8,gh Ghana,0,0,0,0,,,,0,,
Congo DR,world_cup,9,ir IR Iran,0,0,0,0,,,,0,,
Congo DR,world_cup,10,no Norway,0,0,0,0,,,,0,,
Congo DR,world_cup,11,se Sweden,0,0,0,0,,,,0,,
Congo DR,world_cup,12,uy Uruguay,0,0,0,0,,,,0,,
Congo DR,world_cup,1,co Colombia,0,0,0,0,0.0,0.0,0.0,0,W L L W W,
Congo DR,world_cup,2,pt Portugal,0,0,0,0,0.0,0.0,0.0,0,W D W W W,
Congo DR,world_cup,3,cd Congo DR,0,0,0,0,0.0,0.0,0.0,0,L W W D L,
Congo DR,world_cup,4,uz Uzbekistan,0,0,0,0,0.0,0.0,0.0,0,W W L L L,
Croatia,world_cup,1,hr Croatia,0,0,0,0,0.0,0.0,0.0,0,W W L L W,
Croatia,world_cup,2,eng England,0,0,0,0,0.0,0.0,0.0,0,W D L W W,
Croatia,world_cup,3,gh Ghana,0,0,0,0,0.0,0.0,0.0,0,L L L L D,
Croatia,world_cup,4,pa Panama,0,0,0,0,0.0,0.0,0.0,0,D W L W D,
Curaçao,world_cup,1,ci Côte d'Ivoire,0,0,0,0,0.0,0.0,0.0,0,W L W W W,
Curaçao,world_cup,2,ec Ecuador,0,0,0,0,0.0,0.0,0.0,0,W D D W W,
Curaçao,world_cup,3,de Germany,0,0,0,0,0.0,0.0,0.0,0,W W W W W,
Curaçao,world_cup,4,cw Curaçao,0,0,0,0,0.0,0.0,0.0,0,D W D L W,
