Country,Category,#,Player,Pos,Club,Birth Place,Birth Date,Age,MP,Min,Gls
Algeria,world_cup,3.0,Achref Abada,DF,1.dz USM Alger,"Tebesbest, Algeria",1999-06-15,26-361,,,
Algeria,world_cup,15.0,Rayan Aït-Nouri,"DF,MF",1.eng Manchester City,"Montreuil, France",2001-06-06,25-005,,,
Algeria,world_cup,4.0,Mohamed Amine Tougai,DF,1.tn Espérance Tunis,"Bourouba, Algeria",2000-01-22,26-140,,,
Algeria,world_cup,18.0,Mohamed Amoura,"FW,MF",1.de Wolfsburg,"Jijel, Algeria",2000-05-09,26-033,,,
Algeria,world_cup,8.0,Houssem Aouar,MF,1.sa Al-Ittihad,"Lyon, France",1998-06-30,27-346,,,
Algeria,world_cup,5.0,Zineddine Belaïd,DF,1.dz JS Kabylie,"Thenia, Algeria",1999-03-20,27-083,,,
Algeria,world_cup,17.0,Rafik Belghali,"DF,MF",1.it Hellas Verona,"Leuven, Belgium",2002-06-07,24-004,,,
Algeria,world_cup,16.0,Oussama Benbot,GK,1.dz USM Alger,"Aïn M’Lila, Algeria",1994-10-11,31-243,,,
Algeria,world_cup,12.0,Nadhir Benbouali,FW,1.hu Győr,"Chlef, Algeria",2000-04-17,26-055,,,
Algeria,world_cup,21.0,Ramy Bensebaini,"DF,MF",1.de Dortmund,"Constantine, Algeria",1995-04-16,31-056,,,
Algeria,world_cup,19.0,Nabil Bentaleb,MF,1.fr Lille,"Lille, France",1994-11-24,31-199,,,
Algeria,world_cup,14.0,Hicham Boudaoui,MF,1.fr Nice,"Béchar, Algeria",1999-09-23,26-261,,,
Algeria,world_cup,20.0,Adil Boulbina,FW,1.qa Al Duhail SC,"El Milia, Algeria",2003-05-02,23-040,,,
Algeria,world_cup,10.0,Fares Chaïbi,"FW,MF",1.de Eintracht Frankfurt,"Lyon, France",2002-11-28,23-195,,,
Algeria,world_cup,26.0,Samir Chergui,DF,1.fr Paris FC,"Brétigny-sur-Orge, France",1999-02-06,27-125,,,
Algeria,world_cup,25.0,Farés Ghedjemis,"FW,MF",2.it Frosinone,"Montreuil, France",2002-09-06,23-278,,,
Algeria,world_cup,9.0,Amine Gouiri,"FW,MF",1.fr Marseille,"Bourgoin-Jallieu, France",2000-02-16,26-115,,,
Algeria,world_cup,11.0,Anis Hadj Moussa,"FW,MF",1.nl Feyenoord,"France, France",2002-02-11,24-120,,,
Algeria,world_cup,13.0,Jaouen Hadjam,DF,1.ch Young Boys,"Paris, France",2003-03-26,23-077,,,
Algeria,world_cup,7.0,Riyad Mahrez,"FW,MF",1.sa Al-Ahli,"Sarcelles, France",1991-02-21,35-110,,,
Algeria,world_cup,2.0,Aïssa Mandi,DF,1.fr Lille,"Châlons-en-Champagne, France",1991-10-22,34-232,,,
Algeria,world_cup,1.0,Melvin Mastil,GK,2.ch FC Stade Nyonnais,"Thonon-les-Bains, France",2000-02-19,26-112,,,
Algeria,world_cup,22.0,Ibrahim Maza,MF,1.de Leverkusen,"Berlin, Germany",2005-11-24,20-199,,,
Algeria,world_cup,24.0,Yassine Titraoui,MF,1.be Charleroi,"M’sila, Algeria",2003-07-26,22-320,,,
Algeria,world_cup,6.0,Ramiz Zerrouki,MF,1.nl Twente,"Amsterdam, Netherlands",1998-05-26,28-016,,,
Algeria,world_cup,23.0,Luca Zidane,GK,2.es Granada,"Marseille, France",1998-05-13,28-029,,,
Argentina,world_cup,16.0,Thiago Almada,"FW,MF",1.es Atlético Madrid,"Argentina, Argentina",2001-04-26,25-046,,,
Argentina,world_cup,9.0,Julián Álvarez,"FW,MF",1.es Atlético Madrid,"Argentina, Argentina",2000-01-31,26-131,,,
Argentina,world_cup,,Leonardo Balerdi,DF,1.fr Marseille,"Villa Mercedes, Argentina",1999-01-26,27-136,,,
Argentina,world_cup,8.0,Valentín Barco,"DF,MF",1.fr Strasbourg,"Veinticinco de Mayo, Argentina",2004-07-23,21-323,,,
Argentina,world_cup,7.0,Rodrigo De Paul,"FW,MF",1.us Inter Miami,"Sarandí, Argentina",1994-05-24,32-018,,,
Argentina,world_cup,24.0,Enzo Fernández,MF,1.eng Chelsea,"Argentina, Argentina",2001-01-17,25-145,,,
Argentina,world_cup,15.0,Nicolás González,"FW,MF",1.es Atlético Madrid,"Belén de Escobar, Argentina",1998-04-06,28-066,,,
Argentina,world_cup,11.0,Giovani Lo Celso,"FW,MF",1.es Real Betis,"Rosario, Argentina",1996-04-09,30-063,,,
Argentina,world_cup,21.0,Flaco López,FW,1.br Palmeiras,"Argentina, Argentina",2000-12-06,25-187,,,
Argentina,world_cup,20.0,Alexis Mac Allister,MF,1.eng Liverpool,"Santa Rosa, Argentina",1998-12-24,27-169,,,
Argentina,world_cup,23.0,Emiliano Martínez,GK,1.eng Aston Villa,"Mar del Plata, Argentina",1992-09-02,33-282,,,
