Country,Category,Player,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Matches,Playing Time_MP
Australia,world_cup,Patrick Beach,GK,22-312,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,3.0,2.0,0.0,2.0,2.0,,Matches,
Australia,world_cup,Cameron Burgess,DF,30-236,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,3.0,2.0,0.0,2.0,2.0,,Matches,
Australia,world_cup,Alessandro Circati,DF,22-247,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,3.0,2.0,0.0,2.0,2.0,,Matches,
Australia,world_cup,Connor Metcalfe,MF,26-221,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,3.0,2.0,0.0,2.0,2.0,,Matches,
Australia,world_cup,Aiden O'Neill,MF,27-345,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,3.0,2.0,0.0,2.0,2.0,,Matches,
Australia,world_cup,Harry Souttar,DF,27-235,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,3.0,2.0,0.0,2.0,2.0,,Matches,
Australia,world_cup,Jordy Bos,DF,23-228,1.0,83.0,83.0,92.2,0.9,1,83.0,0,0,,0,3.0,2.0,0.0,2.0,2.17,2.17,Matches,
Australia,world_cup,Paul Okon-Engstler,MF,21-141,1.0,83.0,83.0,92.2,0.9,1,83.0,0,0,,0,3.0,2.0,0.0,2.0,2.17,2.17,Matches,
Australia,world_cup,Jacob Italiano,DF,24-319,1.0,73.0,73.0,81.1,0.8,1,73.0,0,0,,0,3.0,1.0,0.0,1.0,1.23,-4.06,Matches,
Australia,world_cup,Mo Touré,FW,22-080,1.0,73.0,73.0,81.1,0.8,1,73.0,0,0,,0,3.0,1.0,0.0,1.0,1.23,-4.06,Matches,
Australia,world_cup,Nestory Irankunda,MF,20-125,1.0,60.0,60.0,66.7,0.7,1,60.0,0,0,,0,3.0,1.0,0.0,1.0,1.5,-1.5,Matches,
Australia,world_cup,Nishan Velupillay,MF,25-038,1.0,30.0,30.0,33.3,0.3,0,,0,1,30.0,0,3.0,1.0,0.0,1.0,3.0,1.5,Matches,
Australia,world_cup,Jason Geria,DF,33-035,1.0,17.0,17.0,18.9,0.2,0,,0,1,17.0,0,3.0,1.0,0.0,1.0,5.29,4.06,Matches,
Australia,world_cup,Tete Yengi,FW,25-198,1.0,17.0,17.0,18.9,0.2,0,,0,1,17.0,0,3.0,1.0,0.0,1.0,5.29,4.06,Matches,
Australia,world_cup,Aziz Behich,"DF,MF",35-180,1.0,7.0,7.0,7.8,0.1,0,,0,1,7.0,0,3.0,0.0,0.0,0.0,0.0,-2.17,Matches,
