Country,Category,Player,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Matches
Australia,world_cup,Patrick Beach,GK,22-312,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Australia,world_cup,Cameron Burgess,DF,30-236,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Australia,world_cup,Alessandro Circati,DF,22-247,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,Matches
Australia,world_cup,Connor Metcalfe,MF,26-221,1.0,1,1,1,100.0,1.0,1.0,1.0,1.0,0,0,Matches
Australia,world_cup,Aiden O'Neill,MF,27-345,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Australia,world_cup,Harry Souttar,DF,27-235,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,0,0,Matches
Australia,world_cup,Jordy Bos,DF,23-228,0.9,0,2,0,0.0,2.17,0.0,0.0,,0,0,Matches
Australia,world_cup,Paul Okon-Engstler,MF,21-141,0.9,0,0,0,,0.0,0.0,,,0,0,Matches
Australia,world_cup,Jacob Italiano,DF,24-319,0.8,0,1,0,0.0,1.23,0.0,0.0,,0,0,Matches
Australia,world_cup,Mo Touré,FW,22-080,0.8,0,1,0,0.0,1.23,0.0,0.0,,0,0,Matches
Australia,world_cup,Nestory Irankunda,MF,20-125,0.7,1,2,2,100.0,3.0,3.0,0.5,0.5,0,0,Matches
Australia,world_cup,Nishan Velupillay,MF,25-038,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
Australia,world_cup,Jason Geria,DF,33-035,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
Australia,world_cup,Tete Yengi,FW,25-198,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
Australia,world_cup,Aziz Behich,"DF,MF",35-180,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Australia,world_cup,Jackson Irvine,"DF,MF",33-099,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Australia,world_cup,Squad Total,,25.1,1.0,2,9,4,44.4,9.0,4.0,0.22,0.5,0,0,
Australia,world_cup,Opponent Total,,27.6,1.0,0,30,8,26.7,30.0,8.0,0.0,0.0,0,0,
Bosnia-Herzegovina,world_cup,Amar Dedić,DF,23-300,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Bosnia-Herzegovina,world_cup,Ermedin Demirović,FW,28-081,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,0,0,Matches
Bosnia-Herzegovina,world_cup,Nikola Katić,DF,29-247,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Bosnia-Herzegovina,world_cup,Tarik Muharemovic,DF,23-106,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,Matches
Bosnia-Herzegovina,world_cup,Benjamin Tahirovic,MF,23-103,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,Matches
Bosnia-Herzegovina,world_cup,Nikola Vasilj,GK,30-194,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
