Country,Player,Pos,Age,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%
Algeria,Alexis Guendouz,GK,30.0,5.0,450,5.0,3.0,0.6,,,,4.0,1.0,0.0,2,40.0,0,0,0,0,
Algeria,Anthony Mandrea,GK,29.0,4.0,360,4.0,4.0,1.0,,,,3.0,0.0,1.0,1,25.0,0,0,0,0,
Algeria,Luca Zidane,GK,27.0,1.0,90,1.0,1.0,1.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Algeria,Luca Zidane,GK,28.0876,2.0,180,2.0,0.0,0.0,,,,1.0,1.0,0.0,2,100.0,0,0,0,0,
Algeria,Melvin Mastil,GK,26.3149,1.0,135,1.5,0.0,0.0,,,,1.0,0.0,0.0,2,200.0,0,0,0,0,
Algeria,Oussama Benbot,GK,31.6735,1.0,45,0.5,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,
Algeria,Alexis Guendouz,GK,30.3806,5.0,450,5.0,3.0,0.6,,,,4.0,1.0,0.0,2,40.0,0,0,0,0,
Algeria,Anthony Mandrea,GK,29.4682,4.0,360,4.0,4.0,1.0,,,,3.0,0.0,1.0,1,25.0,0,0,0,0,
Algeria,Luca Zidane,GK,28.0876,3.0,270,3.0,1.0,0.33,,,,2.0,1.0,0.0,2,66.7,0,0,0,0,
Algeria,Melvin Mastil,GK,26.3149,1.0,135,1.5,0.0,0.0,,,,1.0,0.0,0.0,2,200.0,0,0,0,0,
Algeria,Oussama Benbot,GK,31.6735,1.0,45,0.5,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,
Argentina,Emiliano Martínez,GK,33.7803,2.0,163,1.8,1.0,0.55,,,,2.0,0.0,0.0,1,50.0,0,0,0,0,
Argentina,Juan Musso,GK,32.1068,1.0,97,1.1,0.0,0.0,,,,1.0,0.0,0.0,2,200.0,0,0,0,0,
Argentina,Gerónimo Rulli,GK,34.0684,1.0,90,1.0,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,
Argentina,Santiago Beltrán,GK,21.6927,0.0,10,0.1,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,
Argentina,Emiliano Martínez,GK,33.0,16.0,"1,440",16.0,9.0,0.56,31.0,24.0,77.4,11.0,1.0,4.0,10,62.5,2,2,0,0,0.0
Argentina,Gerónimo Rulli,GK,33.0,2.0,180,2.0,1.0,0.5,7.0,6.0,85.7,1.0,1.0,0.0,1,50.0,0,0,0,0,
Argentina,Emiliano Martínez,GK,33.7803,18.0,"1,603",17.8,10.0,0.56,31.0,24.0,77.4,13.0,1.0,4.0,11,61.1,2,2,0,0,0.0
Argentina,Gerónimo Rulli,GK,34.0684,3.0,270,3.0,1.0,0.33,7.0,6.0,85.7,2.0,1.0,0.0,2,66.7,0,0,0,0,
Argentina,Juan Musso,GK,32.1068,1.0,97,1.1,0.0,0.0,,,,1.0,0.0,0.0,2,200.0,0,0,0,0,
Argentina,Santiago Beltrán,GK,21.6927,0.0,10,0.1,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,
Australia,Patrick Beach,GK,22.8542,1.0,90,1.0,0.0,0.0,8.0,8.0,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,
Australia,Patrick Beach,GK,22.8542,1.0,90,1.0,1.0,1.0,,,,0.0,1.0,0.0,0,0.0,0,0,0,0,
Australia,Mathew Ryan,GK,34.1834,1.0,90,1.0,1.0,1.0,,,,0.0,0.0,1.0,0,0.0,0,0,0,0,
Australia,Mathew Ryan,GK,33.0,11.0,990,11.0,5.0,0.45,17.0,13.0,70.6,8.0,2.0,1.0,7,63.6,2,0,1,1,100.0
Australia,Joe Gauci,GK,25.0,5.0,450,5.0,2.0,0.4,6.0,4.0,66.7,3.0,2.0,0.0,3,60.0,0,0,0,0,
Australia,Mathew Ryan,GK,34.1834,12.0,"1,080",12.0,6.0,0.5,17.0,13.0,70.6,8.0,2.0,2.0,7,58.3,2,0,1,1,100.0
Australia,Joe Gauci,GK,25.9446,5.0,450,5.0,2.0,0.4,6.0,4.0,66.7,3.0,2.0,0.0,3,60.0,0,0,0,0,
Australia,Patrick Beach,GK,22.8542,2.0,180,2.0,1.0,0.5,8.0,8.0,100.0,1.0,1.0,0.0,1,50.0,0,0,0,0,
Austria,Alexander Schlager,GK,30.3641,2.0,135,1.5,0.0,0.0,,,,2.0,0.0,0.0,1,50.0,0,0,0,0,
Austria,Patrick Pentz,GK,29.4463,1.0,90,1.0,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,
Austria,Florian Wiegele,GK,25.2327,0.0,45,0.5,1.0,2.0,,,,0.0,0.0,0.0,0,,0,0,0,0,
Austria,Alexander Schlager,GK,29.0,5.0,450,5.0,3.0,0.6,10.0,7.0,70.0,3.0,1.0,1.0,2,40.0,0,0,0,0,
Austria,Patrick Pentz,GK,29.0,3.0,225,2.5,1.0,0.4,5.0,4.0,80.0,3.0,0.0,0.0,2,66.7,0,0,0,0,
Austria,Tobias Lawal,GK,25.0,0.0,45,0.5,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1,,0,0,0,0,
Austria,Alexander Schlager,GK,30.3641,7.0,585,6.5,3.0,0.46,10.0,7.0,70.0,5.0,1.0,1.0,3,42.9,0,0,0,0,
Austria,Patrick Pentz,GK,29.4463,4.0,315,3.5,1.0,0.29,5.0,4.0,80.0,4.0,0.0,0.0,3,75.0,0,0,0,0,
Austria,Florian Wiegele,GK,25.2327,0.0,45,0.5,1.0,2.0,,,,0.0,0.0,0.0,0,,0,0,0,0,
Austria,Tobias Lawal,GK,26.0192,0.0,45,0.5,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1,,0,0,0,0,
Belgium,Thibaut Courtois,GK,34.0931,2.0,180,2.0,0.0,0.0,,,,2.0,0.0,0.0,2,100.0,0,0,0,0,
Belgium,Senne Lammens,GK,23.9363,1.0,90,1.0,2.0,2.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Belgium,Matz Sels,GK,34.2957,1.0,90,1.0,1.0,1.0,,,,0.0,1.0,0.0,0,0.0,0,0,0,0,
Belgium,Thibaut Courtois,GK,33.0,4.0,360,4.0,2.0,0.5,5.0,3.0,60.0,3.0,1.0,0.0,3,75.0,0,0,0,0,
Belgium,Matz Sels,GK,33.0,3.0,270,3.0,5.0,1.67,12.0,8.0,66.7,1.0,2.0,0.0,0,0.0,1,1,0,0,0.0
Belgium,Senne Lammens,GK,23.0,1.0,90,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1,100.0,0,0,0,0,
Belgium,Thibaut Courtois,GK,34.0931,6.0,540,6.0,2.0,0.33,5.0,3.0,60.0,5.0,1.0,0.0,5,83.3,0,0,0,0,
Belgium,Matz Sels,GK,34.2957,4.0,360,4.0,6.0,1.5,12.0,8.0,66.7,1.0,3.0,0.0,0,0.0,1,1,0,0,0.0
Belgium,Senne Lammens,GK,23.9363,2.0,180,2.0,2.0,1.0,1.0,1.0,100.0,2.0,0.0,0.0,1,50.0,0,0,0,0,
Bosnia-Herzegovina,Nikola Vasilj,GK,30.5311,1.0,90,1.0,1.0,1.0,2.0,1.0,50.0,0.0,1.0,0.0,0,0.0,0,0,0,0,
Bosnia-Herzegovina,Nikola Vasilj,GK,30.5311,1.0,90,1.0,1.0,1.0,,,,0.0,1.0,0.0,0,0.0,0,0,0,0,
Bosnia-Herzegovina,Martin Zlomislić,GK,27.8268,1.0,90,1.0,0.0,0.0,,,,0.0,1.0,0.0,1,100.0,0,0,0,0,
Bosnia-Herzegovina,Nikola Vasilj,GK,30.0,10.0,960,10.7,9.0,0.84,27.0,19.0,70.4,5.0,4.0,1.0,3,30.0,1,1,0,0,0.0
Bosnia-Herzegovina,Nikola Vasilj,GK,30.5311,12.0,"1,140",12.7,11.0,0.87,29.0,20.0,69.0,5.0,6.0,1.0,3,25.0,1,1,0,0,0.0
Bosnia-Herzegovina,Martin Zlomislić,GK,27.8268,1.0,90,1.0,0.0,0.0,,,,0.0,1.0,0.0,1,100.0,0,0,0,0,
Brazil,Alisson,GK,33.6982,1.0,90,1.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0.0,0,0.0,0,0,0,0,
Brazil,Alisson,GK,33.6982,2.0,90,1.0,2.0,2.0,,,,2.0,0.0,0.0,0,0.0,0,0,0,0,
Brazil,Ederson,GK,32.8241,1.0,135,1.5,3.0,2.0,,,,0.0,0.0,1.0,0,0.0,0,0,0,0,
Brazil,Bento,GK,27.011,1.0,90,1.0,1.0,1.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Brazil,Wéverton,GK,38.501,0.0,45,0.5,0.0,0.0,,,,0.0,0.0,0.0,0,,0,0,0,0,
Brazil,Alisson,GK,33.0,9.0,797,8.9,6.0,0.68,31.0,26.0,83.9,4.0,1.0,4.0,4,44.4,1,1,0,0,0.0
Brazil,Ederson,GK,32.0,8.0,720,8.0,7.0,0.87,16.0,9.0,56.3,4.0,3.0,1.0,2,25.0,0,0,0,0,
Brazil,Bento,GK,26.0,1.0,103,1.1,4.0,3.5,7.0,3.0,42.9,0.0,0.0,1.0,0,0.0,0,0,0,0,
Brazil,Alisson,GK,33.6982,12.0,977,10.9,9.0,0.83,34.0,28.0,82.4,6.0,2.0,4.0,4,33.3,1,1,0,0,0.0
Brazil,Ederson,GK,32.8241,9.0,855,9.5,10.0,1.05,16.0,9.0,56.3,4.0,3.0,2.0,2,22.2,0,0,0,0,
Brazil,Bento,GK,27.011,2.0,193,2.1,5.0,2.33,7.0,3.0,42.9,1.0,0.0,1.0,0,0.0,0,0,0,0,
