Country,Player,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt
Algeria,Aïssa Mandi,DF,34.0,9.1,1,,,,,,,,0,0
Algeria,Riyad Mahrez,"FW,MF",34.0,5.8,1,,,,,,,,0,0
Algeria,Mohamed Amoura,FW,25.0,8.2,10,,,,,,,,2,2
Algeria,Youcef Atal,DF,29.0,5.9,0,,,,,,,,0,0
Algeria,Amine Gouiri,"FW,MF",25.0,5.8,1,,,,,,,,0,0
Algeria,Hicham Boudaoui,MF,26.0,6.5,0,,,,,,,,0,0
Algeria,Ramy Bensebaini,DF,30.0,6.0,0,,,,,,,,0,0
Algeria,Rayan Aït-Nouri,DF,24.0,5.0,0,,,,,,,,0,0
Algeria,Fares Chaïbi,MF,23.0,5.0,1,,,,,,,,0,0
Algeria,Alexis Guendouz,GK,30.0,5.0,0,,,,,,,,0,0
Algeria,Nabil Bentaleb,MF,31.0,4.6,0,,,,,,,,0,0
Algeria,Mohamed Amine Tougai,DF,26.0,4.9,0,,,,,,,,0,0
Algeria,Anthony Mandrea,GK,29.0,4.0,0,,,,,,,,0,0
Algeria,Jaouen Hadjam,DF,22.0,3.7,1,,,,,,,,0,0
Algeria,Ramiz Zerrouki,MF,27.0,3.3,1,,,,,,,,0,0
Algeria,Saïd Benrahma,"FW,MF",30.0,3.1,1,,,,,,,,0,0
Algeria,Baghdad Bounedjah,FW,34.0,2.8,3,,,,,,,,0,0
Algeria,Houssem Aouar,MF,27.0,2.7,1,,,,,,,,0,0
Algeria,Yassine Benzia,MF,31.0,1.9,0,,,,,,,,0,0
Algeria,Adem Zorgane,MF,26.0,1.8,0,,,,,,,,0,0
Algeria,Rafik Belghali,DF,23.0,1.7,0,,,,,,,,0,0
Algeria,Ibrahim Maza,MF,20.0,1.3,0,,,,,,,,0,0
Algeria,Ahmed Kendouci,MF,26.0,1.2,0,,,,,,,,0,0
Algeria,Mohamed Amine Madani,DF,32.0,1.0,0,,,,,,,,0,0
Algeria,Yasser Larouci,DF,25.0,1.0,0,,,,,,,,0,0
Algeria,Luca Zidane,GK,27.0,1.0,0,,,,,,,,0,0
Algeria,Ismaël Bennacer,MF,28.0,0.9,0,,,,,,,,0,0
Algeria,Sofiane Feghouli,MF,36.0,0.8,0,,,,,,,,0,0
Algeria,Yacine Brahimi,MF,35.0,0.6,0,,,,,,,,0,0
Algeria,Islam Slimani,FW,37.0,0.4,1,,,,,,,,0,0
Algeria,Youcef Belaïli,"FW,MF",33.0,1.0,0,,,,,,,,0,0
Algeria,Anis Hadj Moussa,"FW,MF",23.0,0.8,0,,,,,,,,0,0
Algeria,Adam Ounas,"FW,MF",29.0,0.7,0,,,,,,,,0,0
Algeria,Kévin Van Den Kerkhof,"DF,MF",29.0,0.6,0,,,,,,,,0,0
Algeria,Ahmed Touba,DF,27.0,0.6,0,,,,,,,,0,0
Algeria,Monsef Bakrar,FW,25.0,0.3,0,,,,,,,,0,0
Algeria,Samir Chergui,DF,26.0,0.3,0,,,,,,,,0,0
Algeria,Mehdi Dorval,"DF,MF",24.0,0.3,0,,,,,,,,0,0
Algeria,Ilan Kebbal,"FW,MF",27.0,0.1,0,,,,,,,,0,0
Algeria,Amin Chiakha,FW,19.0,0.1,0,,,,,,,,0,0
Algeria,Zineddine Belaïd,DF,26.0,0.1,0,,,,,,,,0,0
Algeria,Rayan Aït-Nouri,DF,25.0219,2.7,0,,,,,,,,0,0
Algeria,Zineddine Belaïd,DF,27.2355,3.5,0,,,,,,,,0,0
Algeria,Amine Gouiri,FW,26.3231,2.7,4,,,,,,,,0,0
Algeria,Houssem Aouar,MF,27.9555,2.5,1,,,,,,,,0,0
Algeria,Mohamed Amoura,"FW,MF",26.0986,2.2,0,,,,,,,,0,0
Algeria,Achref Abada,DF,26.9966,2.1,1,,,,,,,,0,0
Algeria,Aïssa Mandi,DF,34.6434,2.0,1,,,,,,,,0,0
Algeria,Riyad Mahrez,"FW,MF",35.3094,2.0,1,,,,,,,,1,1
Algeria,Ibrahim Maza,MF,20.553,2.0,0,,,,,,,,0,0
Algeria,Luca Zidane,GK,28.0876,2.0,0,,,,,,,,0,0
Algeria,Ramiz Zerrouki,MF,28.052,2.0,0,,,,,,,,0,0
Algeria,Ramy Bensebaini,DF,31.1615,1.8,0,,,,,,,,0,0
Algeria,Nabil Bentaleb,MF,31.553,1.5,0,,,,,,,,0,0
Algeria,Hicham Boudaoui,MF,26.7228,1.2,0,,,,,,,,0,0
Algeria,Rafik Belghali,DF,24.0192,2.1,0,,,,,,,,0,0
Algeria,Fares Chaïbi,MF,23.5421,1.9,0,,,,,,,,0,0
Algeria,Melvin Mastil,GK,26.3149,1.5,0,,,,,,,,0,0
Algeria,Nadhir Benbouali,FW,26.1588,1.3,1,,,,,,,,0,0
Algeria,Yassine Titraoui,MF,22.8843,1.0,0,,,,,,,,0,0
Algeria,Oussama Benbot,GK,31.6735,0.5,0,,,,,,,,0,0
Algeria,Samir Chergui,DF,27.3504,0.5,0,,,,,,,,0,0
Algeria,Adil Boulbina,FW,23.1177,1.1,0,,,,,,,,0,0
Algeria,Mohamed Amine Tougai,DF,26.3915,1.0,0,,,,,,,,0,0
Algeria,Anis Hadj Moussa,"FW,MF",24.3368,1.0,2,,,,,,,,0,0
Algeria,Jaouen Hadjam,DF,23.219,1.0,0,,,,,,,,0,0
Algeria,Mehdi Dorval,"DF,MF",25.3422,0.3,0,,,,,,,,0,0
Algeria,Farés Ghedjemis,"FW,MF",23.7693,0.3,1,,,,,,,,0,0
Algeria,Adil Aouchiche,MF,23.9144,0.2,0,,,,,,,,0,0
Algeria,Amin Chiakha,FW,20.2574,0.2,0,,,,,,,,0,0
Algeria,Aïssa Mandi,DF,34.6434,11.1,2,,,,,,,,0,0
Algeria,Mohamed Amoura,FW,26.0986,10.5,10,,,,,,,,2,2
Algeria,Amine Gouiri,"FW,MF",26.3231,8.6,5,,,,,,,,0,0
Algeria,Ramy Bensebaini,DF,31.1615,7.8,0,,,,,,,,0,0
Algeria,Riyad Mahrez,"FW,MF",35.3094,7.7,2,,,,,,,,1,1
Algeria,Hicham Boudaoui,MF,26.7228,7.7,0,,,,,,,,0,0
Algeria,Rayan Aït-Nouri,DF,25.0219,7.7,0,,,,,,,,0,0
Algeria,Fares Chaïbi,MF,23.5421,6.9,1,,,,,,,,0,0
Algeria,Nabil Bentaleb,MF,31.553,6.1,0,,,,,,,,0,0
Algeria,Youcef Atal,DF,30.0767,5.9,0,,,,,,,,0,0
Algeria,Mohamed Amine Tougai,DF,26.3915,5.9,0,,,,,,,,0,0
Algeria,Ramiz Zerrouki,MF,28.052,5.3,1,,,,,,,,0,0
Algeria,Houssem Aouar,MF,27.9555,5.1,2,,,,,,,,0,0
Algeria,Alexis Guendouz,GK,30.3806,5.0,0,,,,,,,,0,0
Algeria,Jaouen Hadjam,DF,23.219,4.7,1,,,,,,,,0,0
Algeria,Anthony Mandrea,GK,29.4682,4.0,0,,,,,,,,0,0
Algeria,Rafik Belghali,DF,24.0192,3.9,0,,,,,,,,0,0
Algeria,Zineddine Belaïd,DF,27.2355,3.6,0,,,,,,,,0,0
Algeria,Ibrahim Maza,MF,20.553,3.4,0,,,,,,,,0,0
Algeria,Saïd Benrahma,"FW,MF",30.8433,3.1,1,,,,,,,,0,0
Algeria,Luca Zidane,GK,28.0876,3.0,0,,,,,,,,0,0
Algeria,Baghdad Bounedjah,FW,34.5366,2.8,3,,,,,,,,0,0
Algeria,Achref Abada,DF,26.9966,2.1,1,,,,,,,,0,0
Algeria,Yassine Benzia,MF,31.7639,1.9,0,,,,,,,,0,0
Algeria,Anis Hadj Moussa,"FW,MF",24.3368,1.8,2,,,,,,,,0,0
Algeria,Adem Zorgane,MF,26.4353,1.8,0,,,,,,,,0,0
Algeria,Melvin Mastil,GK,26.3149,1.5,0,,,,,,,,0,0
Algeria,Nadhir Benbouali,FW,26.1588,1.3,1,,,,,,,,0,0
Algeria,Ahmed Kendouci,MF,26.9774,1.2,0,,,,,,,,0,0
Algeria,Adil Boulbina,FW,23.1177,1.1,0,,,,,,,,0,0
Algeria,Youcef Belaïli,"FW,MF",34.2519,1.0,0,,,,,,,,0,0
Algeria,Mohamed Amine Madani,DF,33.2355,1.0,0,,,,,,,,0,0
Algeria,Yasser Larouci,DF,25.449,1.0,0,,,,,,,,0,0
Algeria,Yassine Titraoui,MF,22.8843,1.0,0,,,,,,,,0,0
Algeria,Ismaël Bennacer,MF,28.5339,0.9,0,,,,,,,,0,0
Algeria,Sofiane Feghouli,MF,36.4654,0.8,0,,,,,,,,0,0
Algeria,Samir Chergui,DF,27.3504,0.8,0,,,,,,,,0,0
Algeria,Adam Ounas,"FW,MF",29.5886,0.7,0,,,,,,,,0,0
Algeria,Yacine Brahimi,MF,36.345,0.6,0,,,,,,,,0,0
Algeria,Kévin Van Den Kerkhof,"DF,MF",30.2519,0.6,0,,,,,,,,0,0
Algeria,Mehdi Dorval,"DF,MF",25.3422,0.6,0,,,,,,,,0,0
Algeria,Ahmed Touba,DF,28.2574,0.6,0,,,,,,,,0,0
Algeria,Oussama Benbot,GK,31.6735,0.5,0,,,,,,,,0,0
Algeria,Islam Slimani,FW,37.9884,0.4,1,,,,,,,,0,0
Algeria,Farés Ghedjemis,"FW,MF",23.7693,0.3,1,,,,,,,,0,0
Algeria,Monsef Bakrar,FW,25.4162,0.3,0,,,,,,,,0,0
Algeria,Adil Aouchiche,MF,23.9144,0.2,0,,,,,,,,0,0
Algeria,Amin Chiakha,FW,20.2574,0.2,0,,,,,,,,0,0
Algeria,Ilan Kebbal,"FW,MF",27.9309,0.1,0,,,,,,,,0,0
Argentina,Thiago Almada,"MF,FW",25.1342,2.7,1,,,,,,,,0,0
Argentina,Nicolás Otamendi,DF,38.334,2.3,1,,,,,,,,1,1
Argentina,Cristian Romero,DF,28.1314,2.8,0,,,,,,,,0,0
Argentina,Giuliano Simeone,MF,23.4873,2.3,1,,,,,,,,0,0
Argentina,Enzo Fernández,MF,25.4052,2.2,1,,,,,,,,0,0
Argentina,Alexis Mac Allister,MF,27.4709,2.2,0,,,,,,,,0,0
Argentina,Agustín Giay,DF,22.4079,2.0,0,,,,,,,,0,0
Argentina,Emiliano Martínez,GK,33.7803,1.8,0,,,,,,,,0,0
Argentina,Nahuel Molina,DF,28.1889,1.8,0,,,,,,,,0,0
Argentina,Exequiel Palacios,MF,27.6899,1.6,0,,,,,,,,0,0
Argentina,Valentín Barco,MF,21.8925,1.4,2,,,,,,,,0,0
Argentina,Nicolás Paz,MF,21.7639,1.3,1,,,,,,,,0,0
Argentina,Julián Álvarez,FW,26.3669,1.3,1,,,,,,,,0,0
Argentina,Giovani Lo Celso,MF,30.1807,1.2,0,,,,,,,,0,0
Argentina,Lisandro Martínez,DF,28.4025,1.2,0,,,,,,,,0,0
Argentina,Nicolás Tagliafico,DF,33.7858,1.1,0,,,,,,,,0,0
Argentina,Lionel Messi,FW,38.9719,1.7,2,,,,,,,,1,1
Argentina,Facundo Medina,DF,27.0465,1.5,0,,,,,,,,0,0
Argentina,Nicolás González,MF,28.1889,1.3,0,,,,,,,,0,0
Argentina,Lautaro Martínez,FW,28.8104,1.2,1,,,,,,,,1,1
Argentina,Juan Musso,GK,32.1068,1.1,0,,,,,,,,0,0
Argentina,Gerónimo Rulli,GK,34.0684,1.0,0,,,,,,,,0,0
Argentina,Marcos Senesi,DF,29.0958,1.0,0,,,,,,,,0,0
Argentina,Flaco López,FW,25.5202,1.0,0,,,,,,,,0,0
Argentina,Marcos Acuña,DF,34.627,0.8,0,,,,,,,,0,0
Argentina,Leandro Paredes,MF,31.9582,0.6,0,,,,,,,,0,0
Argentina,Rodrigo De Paul,"FW,MF",32.0575,1.9,0,,,,,,,,0,0
Argentina,Franco Mastantuono,"FW,MF",18.8323,0.5,0,,,,,,,,0,0
Argentina,Lucas Martínez Quarta,"DF,MF",30.0958,0.2,0,,,,,,,,0,0
Argentina,Gabriel Rojas,"DF,MF",28.9774,0.2,0,,,,,,,,0,0
Argentina,Gonzalo Montiel,DF,29.449,0.2,0,,,,,,,,0,0
Argentina,Máximo Perrone,MF,23.4326,0.2,0,,,,,,,,0,0
Argentina,Tomás Aranda,FW,19.0986,0.1,0,,,,,,,,0,0
Argentina,Santiago Beltrán,GK,21.6927,0.1,0,,,,,,,,0,0
Argentina,Nicolás Capaldo,"DF,MF",27.7474,0.1,0,,,,,,,,0,0
Argentina,Joaquín Freitas,FW,19.5311,0.1,0,,,,,,,,0,0
Argentina,Nicolás Otamendi,DF,37.0,16.1,3,12.0,3.0,25.0,0.74,0.19,0.25,1.0,0,0
Argentina,Rodrigo De Paul,MF,31.0,15.0,0,16.0,4.0,25.0,1.06,0.27,0.0,0.0,0,0
Argentina,Emiliano Martínez,GK,33.0,16.0,0,0.0,0.0,,0.0,0.0,,,0,0
Argentina,Julián Álvarez,FW,26.0,14.7,4,24.0,12.0,50.0,1.63,0.82,0.17,0.33,0,0
Argentina,Enzo Fernández,MF,25.0,14.1,2,13.0,5.0,38.5,0.92,0.36,0.15,0.4,0,0
Argentina,Cristian Romero,DF,27.0,14.0,0,3.0,1.0,33.3,0.21,0.07,0.0,0.0,0,0
Argentina,Nahuel Molina,DF,27.0,14.0,0,1.0,0.0,0.0,0.07,0.0,0.0,,0,0
Argentina,Nicolás Tagliafico,DF,33.0,13.8,1,8.0,3.0,37.5,0.58,0.22,0.13,0.33,0,0
Argentina,Alexis Mac Allister,MF,27.0,11.6,2,12.0,5.0,41.7,1.04,0.43,0.17,0.4,0,0
Argentina,Lionel Messi,"FW,MF",38.0,10.5,8,45.0,20.0,44.4,4.29,1.91,0.18,0.4,0,0
Argentina,Lautaro Martínez,FW,28.0,8.2,4,18.0,7.0,38.9,2.2,0.85,0.22,0.57,0,0
Argentina,Nicolás González,"FW,MF",27.0,8.0,2,15.0,6.0,40.0,1.87,0.75,0.13,0.33,0,0
Argentina,Leandro Paredes,MF,31.0,6.1,0,6.0,1.0,16.7,0.98,0.16,0.0,0.0,0,0
Argentina,Thiago Almada,"MF,FW",24.0,5.3,3,12.0,7.0,58.3,2.27,1.32,0.25,0.43,0,0
