Country,Player,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Algeria,Aïssa Mandi,DF,34.0,10.0,10,823.0,9.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.11,0.0,0.11,0.11,0.11
Algeria,Riyad Mahrez,"FW,MF",34.0,8.0,8,520.0,5.8,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.17,0.69,0.87,0.17,0.87
Algeria,Mohamed Amoura,FW,25.0,10.0,7,742.0,8.2,10.0,4.0,14.0,8.0,2.0,2.0,1.0,0.0,1.21,0.49,1.7,0.97,1.46
Algeria,Youcef Atal,DF,29.0,8.0,7,532.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Amine Gouiri,"FW,MF",25.0,9.0,7,525.0,5.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.17,0.17,0.34,0.17,0.34
Algeria,Hicham Boudaoui,MF,26.0,8.0,6,581.0,6.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15
Algeria,Ramy Bensebaini,DF,30.0,6.0,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Rayan Aït-Nouri,DF,24.0,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Fares Chaïbi,MF,23.0,8.0,5,450.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.4
Algeria,Alexis Guendouz,GK,30.0,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Nabil Bentaleb,MF,31.0,7.0,5,416.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Mohamed Amine Tougai,DF,26.0,5.0,4,437.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Anthony Mandrea,GK,29.0,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Jaouen Hadjam,DF,22.0,5.0,4,337.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27
Algeria,Ramiz Zerrouki,MF,27.0,5.0,3,297.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.3
Algeria,Saïd Benrahma,"FW,MF",30.0,6.0,3,276.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.33,0.33
Algeria,Baghdad Bounedjah,FW,34.0,5.0,3,256.0,2.8,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,1.05,0.35,1.41,1.05,1.41
Algeria,Houssem Aouar,MF,27.0,4.0,3,241.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.37,0.0,0.37,0.37,0.37
Algeria,Yassine Benzia,MF,31.0,4.0,2,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Adem Zorgane,MF,26.0,2.0,2,158.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Rafik Belghali,DF,23.0,2.0,2,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Ibrahim Maza,MF,20.0,3.0,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Ahmed Kendouci,MF,26.0,3.0,1,104.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
