Jugador,Seleccion,Posicion,Edad,Edad_FBref,Altura,Temporada,Tipo_Lesion,Desde,Hasta,Dias_Baja,Partidos_Perdidos
Emiliano Martínez,Argentina,,33.0,,1.95,,Calf Problems,,,5,1
Emiliano Martínez,Argentina,,33.0,,1.95,,Muscular Problems,,,4,1
Emiliano Martínez,Argentina,,33.0,,1.95,,Muscular Problems,,,3,1
Emiliano Martínez,Argentina,,33.0,,1.95,,Knock,,,3,1
Emiliano Martínez,Argentina,,33.0,,1.95,,Muscle Injury,,,12,2
Emiliano Martínez,Argentina,,33.0,,1.95,,Unknown Injury,,,3,1
Emiliano Martínez,Argentina,,33.0,,1.95,,Unknown Injury,,,6,1
Emiliano Martínez,Argentina,,33.0,,1.95,,Knee Problems,,,10,1
Gerónimo Rulli,Argentina,,34.0,,1.89,,Shoulder Injury,,,104,22
Gerónimo Rulli,Argentina,,34.0,,1.89,,Cruciate Ligament Strain,,,56,8
Gerónimo Rulli,Argentina,,34.0,,1.89,,Metatarsal Fracture,,,71,9
Juan Musso,Argentina,,32.0,,1.93,,Ankle Sprain,,,15,1
Juan Musso,Argentina,,32.0,,1.93,,Broken Jaw,,,36,5
Juan Musso,Argentina,,32.0,,1.93,,Corona Virus,,,7,0
Juan Musso,Argentina,,32.0,,1.93,,Surgery,,,20,4
Juan Musso,Argentina,,32.0,,1.93,,Finger Injury,,,37,2
Cristian Romero,Argentina,,28.0,,1.85,,Knee Injury,,,56,6
Cristian Romero,Argentina,,28.0,,1.85,,Adductor Injury,,,13,4
Cristian Romero,Argentina,,28.0,,1.85,,Hamstring Injury,,,86,20
Cristian Romero,Argentina,,28.0,,1.85,,Toe Injury,,,15,4
Cristian Romero,Argentina,,28.0,,1.85,,Ankle Injury,,,6,1
Cristian Romero,Argentina,,28.0,,1.85,,Hamstring Strain,,,20,3
Cristian Romero,Argentina,,28.0,,1.85,,Hamstring Injury,,,23,6
Cristian Romero,Argentina,,28.0,,1.85,,Adductor Pain,,,16,3
Cristian Romero,Argentina,,28.0,,1.85,,Hip Problems,,,15,3
Cristian Romero,Argentina,,28.0,,1.85,,Hamstring Injury,,,81,17
Cristian Romero,Argentina,,28.0,,1.85,,Quarantine,,,9,3
Cristian Romero,Argentina,,28.0,,1.85,,Knee Injury,,,6,1
Cristian Romero,Argentina,,28.0,,1.85,,Knee Injury,,,18,3
Cristian Romero,Argentina,,28.0,,1.85,,Muscular Problems,,,6,1
Cristian Romero,Argentina,,28.0,,1.85,,Corona Virus,,,5,1
Lisandro Martínez,Argentina,,28.0,,1.75,,Calf Injury,,,45,8
Lisandro Martínez,Argentina,,28.0,,1.75,,Cruciate Ligament Injury,,,292,44
Lisandro Martínez,Argentina,,28.0,,1.75,,Back Problems,,,3,1
Lisandro Martínez,Argentina,,28.0,,1.75,,Calf Strain,,,30,6
Lisandro Martínez,Argentina,,28.0,,1.75,,Knee Injury,,,55,9
Lisandro Martínez,Argentina,,28.0,,1.75,,Foot Injury,,,106,26
