Country,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Last 5,Notes
Australia,1,United States,1,1,0,0,4.0,1.0,3.0,3,L L W L W,
Australia,2,Australia,1,1,0,0,2.0,0.0,2.0,3,L L L D W,
Australia,3,Türkiye,1,0,0,1,0.0,2.0,-2.0,0,W W W W L,
Australia,4,Paraguay,1,0,0,1,1.0,4.0,-3.0,0,W W L W L,
Austria,1,Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Austria,2,Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Austria,3,Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Austria,4,Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Bosnia-Herzegovina,1,Switzerland,1,0,1,0,1.0,1.0,0.0,1,L D W D D,
Bosnia-Herzegovina,2,Canada,1,0,1,0,1.0,1.0,0.0,1,D D W D D,
Bosnia-Herzegovina,3,Qatar,1,0,1,0,1.0,1.0,0.0,1,D W L D D,
Bosnia-Herzegovina,4,Bosnia-Herzegovina,1,0,1,0,1.0,1.0,0.0,1,D D D D D,
Brazil,1,Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Brazil,2,Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Brazil,3,Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Brazil,4,Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Brazil,1,sct Scotland,1,1,0,0,1.0,0.0,1.0,3,L L W W W,
Brazil,2,Morocco,1,0,1,0,1.0,1.0,0.0,1,D W W D D,
Brazil,3,Brazil,1,0,1,0,1.0,1.0,0.0,1,L W W W D,
Brazil,4,Haiti,1,0,0,1,0.0,1.0,-1.0,0,L D W L L,
Canada,1,Switzerland,1,0,1,0,1.0,1.0,0.0,1,L D W D D,
Canada,2,Canada,1,0,1,0,1.0,1.0,0.0,1,D D W D D,
Canada,3,Qatar,1,0,1,0,1.0,1.0,0.0,1,D W L D D,
Canada,4,Bosnia-Herzegovina,1,0,1,0,1.0,1.0,0.0,1,D D D D D,
Congo DR,1,Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Congo DR,2,Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Congo DR,3,Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Congo DR,4,Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Czechia,1,Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Czechia,2,Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Czechia,3,Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Czechia,4,Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Czechia,1,Mexico,1,1,0,0,2.0,0.0,2.0,3,D W W W W,
Czechia,2,Korea Republic,1,1,0,0,2.0,1.0,1.0,3,L L W W W,
Czechia,3,Czechia,1,0,0,1,1.0,2.0,-1.0,0,D D W W L,
Czechia,4,South Africa,1,0,0,1,0.0,2.0,-2.0,0,L D L D L,
Germany,1,Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Germany,2,Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Germany,3,Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Germany,4,Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Ghana,1,Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Ghana,2,Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Ghana,3,Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Ghana,4,Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Haiti,1,sct Scotland,1,1,0,0,1.0,0.0,1.0,3,L L W W W,
Haiti,2,Morocco,1,0,1,0,1.0,1.0,0.0,1,D W W D D,
Haiti,3,Brazil,1,0,1,0,1.0,1.0,0.0,1,L W W W D,
Haiti,4,Haiti,1,0,0,1,0.0,1.0,-1.0,0,L D W L L,
IR Iran,1,Brazil,1,0,1,0,1.0,1.0,0.0,1,,
IR Iran,2,Qatar,1,0,1,0,1.0,1.0,0.0,1,,
IR Iran,3,Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
IR Iran,4,Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Korea Republic,1,Mexico,1,1,0,0,2.0,0.0,2.0,3,D W W W W,
Korea Republic,2,Korea Republic,1,1,0,0,2.0,1.0,1.0,3,L L W W W,
Korea Republic,3,Czechia,1,0,0,1,1.0,2.0,-1.0,0,D D W W L,
Korea Republic,4,South Africa,1,0,0,1,0.0,2.0,-2.0,0,L D L D L,
Mexico,1,Mexico,1,1,0,0,2.0,0.0,2.0,3,D W W W W,
Mexico,2,Korea Republic,1,1,0,0,2.0,1.0,1.0,3,L L W W W,
Mexico,3,Czechia,1,0,0,1,1.0,2.0,-1.0,0,D D W W L,
Mexico,4,South Africa,1,0,0,1,0.0,2.0,-2.0,0,L D L D L,
Morocco,1,sct Scotland,1,1,0,0,1.0,0.0,1.0,3,L L W W W,
Morocco,2,Morocco,1,0,1,0,1.0,1.0,0.0,1,D W W D D,
Morocco,3,Brazil,1,0,1,0,1.0,1.0,0.0,1,L W W W D,
Morocco,4,Haiti,1,0,0,1,0.0,1.0,-1.0,0,L D W L L,
Norway,1,Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Norway,2,Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Norway,3,Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Norway,4,Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Paraguay,1,United States,1,1,0,0,4.0,1.0,3.0,3,L L W L W,
Paraguay,2,Australia,1,1,0,0,2.0,0.0,2.0,3,L L L D W,
