Country,#,Player,Pos,Club,Birth Place,Birth Date,Age,League,Birth Country
Algeria,3.0,Achref Abada,DF,USM Alger,"Tebesbest, Algeria",1999-06-15,26.9884,1.dz,Algeria
Algeria,15.0,Rayan Aït-Nouri,"DF,MF",Manchester City,"Montreuil, France",2001-06-06,25.0137,1.eng,France
Algeria,4.0,Mohamed Amine Tougai,DF,Espérance Tunis,"Bourouba, Algeria",2000-01-22,26.3833,1.tn,Algeria
Algeria,18.0,Mohamed Amoura,"FW,MF",Wolfsburg,"Jijel, Algeria",2000-05-09,26.0903,1.de,Algeria
Algeria,8.0,Houssem Aouar,MF,Al-Ittihad,"Lyon, France",1998-06-30,27.9473,1.sa,France
Algeria,5.0,Zineddine Belaïd,DF,JS Kabylie,"Thenia, Algeria",1999-03-20,27.2272,1.dz,Algeria
Algeria,17.0,Rafik Belghali,"DF,MF",Hellas Verona,"Leuven, Belgium",2002-06-07,24.011,1.it,Belgium
Algeria,16.0,Oussama Benbot,GK,USM Alger,"Aïn M’Lila, Algeria",1994-10-11,31.6653,1.dz,Algeria
Algeria,12.0,Nadhir Benbouali,FW,Győr,"Chlef, Algeria",2000-04-17,26.1506,1.hu,Algeria
Algeria,21.0,Ramy Bensebaini,"DF,MF",Dortmund,"Constantine, Algeria",1995-04-16,31.1533,1.de,Algeria
Algeria,19.0,Nabil Bentaleb,MF,Lille,"Lille, France",1994-11-24,31.5448,1.fr,France
Algeria,14.0,Hicham Boudaoui,MF,Nice,"Béchar, Algeria",1999-09-23,26.7146,1.fr,Algeria
Algeria,20.0,Adil Boulbina,FW,Al Duhail SC,"El Milia, Algeria",2003-05-02,23.1095,1.qa,Algeria
Algeria,10.0,Fares Chaïbi,"FW,MF",Eintracht Frankfurt,"Lyon, France",2002-11-28,23.5339,1.de,France
Algeria,26.0,Samir Chergui,DF,Paris FC,"Brétigny-sur-Orge, France",1999-02-06,27.3422,1.fr,France
Algeria,25.0,Farés Ghedjemis,"FW,MF",Frosinone,"Montreuil, France",2002-09-06,23.7611,2.it,France
Algeria,9.0,Amine Gouiri,"FW,MF",Marseille,"Bourgoin-Jallieu, France",2000-02-16,26.3149,1.fr,France
