Country,Player,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Australia,Patrick Beach,GK,22.854209445585216,1.0,0,0,0,0,0,0,0,0,0,,,0
Australia,Cameron Burgess,DF,30.646132785763175,1.0,0,0,0,0,0,0,0,0,1,,,0
Australia,Alessandro Circati,DF,22.67624914442163,1.0,0,0,0,1,0,0,0,1,0,,,0
Australia,Connor Metcalfe,MF,26.605065023956193,1.0,0,0,0,0,0,0,5,0,0,,,0
Australia,Aiden O'Neill,MF,27.944558521560573,1.0,0,0,0,1,1,0,3,0,0,,,0
Australia,Harry Souttar,DF,27.643394934976044,1.0,0,0,0,1,0,0,0,0,0,,,0
Australia,Jordy Bos,DF,23.62422997946612,0.9,0,0,0,0,1,0,2,0,0,,,0
Australia,Paul Okon-Engstler,MF,21.386036960985628,0.9,0,0,0,1,0,0,1,3,1,,,0
Australia,Jacob Italiano,DF,24.87337440109514,0.8,0,0,0,0,0,0,2,1,1,,,0
Australia,Mo Touré,FW,22.21902806297057,0.8,0,0,0,2,1,1,0,0,0,,,0
Australia,Nestory Irankunda,MF,20.34223134839151,0.7,0,0,0,1,1,0,0,0,0,,,0
Australia,Nishan Velupillay,MF,25.10403832991102,0.3,0,0,0,0,0,0,0,0,0,,,0
Australia,Jason Geria,DF,33.09582477754962,0.2,0,0,0,0,0,0,0,1,0,,,0
Australia,Tete Yengi,FW,25.542094455852155,0.2,0,0,0,3,0,0,1,0,2,,,0
Australia,Aziz Behich,"DF,MF",35.492813141683776,0.1,0,0,0,1,0,0,0,0,0,,,0
Australia,Jackson Irvine,"DF,MF",33.271047227926076,0.1,0,0,0,1,0,0,0,0,0,,,0
Bosnia-Herzegovina,Amar Dedić,DF,23.82135523613963,1.0,0,0,0,1,1,0,0,0,2,,,0
Bosnia-Herzegovina,Ermedin Demirović,FW,28.2217659137577,1.0,1,0,0,4,1,0,0,0,0,,,0
Bosnia-Herzegovina,Nikola Katić,DF,29.67624914442163,1.0,1,0,0,2,0,0,0,3,4,,,0
