Country,#,Player,Pos,Club,Birth Place,Birth Date,Age,League,Birth Country,MarketValue_EUR,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Playing Time_Mn/MP,Playing Time_Min%,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,GK_Playing Time_Starts,GK_Playing Time_Min,GK_Playing Time_90s,GK_Performance_GA,GK_Performance_GA90,GK_Performance_SoTA,GK_Performance_Saves,GK_Performance_Save%,GK_Performance_W,GK_Performance_D,GK_Performance_L,GK_Performance_CS,GK_Performance_CS%,GK_Penalty Kicks_PKatt,GK_Penalty Kicks_PKA,GK_Penalty Kicks_PKsv,GK_Penalty Kicks_PKm,GK_Penalty Kicks_Save%,MP_allcomps,Playing Time_Starts_allcomps,Playing Time_Min_allcomps,Playing Time_90s_allcomps,Performance_Gls_allcomps,Performance_Ast_allcomps,Performance_G+A_allcomps,Performance_G-PK_allcomps,Performance_PK_allcomps,Performance_PKatt_allcomps,Performance_CrdY_allcomps,Performance_CrdR_allcomps,Per 90 Minutes_Gls_allcomps,Per 90 Minutes_Ast_allcomps,Per 90 Minutes_G+A_allcomps,Per 90 Minutes_G-PK_allcomps,Per 90 Minutes_G+A-PK_allcomps,90s_allcomps,Standard_Gls_allcomps,Standard_Sh_allcomps,Standard_SoT_allcomps,Standard_SoT%_allcomps,Standard_Sh/90_allcomps,Standard_SoT/90_allcomps,Standard_G/Sh_allcomps,Standard_G/SoT_allcomps,Standard_PK_allcomps,Standard_PKatt_allcomps,Performance_2CrdY_allcomps,Performance_Fls_allcomps,Performance_Fld_allcomps,Performance_Off_allcomps,Performance_Crs_allcomps,Performance_Int_allcomps,Performance_TklW_allcomps,Performance_PKwon_allcomps,Performance_PKcon_allcomps,Performance_OG_allcomps,Playing Time_Mn/MP_allcomps,Playing Time_Min%_allcomps,Starts_allcomps,Starts_Mn/Start_allcomps,Starts_Compl_allcomps,Subs_allcomps,Subs_Mn/Sub_allcomps,Subs_unSub_allcomps,Team Success_PPM_allcomps,Team Success_onG_allcomps,Team Success_onGA_allcomps,Team Success_+/-_allcomps,Team Success_+/-90_allcomps,Team Success_On-Off_allcomps,Performance_GA_allcomps,Performance_GA90_allcomps,Performance_SoTA_allcomps,Performance_Saves_allcomps,Performance_Save%_allcomps,Performance_W_allcomps,Performance_D_allcomps,Performance_L_allcomps,Performance_CS_allcomps,Performance_CS%_allcomps,Penalty Kicks_PKatt_allcomps,Penalty Kicks_PKA_allcomps,Penalty Kicks_PKsv_allcomps,Penalty Kicks_PKm_allcomps,Penalty Kicks_Save%_allcomps,total_injuries,total_days_out,avg_days_out,total_matches_missed,xg_overperformance,minutes_per_goal,discipline_score,impact_score_raw,position_encoded,league_tier,experience_level,goals_per_90,assists_per_90,shots_per_90,sot_per_90,tackles_won_per_90,interceptions_per_90,crosses_per_90,fouls_committed_per_90,fouls_drawn_per_90,offsides_per_90,cluster,Player_Profile,sofifa_id,overall,potential,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,skill_dribbling,skill_fk_accuracy,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,Expected_xG_proxy
Algeria,3.0,Achref Abada,DF,USM Alger,"Tebesbest, Algeria",1999-06-15,26.9884,1.dz,Algeria,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,191.0,2.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.47,0.0,0.47,0.47,0.47,2.1,2.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,53.1,6.0,120.0,2.0,2.0,22.0,0.0,2.5,16.0,0.0,8.0,3.77,1.64,,,,,,,,,,,,,,,,1,12,12.0,2,0.10000000000000009,95.5,0.0,1.7185422613694794,2,4,-0.6438586552342203,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Defensor / Mediocampista Posicional,,72.0,79.0,,,79.0,57.0,59.0,68.0,34.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
Algeria,15.0,Rayan Aït-Nouri,"DF,MF",Manchester City,"Montreuil, France",2001-06-06,25.0137,1.eng,France,40000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,18.0,450.0,5.133333333333334,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,5.133333333333334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,57.16666666666666,18.0,227.0,12.0,0.0,0.0,2.0,2.4466666666666668,38.0,10.0,9.333333333333334,1.893333333333333,-0.8766666666666666,,,,,,,,,,,,,,,,14,290,20.714285714285715,47,0.0,,2.0,0.1149372704048512,2,1,-0.087616545684783,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Defensor / Mediocampista Posicional,,65.0,80.0,,,71.0,50.0,59.0,65.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Algeria,4.0,Mohamed Amine Tougai,DF,Espérance Tunis,"Bourouba, Algeria",2000-01-22,26.3833,1.tn,Algeria,1300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,8.0,437.0,3.9333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9333333333333336,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,38.46666666666667,8.0,180.0,8.0,6.0,178.0,0.0,2.43,26.0,8.0,6.0,2.19,-0.1933333333333333,,,,,,,,,,,,,,,,5,306,61.2,50,0.0,,2.0,0.0692935586446692,2,4,-0.1743549285884503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Defensor / Mediocampista Posicional,,71.0,79.0,,,71.0,49.0,56.0,62.0,63.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Algeria,18.0,Mohamed Amoura,"FW,MF",Wolfsburg,"Jijel, Algeria",2000-05-09,26.0903,1.de,Algeria,20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,20.0,742.0,6.966666666666666,20.0,12.0,32.0,16.0,4.0,4.0,6.0,0.0,0.7233333333333333,0.6533333333333333,1.3766666666666667,0.58,1.2333333333333334,6.966666666666666,20.0,0.0,0.0,,,,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,70.8,20.0,218.0,8.0,8.0,120.0,0.0,2.5,52.0,14.0,12.666666666666666,2.036666666666666,-0.4966666666666666,,,,,,,,,,,,,,,,9,169,18.77777777777778,22,1.0,37.1,6.0,2.479138690301073,4,1,1.1831770573327418,0.7233333333333333,0.6533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Atacante Eficiente / Creador,,62.0,80.0,,,80.0,60.0,57.0,70.0,41.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0
Algeria,8.0,Houssem Aouar,MF,Al-Ittihad,"Lyon, France",1998-06-30,27.9473,1.sa,France,8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,12.0,241.0,3.4333333333333336,4.0,2.0,6.0,4.0,0.0,0.0,2.0,0.0,0.3899999999999999,0.1999999999999999,0.5866666666666667,0.3899999999999999,0.5866666666666667,3.4333333333333336,4.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,41.73333333333333,12.0,209.0,2.0,4.0,69.0,4.0,2.5,28.0,6.0,7.333333333333333,2.1666666666666665,0.0633333333333333,,,,,,,,,,,,,,,,14,227,16.214285714285715,47,0.20000000000000018,60.25,2.0,1.3001120128103114,3,3,0.3956368166965154,0.3899999999999999,0.1999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Defensor / Mediocampista Posicional,,69.0,77.0,,,80.0,62.0,63.0,72.0,37.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
Algeria,5.0,Zineddine Belaïd,DF,JS Kabylie,"Thenia, Algeria",1999-03-20,27.2272,1.dz,Algeria,1800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,6.0,6.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,37.9,6.0,180.0,6.0,4.0,77.0,6.0,2.7,22.0,0.0,7.333333333333333,2.0733333333333337,0.3266666666666666,,,,,,,,,,,,,,,,1,0,0.0,0,0.0,,2.0,0.6169347566435008,2,4,-0.3842014031632648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Defensor / Mediocampista Posicional,222515.0,77.0,77.0,10500000.0,9000.0,81.0,64.0,76.0,76.0,31.0,70.0,81.0,63.0,60.0,78.0,68.0,76.0,82.0,81.0,74.0,71.0,68.0,69.0,71.0,88.0,74.0,60.0,38.0,24.0,73.0,76.0,74.0,29.0,30.0,27.0,13.0,10.0,14.0,15.0,8.0,0.0
Algeria,17.0,Rafik Belghali,"DF,MF",Hellas Verona,"Leuven, Belgium",2002-06-07,24.011,1.it,Belgium,7000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,6.0,156.0,2.566666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.566666666666667,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,32.63333333333333,6.0,235.0,2.0,6.0,74.0,0.0,2.723333333333333,18.0,2.0,5.333333333333333,2.0166666666666666,-0.27,,,,,,,,,,,,,,,,6,511,85.16666666666667,57,0.0,,2.0,0.4097836044032679,2,1,-0.933633853819752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Defensor / Mediocampista Posicional,,65.0,79.0,,,74.0,45.0,56.0,59.0,54.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Algeria,16.0,Oussama Benbot,GK,USM Alger,"Aïn M’Lila, Algeria",1994-10-11,31.6653,1.dz,Algeria,850000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,8.05,2.0,90.0,0.0,0.0,0.0,22.0,3.0,2.0,0.0,1.0,2.0,-1.14,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,,1,46,46.0,5,0.0,,0.0,0.4145420664138824,1,4,-0.1598308474181669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,Guardameta / Portero,,76.0,78.0,,,74.0,58.0,63.0,69.0,59.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Algeria,12.0,Nadhir Benbouali,FW,Győr,"Chlef, Algeria",2000-04-17,26.1506,1.hu,Algeria,1200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,115.0,1.3,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.78,0.78,1.57,0.78,1.57,1.3,2.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,31.9,2.0,90.0,0.0,6.0,46.0,0.0,2.5,8.0,0.0,4.0,3.13,0.19,,,,,,,,,,,,,,,,3,387,129.0,46,0.10000000000000009,57.5,0.0,3.0943841328416832,4,4,-0.8400541264194734,0.78,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Atacante Eficiente / Creador,,67.0,74.0,,,72.0,59.0,62.0,67.0,37.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
Algeria,21.0,Ramy Bensebaini,"DF,MF",Dortmund,"Constantine, Algeria",1995-04-16,31.1533,1.de,Algeria,7000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,540.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,53.1,16.0,256.0,14.0,0.0,0.0,4.0,2.583333333333333,46.0,8.0,12.666666666666666,2.543333333333333,0.8566666666666668,,,,,,,,,,,,,,,,15,211,14.066666666666666,33,0.0,,8.0,0.679631025570679,2,1,1.1464158577802153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Defensor / Mediocampista Posicional,224196.0,79.0,82.0,21000000.0,31000.0,73.0,59.0,72.0,75.0,77.0,80.0,80.0,62.0,81.0,77.0,62.0,78.0,67.0,77.0,60.0,76.0,63.0,61.0,84.0,79.0,78.0,48.0,83.0,78.0,65.0,63.0,73.0,74.0,77.0,80.0,6.0,13.0,14.0,7.0,14.0,0.0
