Country,squad_avg_age,squad_median_age,squad_total_market_value,squad_avg_market_value,squad_injury_burden,squad_total_injuries,squad_depth_GK,squad_depth_DF,squad_depth_MF,squad_depth_FW,squad_total_wc_goals,squad_avg_wc_goals,squad_total_wc_assists,squad_total_allcomps_goals,squad_total_allcomps_assists,group_rank,group_matches_played,group_wins,group_draws,group_losses,group_goals_for,group_goals_against,group_goals_difference,group_points,group_last_5_form,group_notes
Algeria,26.85683846153846,26.3491,256900000.0,9880769.23076923,5165,162,3,9,15,8,0.0,,0.0,58.0,40.0,,,,,,,,,,,
Argentina,29.052276923076924,28.1807,818500000.0,31480769.230769232,14392,643,3,10,15,9,0.0,,0.0,82.0,58.0,,,,,,,,,,,
Australia,27.35921153846154,27.11605,69850000.0,2686538.4615384615,5987,136,3,11,14,4,2.0,0.07692307692307693,1.0,28.0,18.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,L L L D W,
Austria,28.541753846153846,28.814500000000002,282200000.0,10853846.153846154,9343,293,3,11,18,7,0.0,,0.0,56.0,40.0,,,,,,,,,,,
Belgium,27.61451153846154,25.757350000000002,547500000.0,21057692.307692308,6647,236,3,10,16,7,0.0,,0.0,82.0,58.0,,,,,,,,,,,
Bosnia and Herzegovina,26.56395925925926,27.8186,152000000.0,5629629.62962963,4285,132,4,8,10,5,1.0,0.04,1.0,38.0,20.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,D D D D D,
Brazil,29.118233333333336,28.7885,951200000.0,35229629.62962963,15444,538,3,10,15,7,1.0,0.04,1.0,60.0,44.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,
Brazil,29.118233333333336,28.7885,951200000.0,35229629.62962963,15444,538,3,10,15,7,1.0,0.04,1.0,60.0,44.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,L W W W D,
Cabo Verde,29.6764,29.28885,100000000.0,4000000.0,3522,114,3,9,15,9,0.0,,0.0,44.0,32.0,,,,,,,,,,,
Canada,26.933373076923075,26.6215,201150000.0,7736538.461538462,5029,116,3,9,13,5,1.0,0.04,1.0,8.0,6.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,D D W D D,
