Country,squad_total_market_value,squad_avg_market_value,squad_total_injuries,squad_total_wc_goals,squad_avg_wc_goals,squad_total_wc_assists,squad_total_allcomps_goals,squad_total_allcomps_assists,group_rank,group_matches_played,group_wins,group_draws,group_losses,group_goals_for,group_goals_against,group_goals_difference,group_points,group_last_5_form,group_notes,squad_avg_age,squad_median_age,squad_total_caps,squad_avg_caps,squad_injury_burden,squad_depth_DF,squad_depth_FW,squad_depth_GK,squad_depth_MF,squad_top_league_ratio,squad_avg_impact_score
Algeria,256900000.0,9880769.23076923,162,0.0,,0.0,58.0,40.0,,,,,,,,,,,,26.85683846153846,26.3491,350.0,13.461538461538462,791.0,9.0,8.0,3.0,6.0,0.4230769230769231,1.3975297131206867
Argentina,818500000.0,31480769.230769232,643,0.0,,0.0,82.0,58.0,,,,,,,,,,,,29.052276923076924,28.1807,638.0,24.53846153846154,1858.0,10.0,9.0,3.0,4.0,0.7692307692307693,0.9347913857477109
Australia,69850000.0,2686538.461538461,136,2.0,0.0769230769230769,1.0,28.0,18.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,L L L D W,,27.35921153846154,27.11605,0.0,0.0,813.0,11.0,4.0,3.0,8.0,0.19230769230769232,-0.7063185979328915
Austria,282200000.0,10853846.153846154,293,0.0,,0.0,56.0,40.0,,,,,,,,,,,,28.541753846153846,28.814500000000002,0.0,0.0,703.0,11.0,7.0,3.0,5.0,0.6538461538461539,1.0924349827802007
Belgium,547500000.0,21057692.307692308,236,0.0,,0.0,82.0,58.0,,,,,,,,,,,,27.61451153846154,25.757350000000002,370.0,14.23076923076923,1302.0,10.0,7.0,3.0,6.0,0.7692307692307693,1.2436431415013824
Bosnia and Herzegovina,152000000.0,5629629.62962963,132,1.0,0.04,1.0,38.0,20.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,D D D D D,,27.749042307692307,27.26005,0.0,13.423076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.020688371461995828
Brazil,951200000.0,35229629.62962963,538,1.0,0.04,1.0,60.0,44.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,29.118233333333336,28.7885,484.0,17.925925925925927,2580.0,10.0,7.0,3.0,7.0,0.5555555555555556,0.3961986555137423
Brazil,951200000.0,35229629.62962963,538,1.0,0.04,1.0,60.0,44.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,L W W W D,,29.118233333333336,28.7885,484.0,17.925925925925927,2580.0,10.0,7.0,3.0,7.0,0.5555555555555556,0.3961986555137423
Cabo Verde,100000000.0,4000000.0,114,0.0,,0.0,44.0,32.0,,,,,,,,,,,,27.749042307692307,27.26005,0.0,13.423076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.020688371461995828
Canada,201150000.0,7736538.461538462,116,1.0,0.04,1.0,8.0,6.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,D D W D D,,26.933373076923075,26.6215,156.0,6.0,1568.0,9.0,4.0,3.0,10.0,0.34615384615384615,-0.7341872391361155
Colombia,273850000.0,10532692.307692308,198,0.0,,0.0,56.0,50.0,,,,,,,,,,,,30.089323076923076,29.70225,580.0,22.307692307692307,427.0,9.0,9.0,3.0,5.0,0.3076923076923077,0.020688371461995828
Congo DR,144900000.0,5366666.666666667,154,0.0,,0.0,38.0,30.0,,,,,,,,,,,,28.97444814814815,29.0739,428.0,15.851851851851851,608.0,10.0,7.0,3.0,7.0,0.37037037037037035,-0.657204929771392
Croatia,387300000.0,14896153.846153846,221,0.0,,0.0,54.0,38.0,,,,,,,,,,,,28.328573076923078,28.26005,372.0,14.307692307692308,617.0,8.0,9.0,3.0,6.0,0.6538461538461539,0.3144808205257402
Curaçao,25775000.0,991346.153846154,131,0.0,,0.0,54.0,46.0,,,,,,,,,,,,28.02063846153846,27.099600000000002,354.0,13.615384615384615,427.0,11.0,9.0,3.0,3.0,0.0,0.6941168453702004
Czechia,188175000.0,7237500.0,193,1.0,0.0384615384615384,1.0,44.0,42.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,,,27.620796153846154,27.073900000000002,354.0,13.615384615384615,788.0,8.0,8.0,3.0,7.0,0.2692307692307692,0.576507054752048
Czechia,188175000.0,7237500.0,193,1.0,0.0384615384615384,1.0,44.0,42.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,D D W W L,,27.620796153846154,27.073900000000002,354.0,13.615384615384615,788.0,8.0,8.0,3.0,7.0,0.2692307692307692,0.576507054752048
Côte d'Ivoire,496000000.0,19840000.0,126,0.0,,0.0,44.0,32.0,,,,,,,,,,,,25.80037037037037,25.2984,316.0,11.703703703703704,620.0,10.0,8.0,3.0,6.0,0.48148148148148145,0.9744952109084701
Ecuador,367200000.0,14688000.0,127,0.0,,0.0,40.0,26.0,,,,,,,,,,,,26.077638461538463,25.68035,566.0,21.76923076923077,504.0,8.0,8.0,3.0,7.0,0.23076923076923078,-0.09222567287973067
Egypt,105600000.0,5557894.736842105,110,0.0,,0.0,46.0,32.0,,,,,,,,,,,,29.07866923076923,28.713549999999998,338.0,13.52,339.0,8.0,5.0,4.0,8.0,0.15384615384615385,-0.21672136500500225
England,1293200000.0,51728000.0,202,0.0,,0.0,46.0,28.0,,,,,,,,,,,,27.143988461538463,26.2091,330.0,12.692307692307692,891.0,10.0,9.0,3.0,4.0,0.9615384615384616,1.1493281507512905
France,1523000000.0,58576923.07692308,526,0.0,,0.0,40.0,34.0,,,,,,,,,,,,27.00076153846154,27.26005,274.0,10.538461538461538,1344.0,11.0,8.0,3.0,4.0,0.9230769230769231,0.6064701509019138
Germany,1007000000.0,37296296.2962963,602,0.0,,0.0,46.0,38.0,,,,,,,,,,,,27.68555185185185,27.0,270.0,10.384615384615385,2336.0,9.0,7.0,3.0,8.0,0.9629629629629629,1.8045052287754928
Ghana,218750000.0,9510869.56521739,136,0.0,,0.0,40.0,26.0,,,,,,,,,,,,26.975073076923078,26.936700000000002,292.0,11.23076923076923,274.0,10.0,9.0,3.0,4.0,0.46153846153846156,-1.18668722340725
Haiti,55900000.0,2150000.0,75,0.0,0.0,0.0,48.0,36.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,L D W L L,,27.57795,26.6903,432.0,16.615384615384617,410.0,8.0,7.0,3.0,8.0,0.15384615384615385,-0.45919431216786655
IR Iran,29600000.0,1286956.5217391304,114,0.0,,0.0,56.0,34.0,,,,,,,,,,,,30.347076923076923,31.3258,0.0,0.0,421.0,10.0,8.0,3.0,5.0,0.0,-0.19780275675900155
Iraq,19925000.0,830208.3333333334,67,0.0,,0.0,0.0,0.0,,,,,,,,,,,,27.06398148148148,25.9747,0.0,13.423076923076923,362.0,10.0,5.0,3.0,9.0,0.0,-2.9265791558114405
