Feature,VIF
#,3.181730943895921
league_tier,3.3414668766091866
Subs_unSub,1233.0880269746651
MP,5.376770994171847
Performance_CrdR,1.0400207776075925
GK_Performance_GA,inf
GK_Performance_GA90,inf
GK_Performance_CS,3.9760502712900796
Performance_Off_allcomps,1.8200156104901482
Playing Time_Starts,inf
Performance_Ast,7.700607947865405
Per 90 Minutes_Ast,341860.1039923801
Starts,inf
Starts_Mn/Start,7228.5069194451
Subs_Mn/Sub,255.6237286840346
Team Success_onGA,2.936216260324867
Team Success_On-Off,1.4641488696661926
GK_Performance_W,2.9837079062341014
GK_Performance_D,1.3062356555670884
GK_Performance_L,3.254335681038789
Per 90 Minutes_Ast_allcomps,1.5164346566180924
Subs_Mn/Sub_allcomps,1.2340430619015774
Performance_SoTA_allcomps,3.87657342108428
Performance_D_allcomps,1.9441844151536063
discipline_score,2.016512791149501
Performance_CrdY,1.1989934330290926
Per 90 Minutes_G+A,2514545.996601809
Per 90 Minutes_G-PK,2146193.8293626457
Standard_Sh,2.554418028906648
Standard_Sh/90,2.0787297697747222
Standard_G/Sh,4.9075954428962
Performance_OG,1.1234863550015104
GK_Performance_SoTA,1.5279489478634518
Per 90 Minutes_G+A-PK_allcomps,3.27071544877554
Standard_Sh_allcomps,2.5865115287310045
Standard_G/Sh_allcomps,1.5157761177820646
Starts_Compl_allcomps,2.203000543962612
Subs_unSub_allcomps,1.344402996472672
Team Success_On-Off_allcomps,2.5858499859964144
Performance_W_allcomps,2.390793668096616
Performance_L_allcomps,3.305244850986566
Penalty Kicks_PKm_allcomps,1.1424281527811606
total_matches_missed,1.2226447071908184
impact_score_raw,4.502367675426061
Age,1.5205320174808097
MarketValue_EUR,1.5903726134428302
Playing Time_Min,9578.680113806933
Playing Time_90s,415.93515012062505
Performance_Gls,239836.0584909921
Performance_G-PK,227448.28445455412
