,count,mean,std,min,25%,50%,75%,max
Edad,0.0,,,,,,,
Altura,8610.0,1.8323530778164925,0.06727209314003636,1.6,1.78,1.83,1.88,2.05
Dias_Baja,8611.0,30.163976309371733,45.63595336891515,1.0,8.0,15.0,33.0,792.0
Partidos_Perdidos,8046.0,5.047477007208551,7.230072063878813,1.0,1.0,3.0,6.0,83.0
prior_injuries,8611.0,6.489374056439438,6.16889445014818,0.0,2.0,5.0,10.0,29.0
prior_days_out,8611.0,175.06062013703402,211.2788548646681,0.0,32.5,111.0,248.0,2081.0
days_since_last_injury,7589.0,197.92805376202398,324.65102969235284,-349.0,15.0,87.0,249.0,4170.0
will_be_injured_next_6months,8611.0,0.49866449889675996,0.5000272514916551,0.0,0.0,0.0,1.0,1.0
#,8496.0,12.525070621468927,7.20514710370757,1.0,6.0,12.0,19.0,26.0
Age,8611.0,28.976674416444084,4.068900120890567,17.6571,26.1807,28.6324,31.7584,43.4435
MarketValue_EUR,8597.0,21174345.701989066,28717993.198856022,50000.0,2800000.0,10000000.0,28000000.0,200000000.0
MP,2545.0,0.5383104125736738,0.4986281237630065,0.0,0.0,1.0,1.0,1.0
Playing Time_Starts,2545.0,0.46954813359528486,0.49916990069679557,0.0,0.0,0.0,1.0,1.0
Playing Time_Min,2545.0,41.929666011787816,39.13860434312542,0.0,0.0,30.0,90.0,90.0
Playing Time_90s,1644.0,0.7214720194647202,0.33179278205059504,0.0,0.5,0.9,1.0,1.0
Performance_Gls,2545.0,0.06051080550098232,0.2513183290116122,0.0,0.0,0.0,0.0,2.0
Performance_Ast,2545.0,0.032220039292730845,0.17661870059581936,0.0,0.0,0.0,0.0,1.0
Performance_G+A,2545.0,0.09273084479371316,0.3007560707344111,0.0,0.0,0.0,0.0,2.0
Performance_G-PK,2545.0,0.054616895874263265,0.24071455102683853,0.0,0.0,0.0,0.0,2.0
Performance_PK,2545.0,0.005893909626719057,0.07656026769457575,0.0,0.0,0.0,0.0,1.0
Performance_PKatt,2545.0,0.005893909626719057,0.07656026769457575,0.0,0.0,0.0,0.0,1.0
Performance_CrdY,2545.0,0.060117878192534384,0.23775182332738518,0.0,0.0,0.0,0.0,1.0
Performance_CrdR,2545.0,0.006286836935166994,0.07905547622500589,0.0,0.0,0.0,0.0,1.0
Per 90 Minutes_Gls,1644.0,0.21875912408759124,1.0950138940894856,0.0,0.0,0.0,0.0,10.0
Per 90 Minutes_Ast,1644.0,0.06639294403892944,0.30632896975372387,0.0,0.0,0.0,0.0,3.0
Per 90 Minutes_G+A,1644.0,0.28515206812652066,1.1242006322105271,0.0,0.0,0.0,0.0,10.0
Per 90 Minutes_G-PK,1644.0,0.20963503649635035,1.092628423663944,0.0,0.0,0.0,0.0,10.0
Per 90 Minutes_G+A-PK,1644.0,0.27602798053527977,1.1224173880008848,0.0,0.0,0.0,0.0,10.0
90s,1644.0,0.7214720194647202,0.33179278205059504,0.0,0.5,0.9,1.0,1.0
Standard_Gls,1644.0,0.09367396593673966,0.3077159581863531,0.0,0.0,0.0,0.0,2.0
Standard_Sh,1644.0,1.031021897810219,1.4573293433885999,0.0,0.0,0.0,2.0,8.0
Standard_SoT,1644.0,0.33698296836982966,0.6257370264308881,0.0,0.0,0.0,1.0,3.0
Standard_SoT%,795.0,35.01207547169811,38.151806413179905,0.0,0.0,33.3,50.0,100.0
Standard_Sh/90,1644.0,1.8386374695863748,3.744379902858081,0.0,0.0,0.0,2.0,45.0
Standard_SoT/90,1644.0,0.6223175182481753,1.5649192205745315,0.0,0.0,0.0,1.0,10.0
Standard_G/Sh,1644.0,0.05663625304136253,0.2131066022137082,0.0,0.0,0.0,0.0,1.0
Standard_G/SoT,1644.0,0.07138686131386861,0.2488112185837387,0.0,0.0,0.0,0.0,1.0
Standard_PK,1644.0,0.009124087591240875,0.09511225608477511,0.0,0.0,0.0,0.0,1.0
Standard_PKatt,1644.0,0.009124087591240875,0.09511225608477511,0.0,0.0,0.0,0.0,1.0
Performance_2CrdY,1644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performance_Fls,1644.0,0.8613138686131386,1.0444705759180044,0.0,0.0,1.0,1.0,5.0
Performance_Fld,1644.0,0.9276155717761557,1.2192377244627528,0.0,0.0,1.0,1.0,6.0
Performance_Off,1644.0,0.072992700729927,0.3190453615620699,0.0,0.0,0.0,0.0,2.0
Performance_Crs,1644.0,1.278588807785888,2.0505490151574124,0.0,0.0,0.0,2.0,11.0
Performance_Int,1644.0,0.4057177615571776,0.6721963949100777,0.0,0.0,0.0,1.0,3.0
Performance_TklW,1644.0,0.597323600973236,1.024777702196541,0.0,0.0,0.0,1.0,6.0
Performance_PKwon,1644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performance_PKcon,1644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performance_OG,1644.0,0.0030413625304136255,0.055081377231146034,0.0,0.0,0.0,0.0,1.0
Playing Time_Mn/MP,2545.0,41.929666011787816,39.13860434312542,0.0,0.0,30.0,90.0,90.0
Playing Time_Min%,1644.0,72.12177615571775,32.9508161891495,1.1,50.0,87.8,100.0,100.0
Starts,2545.0,0.46954813359528486,0.49916990069679557,0.0,0.0,0.0,1.0,1.0
Starts_Mn/Start,2545.0,38.10923379174853,41.50337010358493,0.0,0.0,0.0,90.0,90.0
Starts_Compl,2545.0,0.2636542239685658,0.4407005642272061,0.0,0.0,0.0,1.0,1.0
Subs,2545.0,0.17642436149312377,0.38125571533482194,0.0,0.0,0.0,0.0,1.0
Subs_Mn/Sub,2545.0,3.820432220039293,10.030083239019797,0.0,0.0,0.0,0.0,45.0
Subs_unSub,2545.0,0.35402750491159135,0.4783115358673794,0.0,0.0,0.0,1.0,1.0
Team Success_PPM,1644.0,1.232360097323601,1.1216994439771355,0.0,0.0,1.0,3.0,3.0
Team Success_onG,2545.0,0.5571709233791748,0.8614589311364302,0.0,0.0,0.0,1.0,4.0
Team Success_onGA,2545.0,0.5453831041257368,0.7863338054329208,0.0,0.0,0.0,1.0,4.0
Team Success_+/-,1644.0,0.01824817518248175,1.3220017823608032,-3.0,-1.0,0.0,1.0,3.0
Team Success_+/-90,1644.0,-0.5026824817518248,5.019082591571867,-45.0,-1.0,0.0,1.0,10.0
Team Success_On-Off,973.0,0.194840698869476,9.866839509888537,-46.02,-2.17,0.0,2.25,46.02
GK_Playing Time_Starts,88.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
GK_Playing Time_Min,88.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0
GK_Playing Time_90s,88.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
GK_Performance_GA,88.0,1.1931818181818181,0.4996079968037136,0.0,1.0,1.0,1.0,2.0
GK_Performance_GA90,88.0,1.1931818181818181,0.4996079968037136,0.0,1.0,1.0,1.0,2.0
GK_Performance_SoTA,88.0,3.590909090909091,1.120717787606066,1.0,3.0,3.5,4.0,8.0
GK_Performance_Saves,88.0,2.397727272727273,1.160061162946327,0.0,2.0,2.0,3.0,8.0
GK_Performance_Save%,88.0,64.65454545454546,15.710863867692778,0.0,50.0,66.7,75.0,100.0
GK_Performance_W,88.0,0.06818181818181818,0.2535021161332042,0.0,0.0,0.0,0.0,1.0
GK_Performance_D,88.0,0.6704545454545454,0.4727418412673544,0.0,0.0,1.0,1.0,1.0
GK_Performance_L,88.0,0.26136363636363635,0.44189555591864443,0.0,0.0,0.0,1.0,1.0
GK_Performance_CS,88.0,0.045454545454545456,0.20949259494173822,0.0,0.0,0.0,0.0,1.0
GK_Performance_CS%,88.0,4.545454545454546,20.94925949417382,0.0,0.0,0.0,0.0,100.0
GK_Penalty Kicks_PKatt,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GK_Penalty Kicks_PKA,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GK_Penalty Kicks_PKsv,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GK_Penalty Kicks_PKm,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GK_Penalty Kicks_Save%,0.0,,,,,,,
MP_allcomps,8504.0,13.32925682031985,9.671969444341286,0.0,6.0,12.0,20.0,44.0
Playing Time_Starts_allcomps,8504.0,11.276105362182502,8.750354604528763,0.0,4.0,10.0,16.0,42.0
Playing Time_90s_allcomps,8400.0,3.579696428571429,2.478773912237564,0.0,1.6666666666666667,3.0666666666666664,4.833333333333333,13.333333333333334
Performance_Gls_allcomps,8504.0,2.3029162746942617,3.908931679474031,0.0,0.0,0.0,4.0,32.0
Performance_Ast_allcomps,8504.0,1.6055973659454374,2.5512545210839717,0.0,0.0,0.0,2.0,22.0
Performance_G+A_allcomps,8504.0,3.9085136406396987,5.463668973872125,0.0,0.0,2.0,6.0,38.0
Performance_G-PK_allcomps,8504.0,2.0552681091251177,3.486268218739348,0.0,0.0,0.0,2.0,32.0
Performance_PK_allcomps,8504.0,0.24764816556914393,0.9370679349073199,0.0,0.0,0.0,0.0,10.0
Performance_PKatt_allcomps,8504.0,0.3017403574788335,1.0686059355546753,0.0,0.0,0.0,0.0,10.0
Performance_CrdY_allcomps,8504.0,1.3640639698965193,1.9389984923617667,0.0,0.0,0.0,2.0,12.0
Performance_CrdR_allcomps,8504.0,0.06396989651928504,0.3559280036355986,0.0,0.0,0.0,0.0,4.0
