column,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percentage
Altura,1.78,1.88,0.09999999999999987,1.6300000000000003,2.03,3,0.03484320557491289
Dias_Baja,8.0,33.0,25.0,-29.5,70.5,819,9.511090465683427
Partidos_Perdidos,1.0,6.0,5.0,-6.5,13.5,646,8.028834203330849
prior_injuries,2.0,10.0,8.0,-10.0,22.0,301,3.495528974567414
prior_days_out,32.5,248.0,215.5,-290.75,571.25,386,4.48263848565788
days_since_last_injury,15.0,249.0,234.0,-336.0,600.0,639,8.420081697193305
will_be_injured_next_6months,0.0,1.0,1.0,-1.5,2.5,0,0.0
#,6.0,19.0,13.0,-13.5,38.5,0,0.0
Age,26.1807,31.7584,5.5777,17.81415,40.12495,102,1.184531413308559
MarketValue_EUR,2800000.0,28000000.0,25200000.0,-35000000.0,65800000.0,679,7.898103989763872
MP,0.0,1.0,1.0,-1.5,2.5,0,0.0
Playing Time_Starts,0.0,1.0,1.0,-1.5,2.5,0,0.0
Playing Time_Min,0.0,90.0,90.0,-135.0,225.0,0,0.0
Playing Time_90s,0.5,1.0,0.5,-0.25,1.75,0,0.0
Performance_Gls,0.0,0.0,0.0,0.0,0.0,146,5.736738703339882
Performance_Ast,0.0,0.0,0.0,0.0,0.0,82,3.2220039292730847
Performance_G+A,0.0,0.0,0.0,0.0,0.0,228,8.958742632612966
Performance_G-PK,0.0,0.0,0.0,0.0,0.0,131,5.147347740667977
Performance_PK,0.0,0.0,0.0,0.0,0.0,15,0.5893909626719057
Performance_PKatt,0.0,0.0,0.0,0.0,0.0,15,0.5893909626719057
Performance_CrdY,0.0,0.0,0.0,0.0,0.0,153,6.011787819253438
Performance_CrdR,0.0,0.0,0.0,0.0,0.0,16,0.6286836935166994
Per 90 Minutes_Gls,0.0,0.0,0.0,0.0,0.0,146,8.880778588807786
Per 90 Minutes_Ast,0.0,0.0,0.0,0.0,0.0,82,4.987834549878346
Per 90 Minutes_G+A,0.0,0.0,0.0,0.0,0.0,228,13.86861313868613
Per 90 Minutes_G-PK,0.0,0.0,0.0,0.0,0.0,131,7.968369829683699
Per 90 Minutes_G+A-PK,0.0,0.0,0.0,0.0,0.0,213,12.956204379562045
90s,0.5,1.0,0.5,-0.25,1.75,0,0.0
Standard_Gls,0.0,0.0,0.0,0.0,0.0,146,8.880778588807786
Standard_Sh,0.0,2.0,2.0,-3.0,5.0,31,1.8856447688564477
Standard_SoT,0.0,1.0,1.0,-1.5,2.5,18,1.094890510948905
Standard_SoT%,0.0,50.0,50.0,-75.0,125.0,0,0.0
Standard_Sh/90,0.0,2.0,2.0,-3.0,5.0,161,9.793187347931873
Standard_SoT/90,0.0,1.0,1.0,-1.5,2.5,103,6.265206812652069
Standard_G/Sh,0.0,0.0,0.0,0.0,0.0,131,7.968369829683699
Standard_G/SoT,0.0,0.0,0.0,0.0,0.0,131,7.968369829683699
Standard_PK,0.0,0.0,0.0,0.0,0.0,15,0.9124087591240875
Standard_PKatt,0.0,0.0,0.0,0.0,0.0,15,0.9124087591240875
Performance_2CrdY,0.0,0.0,0.0,0.0,0.0,0,0.0
Performance_Fls,0.0,1.0,1.0,-1.5,2.5,155,9.428223844282238
Performance_Fld,0.0,1.0,1.0,-1.5,2.5,172,10.46228710462287
Performance_Off,0.0,0.0,0.0,0.0,0.0,92,5.59610705596107
Performance_Crs,0.0,2.0,2.0,-3.0,5.0,88,5.35279805352798
Performance_Int,0.0,1.0,1.0,-1.5,2.5,24,1.4598540145985401
Performance_TklW,0.0,1.0,1.0,-1.5,2.5,89,5.413625304136254
Performance_PKwon,0.0,0.0,0.0,0.0,0.0,0,0.0
Performance_PKcon,0.0,0.0,0.0,0.0,0.0,0,0.0
Performance_OG,0.0,0.0,0.0,0.0,0.0,5,0.30413625304136255
Playing Time_Mn/MP,0.0,90.0,90.0,-135.0,225.0,0,0.0
Playing Time_Min%,50.0,100.0,50.0,-25.0,175.0,0,0.0
Starts,0.0,1.0,1.0,-1.5,2.5,0,0.0
Starts_Mn/Start,0.0,90.0,90.0,-135.0,225.0,0,0.0
Starts_Compl,0.0,1.0,1.0,-1.5,2.5,0,0.0
Subs,0.0,0.0,0.0,0.0,0.0,449,17.642436149312378
Subs_Mn/Sub,0.0,0.0,0.0,0.0,0.0,449,17.642436149312378
Subs_unSub,0.0,1.0,1.0,-1.5,2.5,0,0.0
Team Success_PPM,0.0,3.0,3.0,-4.5,7.5,0,0.0
Team Success_onG,0.0,1.0,1.0,-1.5,2.5,120,4.715127701375246
