,count,mean,std,min,25%,50%,75%,max
GF,695.0,1.9784172661870503,1.7863863427869364,0.0,1.0,2.0,3.0,11.0
GA,695.0,0.7741007194244605,1.030887402727974,0.0,0.0,0.0,1.0,6.0
Poss,342.0,57.111111111111114,14.848776105827396,22.0,46.0,60.0,69.0,84.0
Attendance,456.0,33222.120614035084,21029.215650820574,140.0,14679.0,32059.0,47741.0,84500.0
Country_FIFA_Rank,825.0,34.90060606060606,25.0059665136689,1.0,14.0,28.0,56.0,103.0
Country_FIFA_Points,825.0,1552.5844242424241,160.68203462250096,1199.04,1433.16,1528.18,1676.14,1901.48
Opponent_FIFA_Rank,825.0,68.9539393939394,51.525682276882705,1.0,26.0,57.0,104.0,210.0
Opponent_FIFA_Points,825.0,1390.9003030303031,245.259463933231,746.05,1201.3,1417.23,1538.52,1901.48
h2h_matches,825.0,0.3054545454545455,0.8540490755673783,0.0,0.0,0.0,0.0,7.0
h2h_wins,825.0,0.13696969696969696,0.4481927358286209,0.0,0.0,0.0,0.0,4.0
h2h_losses,825.0,0.11515151515151516,0.4210202098045204,0.0,0.0,0.0,0.0,4.0
h2h_draws,825.0,0.05333333333333334,0.24547688216281263,0.0,0.0,0.0,0.0,2.0
h2h_goals_for,825.0,0.49818181818181817,1.5681319945524113,0.0,0.0,0.0,0.0,12.0
h2h_goals_against,825.0,0.4012121212121212,1.3054212893052362,0.0,0.0,0.0,0.0,11.0
Stadium,0.0,,,,,,,
ID,0.0,,,,,,,
City,0.0,,,,,,,
Capacity,0.0,,,,,,,
Roof_Type,0.0,,,,,,,
Surface,0.0,,,,,,,
Latitude,0.0,,,,,,,
Longitude,0.0,,,,,,,
Elevation_m,0.0,,,,,,,
ranking_diff,825.0,-34.053333333333335,52.89722189437168,-197.0,-69.0,-31.0,6.0,99.0
is_higher_ranked,825.0,0.72,0.44927125458254585,0.0,0.0,1.0,1.0,1.0
days_since_last_match,777.0,42.59202059202059,69.9143775913006,2.0,5.0,6.0,61.0,435.0
form_last_5,776.0,8.672680412371134,3.5528926560584253,0.0,6.0,9.0,11.25,15.0
form_last_10,776.0,14.775773195876289,6.791359266871346,0.0,10.0,15.0,20.0,28.0
goals_scored_last_5,776.0,2.0749999999999997,1.1595117004638398,0.0,1.2,2.0,2.6,9.0
goals_conceded_last_5,776.0,0.7503221649484536,0.614719888434654,0.0,0.3333333333333333,0.6,1.0,5.0
win_rate_home,746.0,0.7431859286081807,0.24152603399082503,0.0,0.6,0.75,1.0,1.0
win_rate_away,705.0,0.5776211967701329,0.33285340531131,0.0,0.3333333333333333,0.6,1.0,1.0
win_rate_neutral,338.0,0.579226542688081,0.40798002977020476,0.0,0.0,0.6666666666666666,1.0,1.0
