column,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percentage
GF,1.0,3.0,2.0,-2.0,6.0,18,2.5899280575539567
GA,0.0,1.0,1.0,-1.5,2.5,39,5.611510791366906
Poss,46.0,69.0,23.0,11.5,103.5,0,0.0
Attendance,14679.0,47741.0,33062.0,-34914.0,97334.0,0,0.0
Country_FIFA_Rank,14.0,56.0,42.0,-49.0,119.0,0,0.0
Country_FIFA_Points,1433.16,1676.14,242.98000000000002,1068.69,2040.6100000000001,0,0.0
Opponent_FIFA_Rank,26.0,104.0,78.0,-91.0,221.0,0,0.0
Opponent_FIFA_Points,1201.3,1538.52,337.22,695.4699999999999,2044.35,0,0.0
h2h_matches,0.0,0.0,0.0,0.0,0.0,135,16.363636363636363
h2h_wins,0.0,0.0,0.0,0.0,0.0,87,10.545454545454545
h2h_losses,0.0,0.0,0.0,0.0,0.0,72,8.727272727272728
h2h_draws,0.0,0.0,0.0,0.0,0.0,40,4.848484848484849
h2h_goals_for,0.0,0.0,0.0,0.0,0.0,115,13.939393939393941
h2h_goals_against,0.0,0.0,0.0,0.0,0.0,110,13.333333333333334
ranking_diff,-69.0,6.0,75.0,-181.5,118.5,7,0.8484848484848486
is_higher_ranked,0.0,1.0,1.0,-1.5,2.5,0,0.0
days_since_last_match,5.0,61.0,56.0,-79.0,145.0,64,8.236808236808237
form_last_5,6.0,11.25,5.25,-1.875,19.125,0,0.0
form_last_10,10.0,20.0,10.0,-5.0,35.0,0,0.0
goals_scored_last_5,1.2,2.6,1.4000000000000001,-0.9000000000000001,4.7,28,3.608247422680412
goals_conceded_last_5,0.3333333333333333,1.0,0.6666666666666667,-0.6666666666666667,2.0,24,3.0927835051546393
win_rate_home,0.6,1.0,0.4,-1.1102230246251565e-16,1.6,0,0.0
win_rate_away,0.3333333333333333,1.0,0.6666666666666667,-0.6666666666666667,2.0,0,0.0
win_rate_neutral,0.0,1.0,1.0,-1.5,2.5,0,0.0
