,count,mean,std,min,25%,50%,75%,max
#,1244.0,13.491157556270096,7.4968967960946635,1.0,7.0,13.0,20.0,26.0
Age,1257.0,27.921006841686555,4.270231086062758,17.6571,24.9446,27.6516,30.6324,43.4435
MarketValue_EUR,1173.0,14640217.391304348,23448944.65048421,25000.0,1300000.0,5000000.0,18000000.0,200000000.0
MP,410.0,0.4975609756097561,0.5006049176336046,0.0,0.0,0.0,1.0,1.0
Playing Time_Starts,410.0,0.4292682926829268,0.4955764727188745,0.0,0.0,0.0,1.0,1.0
Playing Time_Min,410.0,38.514634146341464,39.04966470324049,0.0,0.0,25.0,88.0,90.0
Playing Time_90s,251.0,0.6992031872509961,0.34444065170911636,0.0,0.3,0.9,1.0,1.0
Performance_Gls,410.0,0.04390243902439024,0.2167201393974323,0.0,0.0,0.0,0.0,2.0
Performance_Ast,410.0,0.036585365853658534,0.18797088881537447,0.0,0.0,0.0,0.0,1.0
Performance_G+A,410.0,0.08048780487804878,0.28977650286264856,0.0,0.0,0.0,0.0,2.0
Performance_G-PK,410.0,0.041463414634146344,0.2114978711807382,0.0,0.0,0.0,0.0,2.0
Performance_PK,410.0,0.0024390243902439024,0.04938647983247948,0.0,0.0,0.0,0.0,1.0
Performance_PKatt,410.0,0.0024390243902439024,0.04938647983247948,0.0,0.0,0.0,0.0,1.0
Performance_CrdY,410.0,0.06097560975609756,0.23957791815141102,0.0,0.0,0.0,0.0,1.0
Performance_CrdR,410.0,0.007317073170731708,0.08533049198163792,0.0,0.0,0.0,0.0,1.0
Per 90 Minutes_Gls,251.0,0.15203187250996014,0.8318602376481758,0.0,0.0,0.0,0.0,10.0
Per 90 Minutes_Ast,251.0,0.07609561752988048,0.3286674532422052,0.0,0.0,0.0,0.0,3.0
Per 90 Minutes_G+A,251.0,0.22816733067729084,0.8867183475537461,0.0,0.0,0.0,0.0,10.0
Per 90 Minutes_G-PK,251.0,0.14804780876494023,0.8301757486852885,0.0,0.0,0.0,0.0,10.0
Per 90 Minutes_G+A-PK,251.0,0.22418326693227092,0.8854822585906984,0.0,0.0,0.0,0.0,10.0
90s,251.0,0.6992031872509961,0.34444065170911636,0.0,0.3,0.9,1.0,1.0
Standard_Gls,251.0,0.07171314741035857,0.2735628874435532,0.0,0.0,0.0,0.0,2.0
Standard_Sh,251.0,0.8326693227091634,1.3250994099369071,0.0,0.0,0.0,1.0,8.0
Standard_SoT,251.0,0.2589641434262948,0.5662767192011017,0.0,0.0,0.0,0.0,3.0
Standard_SoT%,107.0,32.794392523364486,40.15342235414227,0.0,0.0,0.0,50.0,100.0
Standard_Sh/90,251.0,1.57996015936255,3.7769921893494,0.0,0.0,0.0,2.0,45.0
Standard_SoT/90,251.0,0.4591633466135458,1.2968144420892125,0.0,0.0,0.0,0.0,10.0
Standard_G/Sh,251.0,0.041195219123505974,0.17791280374681243,0.0,0.0,0.0,0.0,1.0
Standard_G/SoT,251.0,0.05247011952191235,0.20983677967312034,0.0,0.0,0.0,0.0,1.0
Standard_PK,251.0,0.00398406374501992,0.06311944030978031,0.0,0.0,0.0,0.0,1.0
Standard_PKatt,251.0,0.00398406374501992,0.06311944030978031,0.0,0.0,0.0,0.0,1.0
Performance_2CrdY,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performance_Fls,251.0,0.8804780876494024,1.0476914481458404,0.0,0.0,1.0,1.0,5.0
Performance_Fld,251.0,0.8685258964143426,1.146579878737933,0.0,0.0,0.0,1.0,6.0
Performance_Off,251.0,0.0796812749003984,0.31245079293861316,0.0,0.0,0.0,0.0,2.0
Performance_Crs,251.0,1.0119521912350598,1.7331637469394459,0.0,0.0,0.0,1.0,11.0
Performance_Int,251.0,0.4581673306772908,0.7491615499266138,0.0,0.0,0.0,1.0,3.0
Performance_TklW,251.0,0.5737051792828686,0.9744464155268199,0.0,0.0,0.0,1.0,6.0
Performance_PKwon,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performance_PKcon,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performance_OG,251.0,0.00398406374501992,0.06311944030978031,0.0,0.0,0.0,0.0,1.0
Playing Time_Mn/MP,410.0,38.514634146341464,39.04966470324049,0.0,0.0,25.0,88.0,90.0
Playing Time_Min%,251.0,69.90278884462151,34.3130382244306,1.1,33.3,86.7,100.0,100.0
Starts,410.0,0.4292682926829268,0.4955764727188745,0.0,0.0,0.0,1.0,1.0
Starts_Mn/Start,410.0,34.94634146341463,41.16176031530668,0.0,0.0,0.0,88.0,90.0
Starts_Compl,410.0,0.24146341463414633,0.4284934715225613,0.0,0.0,0.0,0.0,1.0
Subs,410.0,0.18292682926829268,0.3870788595786512,0.0,0.0,0.0,0.0,1.0
Subs_Mn/Sub,410.0,3.5682926829268293,8.977367332203007,0.0,0.0,0.0,0.0,45.0
Subs_unSub,410.0,0.3878048780487805,0.48784498016329225,0.0,0.0,0.0,1.0,1.0
Team Success_PPM,251.0,1.3266932270916334,1.2086540536952435,0.0,0.0,1.0,3.0,3.0
Team Success_onG,410.0,0.5097560975609756,0.8010704568241608,0.0,0.0,0.0,1.0,4.0
Team Success_onGA,410.0,0.5073170731707317,0.7980386237144591,0.0,0.0,0.0,1.0,4.0
Team Success_+/-,251.0,0.00398406374501992,1.3160486555386242,-3.0,-1.0,0.0,1.0,3.0
Team Success_+/-90,251.0,-0.27167330677290835,5.0428969837628665,-45.0,-1.115,0.0,1.185,30.0
Team Success_On-Off,152.0,0.008618421052631615,9.191261978319163,-46.02,-2.4,0.0,2.3775,46.02
GK_Playing Time_Starts,16.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
