column,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percentage
#,7.0,20.0,13.0,-12.5,39.5,0,0.0
Age,24.9446,30.6324,5.687799999999999,16.4129,39.1641,11,0.8750994431185362
MarketValue_EUR,1300000.0,18000000.0,16700000.0,-23750000.0,43050000.0,103,8.780903665814153
MP,0.0,1.0,1.0,-1.5,2.5,0,0.0
Playing Time_Starts,0.0,1.0,1.0,-1.5,2.5,0,0.0
Playing Time_Min,0.0,88.0,88.0,-132.0,220.0,0,0.0
Playing Time_90s,0.3,1.0,0.7,-0.7499999999999998,2.05,0,0.0
Performance_Gls,0.0,0.0,0.0,0.0,0.0,17,4.146341463414634
Performance_Ast,0.0,0.0,0.0,0.0,0.0,15,3.6585365853658534
Performance_G+A,0.0,0.0,0.0,0.0,0.0,31,7.560975609756097
Performance_G-PK,0.0,0.0,0.0,0.0,0.0,16,3.902439024390244
Performance_PK,0.0,0.0,0.0,0.0,0.0,1,0.24390243902439024
Performance_PKatt,0.0,0.0,0.0,0.0,0.0,1,0.24390243902439024
Performance_CrdY,0.0,0.0,0.0,0.0,0.0,25,6.097560975609756
Performance_CrdR,0.0,0.0,0.0,0.0,0.0,3,0.7317073170731708
Per 90 Minutes_Gls,0.0,0.0,0.0,0.0,0.0,17,6.772908366533864
Per 90 Minutes_Ast,0.0,0.0,0.0,0.0,0.0,15,5.9760956175298805
Per 90 Minutes_G+A,0.0,0.0,0.0,0.0,0.0,31,12.350597609561753
Per 90 Minutes_G-PK,0.0,0.0,0.0,0.0,0.0,16,6.374501992031872
Per 90 Minutes_G+A-PK,0.0,0.0,0.0,0.0,0.0,30,11.952191235059761
90s,0.3,1.0,0.7,-0.7499999999999998,2.05,0,0.0
Standard_Gls,0.0,0.0,0.0,0.0,0.0,17,6.772908366533864
Standard_Sh,0.0,1.0,1.0,-1.5,2.5,25,9.9601593625498
Standard_SoT,0.0,0.0,0.0,0.0,0.0,51,20.318725099601593
Standard_SoT%,0.0,50.0,50.0,-75.0,125.0,0,0.0
Standard_Sh/90,0.0,2.0,2.0,-3.0,5.0,20,7.968127490039841
Standard_SoT/90,0.0,0.0,0.0,0.0,0.0,51,20.318725099601593
Standard_G/Sh,0.0,0.0,0.0,0.0,0.0,16,6.374501992031872
Standard_G/SoT,0.0,0.0,0.0,0.0,0.0,16,6.374501992031872
Standard_PK,0.0,0.0,0.0,0.0,0.0,1,0.398406374501992
Standard_PKatt,0.0,0.0,0.0,0.0,0.0,1,0.398406374501992
Performance_2CrdY,0.0,0.0,0.0,0.0,0.0,0,0.0
Performance_Fls,0.0,1.0,1.0,-1.5,2.5,22,8.764940239043826
Performance_Fld,0.0,1.0,1.0,-1.5,2.5,22,8.764940239043826
Performance_Off,0.0,0.0,0.0,0.0,0.0,17,6.772908366533864
Performance_Crs,0.0,1.0,1.0,-1.5,2.5,36,14.342629482071715
Performance_Int,0.0,1.0,1.0,-1.5,2.5,6,2.3904382470119523
Performance_TklW,0.0,1.0,1.0,-1.5,2.5,13,5.179282868525896
Performance_PKwon,0.0,0.0,0.0,0.0,0.0,0,0.0
Performance_PKcon,0.0,0.0,0.0,0.0,0.0,0,0.0
Performance_OG,0.0,0.0,0.0,0.0,0.0,1,0.398406374501992
Playing Time_Mn/MP,0.0,88.0,88.0,-132.0,220.0,0,0.0
Playing Time_Min%,33.3,100.0,66.7,-66.75000000000001,200.05,0,0.0
Starts,0.0,1.0,1.0,-1.5,2.5,0,0.0
Starts_Mn/Start,0.0,88.0,88.0,-132.0,220.0,0,0.0
Starts_Compl,0.0,0.0,0.0,0.0,0.0,99,24.146341463414632
Subs,0.0,0.0,0.0,0.0,0.0,75,18.29268292682927
Subs_Mn/Sub,0.0,0.0,0.0,0.0,0.0,75,18.29268292682927
Subs_unSub,0.0,1.0,1.0,-1.5,2.5,0,0.0
Team Success_PPM,0.0,3.0,3.0,-4.5,7.5,0,0.0
