,count,mean,std,min,25%,50%,75%,max
squad_total_market_value,52.0,361779326.9230769,372110474.3758557,7275000.0,69737500.0,237825000.0,482575000.0,1523000000.0
squad_avg_market_value,52.0,14228656.105469218,14241465.796998886,404166.6666666667,3451187.5,9940384.615384616,18591346.153846156,58576923.07692308
squad_total_injuries,52.0,194.67307692307693,142.8230388887092,33.0,113.0,162.0,228.0,643.0
squad_total_wc_goals,52.0,0.40384615384615385,0.6933752452815364,0.0,0.0,0.0,1.0,3.0
squad_avg_wc_goals,20.0,0.040852564102564076,0.029179651867646775,0.0,0.0384615384615384,0.0384615384615384,0.04041666666666665,0.1153846153846153
squad_total_wc_assists,52.0,0.34615384615384615,0.6533357958521635,0.0,0.0,0.0,1.0,3.0
squad_total_allcomps_goals,52.0,46.61538461538461,16.726348647115326,0.0,41.5,46.0,54.5,82.0
squad_total_allcomps_assists,52.0,34.11538461538461,13.532319839603531,0.0,26.0,34.0,42.0,66.0
group_rank,20.0,2.5,1.1470786693528088,1.0,1.75,2.5,3.25,4.0
group_matches_played,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
group_wins,20.0,0.25,0.4442616583193193,0.0,0.0,0.0,0.25,1.0
group_draws,20.0,0.4,0.5026246899500346,0.0,0.0,0.0,1.0,1.0
group_losses,20.0,0.35,0.4893604849295929,0.0,0.0,0.0,1.0,1.0
group_goals_for,20.0,1.1,0.9119095061289915,0.0,1.0,1.0,1.0,4.0
group_goals_against,20.0,1.25,0.910465468000326,0.0,1.0,1.0,2.0,4.0
group_goals_difference,20.0,-0.15,1.4964871146156007,-3.0,-1.0,0.0,0.25,3.0
group_points,20.0,1.15,1.1821033884786183,0.0,0.0,1.0,1.5,3.0
group_notes,0.0,,,,,,,
squad_avg_age,52.0,27.966999969866315,1.0495588879790818,25.80037037037037,27.129801923076926,27.749042307692307,28.59181057692308,30.43562307692308
squad_median_age,52.0,27.682085576923075,1.3184227516960774,25.2984,26.9216375,27.26005,28.7885,31.3258
squad_total_caps,52.0,299.34615384615387,182.77886399190675,0.0,222.0,343.0,420.5,638.0
squad_avg_caps,52.0,12.497720797720795,6.145304619985873,0.0,10.5,13.423076923076923,15.908119658119658,24.53846153846154
squad_injury_burden,52.0,793.3461538461538,574.2907948450337,0.0,427.0,685.5,992.25,2580.0
squad_depth_DF,52.0,9.038461538461538,2.5124126242657945,0.0,8.0,10.0,10.0,12.0
squad_depth_FW,52.0,6.653846153846154,2.440544903673698,0.0,5.75,7.0,8.0,11.0
squad_depth_GK,52.0,2.8461538461538463,0.724490771389156,0.0,3.0,3.0,3.0,4.0
squad_depth_MF,52.0,6.096153846153846,2.4030994315317153,0.0,5.0,7.0,8.0,10.0
squad_top_league_ratio,52.0,0.37269888231426695,0.31195975740564674,0.0,0.0384615384615384,0.32692307692307687,0.625,1.0
squad_avg_impact_score,52.0,-0.0028316614060030563,0.8872915586553717,-2.9265791558114405,-0.6694833468117669,0.0206883714619958,0.6059505354025507,1.8045052287754928
