column,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percentage
squad_total_market_value,69737500.0,482575000.0,412837500.0,-549518750.0,1101831250.0,3,5.769230769230769
squad_avg_market_value,3451187.5,18591346.153846156,15140158.653846156,-19259050.480769232,41301584.13461539,3,5.769230769230769
squad_total_injuries,113.0,228.0,115.0,-59.5,400.5,5,9.615384615384617
squad_total_wc_goals,0.0,1.0,1.0,-1.5,2.5,1,1.9230769230769231
squad_avg_wc_goals,0.0384615384615384,0.04041666666666665,0.001955128205128248,0.03552884615384603,0.04334935897435902,8,40.0
squad_total_wc_assists,0.0,1.0,1.0,-1.5,2.5,1,1.9230769230769231
squad_total_allcomps_goals,41.5,54.5,13.0,22.0,74.0,8,15.384615384615385
squad_total_allcomps_assists,26.0,42.0,16.0,2.0,66.0,1,1.9230769230769231
group_rank,1.75,3.25,1.5,-0.5,5.5,0,0.0
group_matches_played,1.0,1.0,0.0,1.0,1.0,0,0.0
group_wins,0.0,0.25,0.25,-0.375,0.625,5,25.0
group_draws,0.0,1.0,1.0,-1.5,2.5,0,0.0
group_losses,0.0,1.0,1.0,-1.5,2.5,0,0.0
group_goals_for,1.0,1.0,0.0,1.0,1.0,8,40.0
group_goals_against,1.0,2.0,1.0,-0.5,3.5,1,5.0
group_goals_difference,-1.0,0.25,1.25,-2.875,2.125,2,10.0
group_points,0.0,1.5,1.5,-2.25,3.75,0,0.0
squad_avg_age,27.129801923076926,28.59181057692308,1.462008653846155,24.936788942307693,30.784823557692313,0,0.0
squad_median_age,26.9216375,28.7885,1.8668624999999999,24.12134375,31.58879375,0,0.0
squad_total_caps,222.0,420.5,198.5,-75.75,718.25,0,0.0
squad_avg_caps,10.5,15.908119658119658,5.408119658119658,2.3878205128205146,24.02029914529914,8,15.384615384615385
squad_injury_burden,427.0,992.25,565.25,-420.875,1840.125,4,7.6923076923076925
squad_depth_DF,8.0,10.0,2.0,5.0,13.0,3,5.769230769230769
squad_depth_FW,5.75,8.0,2.25,2.375,11.375,3,5.769230769230769
squad_depth_GK,3.0,3.0,0.0,3.0,3.0,4,7.6923076923076925
squad_depth_MF,5.0,8.0,3.0,0.5,12.5,3,5.769230769230769
squad_top_league_ratio,0.0384615384615384,0.625,0.5865384615384616,-0.8413461538461539,1.5048076923076923,0,0.0
squad_avg_impact_score,-0.6694833468117669,0.6059505354025507,1.2754338822143176,-2.582634170133243,2.5191013587240274,1,1.9230769230769231
